smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,238.37499999999994,2.2966000000000006,1,2,True,True
C[C@H](N)C(=O)N1CCCC1,142.20199999999997,-0.04400000000000004,1,2,True,True
O=C([C@@H]1CCCN1)N1CCCC1,168.23999999999998,0.3608,1,2,True,True
S=C(C1CCCN1)N1CCCC1,184.30799999999996,1.1616,1,2,True,True
NC(=O)CC(N)C(=O)N1CCCC1,185.22699999999995,-1.1885000000000001,2,3,True,True
NCCCCC(N)C(=O)N1CCCCC1,213.32499999999993,0.45520000000000027,2,3,True,True
NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,234.29899999999992,0.8843999999999999,2,3,True,True
CC(C)[C@H](N)C(=O)N1CCCC1,170.25599999999994,0.5920999999999998,1,2,True,True
NCC[C@H](N)C(=O)N1CCCCC1,185.27099999999993,-0.32499999999999996,2,3,True,True
NCCCC(N)C(=O)N1CCCCC1,199.29799999999992,0.0651000000000006,2,3,True,True
NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,347.45900000000023,2.4229000000000003,2,4,True,True
NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,222.29199999999992,0.29199999999999915,2,3,True,True
N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,224.34799999999996,1.9064999999999999,1,2,True,True
C[C@H](N)C(=O)N1CCC[C@H]1C#N,167.212,-0.15182000000000007,1,3,True,True
C[C@H](N)C(=S)N1CCCC1,158.26999999999998,0.7568,1,2,True,True
NCC(=O)N1CCCC1,128.17499999999998,-0.4325000000000001,1,2,True,True
NC(Cc1c[nH]cn1)C(=O)N1CCCC1,208.26499999999993,-0.09810000000000074,2,3,True,True
CCC(C)C(N)C(=O)N1CCCCC1,198.30999999999992,1.3722999999999999,1,2,True,True
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,214.07399999999998,-1.0272999999999988,3,4,True,True
NC(Cc1ccccc1)C(=O)N1CCCC1,218.2999999999999,1.1787999999999998,1,2,True,True
CC[C@H](C)[C@H](N)C(=O)N1CCCC1,184.28299999999993,0.9821999999999999,1,2,True,True
NC(CO)C(=O)N1CCCC1,158.20099999999996,-1.0716,2,3,True,True
C[C@H](N)C(=S)N1CCSC1,176.31,0.6673,1,3,True,True
N[C@@H](CC(=O)O)C(=O)N1CCCC1,186.21099999999993,-0.5892000000000004,2,3,True,True
NCCCCC(N)C(=O)N1CCCC1,199.29799999999994,0.0651000000000006,2,3,True,True
NC[C@H](N)C(=O)N1CCCCC1,171.24399999999994,-0.7151000000000001,2,3,True,True
CC[C@H](C)[C@H](N)C(=O)N1CCSC1,202.32299999999995,0.8927000000000002,1,3,True,True
CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,214.07399999999998,-1.0272999999999988,3,4,True,True
C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,216.046,-2.302499999999998,4,5,True,True
CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,200.047,-1.2732999999999988,3,4,True,True
NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,243.11599999999999,-1.5542999999999976,4,5,True,True
NCCCC[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,445.5000000000001,4.132400000000003,2,6,True,True
C[C@H](N)C(=O)N1CCC[C@H]1P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,443.26700000000005,4.940000000000004,1,5,True,True
C[C@H](N)C(=O)N1CCCCC1P(=O)(Oc1ccc(F)cc1)Oc1ccc(F)cc1,424.38400000000007,4.301500000000003,1,5,True,True
N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,252.08299999999997,-1.7174999999999991,4,5,True,True
O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,198.03100000000003,-1.6486999999999996,3,4,True,True
CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,228.10099999999997,-0.637199999999999,3,4,True,True
N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,248.09100000000004,-0.31059999999999977,3,4,True,True
CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,200.047,-1.2732999999999988,3,4,True,True
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,228.10099999999997,-0.637199999999999,3,4,True,True
C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,186.02,-1.663399999999999,3,4,True,True
C[C@H](N)C(=O)N1CCCCC1P(=O)(O)Oc1ccccc1,312.306,1.9365999999999997,2,4,True,True
