smiles,molecular_weight,logp,hbd,hba,passes_lipinski,is_valid
Nc1ccc(S(N)(=O)=O)cc1,172.20900000000003,-0.08380000000000004,2,3,True,True
Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,285.73400000000004,-0.7829999999999995,3,5,True,True
Cn1nc(S(N)(=O)=O)sc1=N,194.24100000000004,-1.3915299999999995,2,5,True,True
NCc1ccc(S(N)(=O)=O)cc1,186.236,-0.20729999999999998,2,3,True,True
Nc1nnc(S(N)(=O)=O)s1,180.21400000000003,-1.2323,2,6,True,True
Nc1ccc(S(=O)(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,355.4410000000001,0.4372000000000008,3,5,True,True
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,335.39200000000005,-0.4315,3,8,True,True
NS(=O)(=O)c1nc2ccc(O)cc2s1,230.27,0.6493,2,5,True,True
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,265.298,0.4497999999999999,3,6,True,True
Nc1ccc(S(N)(=O)=O)cc1F,190.199,0.05530000000000024,2,3,True,True
CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.251,-0.8561000000000003,2,6,True,True
NS(=O)(=O)c1ccc(CO)cc1,187.21999999999997,-0.17370000000000013,2,3,True,True
NS(=O)(=O)c1ccc(CCO)cc1,201.24699999999996,-0.13120000000000015,2,3,True,True
Nc1ccc(S(N)(=O)=O)cc1Cl,206.65400000000002,0.5696000000000001,2,3,True,True
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.278,-1.4237999999999997,1,5,True,True
NS(=O)(=O)c1ccc(C(=O)O)cc1,201.20299999999997,0.03219999999999995,2,3,True,True
NNc1ccc(S(N)(=O)=O)cc1,187.224,-0.3803999999999996,3,4,True,True
NCCc1ccc(S(N)(=O)=O)cc1,200.26299999999998,-0.16479999999999956,2,3,True,True
Nc1ccccc1S(N)(=O)=O,172.20899999999997,-0.08379999999999999,2,3,True,True
Nc1cccc(S(N)(=O)=O)c1,172.20900000000003,-0.08379999999999976,2,3,True,True
Nc1cc(C(F)(F)F)c(S(N)(=O)=O)cc1S(N)(=O)=O,319.28600000000006,-0.4175999999999997,3,5,True,True
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.44900000000007,0.612,2,6,True,True
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.5170000000001,0.08690000000000164,2,7,True,True
Nc1ccc(S(N)(=O)=O)cc1Br,251.10500000000002,0.6787000000000002,2,3,True,True
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,320.377,-0.01369999999999938,2,7,True,True
