smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,238.37,2.297,1,2,True,diabetes
C[C@H](N)C(=O)N1CCCC1,142.2,-0.044,1,2,True,diabetes
O=C([C@@H]1CCCN1)N1CCCC1,168.24,0.361,1,2,True,diabetes
S=C(C1CCCN1)N1CCCC1,184.31,1.162,1,2,True,diabetes
NC(=O)CC(N)C(=O)N1CCCC1,185.23,-1.189,2,3,True,diabetes
NCCCCC(N)C(=O)N1CCCCC1,213.32,0.455,2,3,True,diabetes
NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,234.3,0.884,2,3,True,diabetes
CC(C)[C@H](N)C(=O)N1CCCC1,170.26,0.592,1,2,True,diabetes
NCC[C@H](N)C(=O)N1CCCCC1,185.27,-0.325,2,3,True,diabetes
NCCCC(N)C(=O)N1CCCCC1,199.3,0.065,2,3,True,diabetes
NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,347.46,2.423,2,4,True,diabetes
NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,222.29,0.292,2,3,True,diabetes
N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,224.35,1.906,1,2,True,diabetes
C[C@H](N)C(=O)N1CCC[C@H]1C#N,167.21,-0.152,1,3,True,diabetes
C[C@H](N)C(=S)N1CCCC1,158.27,0.757,1,2,True,diabetes
NCC(=O)N1CCCC1,128.17,-0.433,1,2,True,diabetes
NC(Cc1c[nH]cn1)C(=O)N1CCCC1,208.26,-0.098,2,3,True,diabetes
CCC(C)C(N)C(=O)N1CCCCC1,198.31,1.372,1,2,True,diabetes
CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,214.07,-1.027,3,4,True,diabetes
NC(Cc1ccccc1)C(=O)N1CCCC1,218.3,1.179,1,2,True,diabetes
CC[C@H](C)[C@H](N)C(=O)N1CCCC1,184.28,0.982,1,2,True,diabetes
NC(CO)C(=O)N1CCCC1,158.2,-1.072,2,3,True,diabetes
C[C@H](N)C(=S)N1CCSC1,176.31,0.667,1,3,True,diabetes
