smiles,molecular_weight,logp,hbd,hba,passes_lipinski,disease_area
Nc1ccc(S(N)(=O)=O)cc1,172.21,-0.084,2,3,True,infection
Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,285.73,-0.783,3,5,True,infection
Cn1nc(S(N)(=O)=O)sc1=N,194.24,-1.392,2,5,True,infection
NCc1ccc(S(N)(=O)=O)cc1,186.24,-0.207,2,3,True,infection
Nc1nnc(S(N)(=O)=O)s1,180.21,-1.232,2,6,True,infection
Nc1ccc(S(=O)(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,355.44,0.437,3,5,True,infection
Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1,335.39,-0.431,3,8,True,infection
NS(=O)(=O)c1nc2ccc(O)cc2s1,230.27,0.649,2,5,True,infection
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,265.3,0.45,3,6,True,infection
Nc1ccc(S(N)(=O)=O)cc1F,190.2,0.055,2,3,True,infection
CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,-0.856,2,6,True,infection
NS(=O)(=O)c1ccc(CO)cc1,187.22,-0.174,2,3,True,infection
NS(=O)(=O)c1ccc(CCO)cc1,201.25,-0.131,2,3,True,infection
Nc1ccc(S(N)(=O)=O)cc1Cl,206.65,0.57,2,3,True,infection
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.28,-1.424,1,5,True,infection
NS(=O)(=O)c1ccc(C(=O)O)cc1,201.2,0.032,2,3,True,infection
NNc1ccc(S(N)(=O)=O)cc1,187.22,-0.38,3,4,True,infection
NCCc1ccc(S(N)(=O)=O)cc1,200.26,-0.165,2,3,True,infection
Nc1ccccc1S(N)(=O)=O,172.21,-0.084,2,3,True,infection
Nc1cccc(S(N)(=O)=O)c1,172.21,-0.084,2,3,True,infection
Nc1cc(C(F)(F)F)c(S(N)(=O)=O)cc1S(N)(=O)=O,319.29,-0.418,3,5,True,infection
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.45,0.612,2,6,True,infection
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.52,0.087,2,7,True,infection
Nc1ccc(S(N)(=O)=O)cc1Br,251.11,0.679,2,3,True,infection
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1,320.38,-0.014,2,7,True,infection
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,339.37,-0.395,1,8,True,infection
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,1.342,1,5,True,infection
Nc1ccc(S(N)(=O)=O)cc1I,298.11,0.521,2,3,True,infection
NS(=O)(=O)Cc1noc2ccccc12,212.23,0.616,1,4,True,infection
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16,0.288,2,4,True,infection
