token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 25 8 23 23 23 5 18 15 5 13 19 6 15 9 15 15 15 15 9 6 23 8 19 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C n 1 c c c ( N C ( = O ) C 2 C C C C 2 ) c 1 O C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 25 8 23 23 23 5 18 15 5 13 19 6 15 9 15 15 15 15 9 6 23 8 19 15,Cn1ccc(NC(=O)C2CCCC2)c1OC,25,0,26,,<eos>,eos,0,0,,0,C,c1OC,2,0
1 15 19 15 5 13 19 6 23 8 23 23 5 18 15 5 13 19 6 23 9 23 23 23 23 23 9 6 25 23 9 23 23 23 23 23 8 9 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C O C ( = O ) c 1 c c ( N C ( = O ) c 2 c c c c c 2 ) n c 2 c c c c c 1 2 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 15 5 13 19 6 23 8 23 23 5 18 15 5 13 19 6 23 9 23 23 23 23 23 9 6 25 23 9 23 23 23 23 23 8 9,COC(=O)c1cc(NC(=O)c2ccccc2)nc2ccccc12,37,0,38,,<eos>,eos,0,0,,0,2,cc12,2,0
1 6 21 25 17 22 8 9 6 15 8 15 15 8 23 23 23 23 23 8 16 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> ) [ n H ] 1 2 ) C 1 C C 1 c c c c c 1 F <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,6 21 25 17 22 8 9 6 15 8 15 15 8 23 23 23 23 23 8 16,)[nH]12)C1CC1ccccc1F,20,0,21,,<eos>,eos,0,0,2,1,F,cc1F,0,1
1 9 10 4 24 4 4 18 4 8 7 23 8 23 23 23 5 15 18 9 15 15 19 15 5 23 10 23 23 23 23 23 10 6 15 9 6 23 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> 2 3 # l # # N # 1 - c 1 c c c ( C N 2 C C O C ( c 3 c c c c c 3 ) C 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,9 10 4 24 4 4 18 4 8 7 23 8 23 23 23 5 15 18 9 15 15 19 15 5 23 10 23 23 23 23 23 10 6 15 9 6 23 23 8,23#l##N#1-c1ccc(CN2CCOC(c3ccccc3)C2)cc1,39,0,40,,<eos>,eos,0,0,1 2 3,3,1,)cc1,2,0
1 10 7 9 26 8 23 25 23 9 23 23 23 23 23 8 9 6 18 8 15 15 15 15 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> 3 - 2 o 1 c n c 2 c c c c c 1 2 ) N 1 C C C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,10 7 9 26 8 23 25 23 9 23 23 23 23 23 8 9 6 18 8 15 15 15 15 8,3-2o1cnc2ccccc12)N1CCCC1,24,0,25,,<eos>,eos,0,0,2 3,2,1,CCC1,0,0
1 6 26 8 25 23 25 8 15 23 8 23 23 23 23 5 15 24 6 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> ) o 1 n c n 1 C c 1 c c c c ( C l ) c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,6 26 8 25 23 25 8 15 23 8 23 23 23 23 5 15 24 6 23 8,)o1ncn1Cc1cccc(Cl)c1,20,0,21,,<eos>,eos,0,0,,0,1,l)c1,1,0
1 15 23 8 23 23 23 5 15 5 16 6 5 16 6 16 6 23 23 8 6 18 15 8 15 15 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) N C 1 C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 23 8 23 23 23 5 15 5 16 6 5 16 6 16 6 23 23 8 6 18 15 8 15 15 8,Cc1ccc(C(F)(F)F)cc1)NC1CC1,26,0,27,,<eos>,eos,0,0,,0,1,1CC1,2,0
1 19 15 5 15 23 8 25 23 9 23 23 23 23 23 9 21 25 17 22 8 6 23 8 23 23 23 23 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> O C ( C c 1 n c 2 c c c c c 2 [ n H ] 1 ) c 1 c c c c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 15 5 15 23 8 25 23 9 23 23 23 23 23 9 21 25 17 22 8 6 23 8 23 23 23 23 23 8,OC(Cc1nc2ccccc2[nH]1)c1ccccc1,29,0,30,,<eos>,eos,0,0,,0,1,ccc1,1,1
1 15 19 23 8 23 23 23 5 19 15 6 23 23 8 16 6 15 8 15 15 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C O c 1 c c c ( O C ) c c 1 F ) C 1 C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 23 8 23 23 23 5 19 15 6 23 23 8 16 6 15 8 15 15 8,COc1ccc(OC)cc1F)C1CC1,21,0,22,,<eos>,eos,0,0,,0,1,1CC1,1,0
1 19 15 5 15 18 15 5 13 19 6 23 8 23 23 23 23 23 8 18 15 5 13 19 6 23 8 23 23 23 26 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> O C ( C N C ( = O ) c 1 c c c c c 1 N C ( = O ) c 1 c c c o 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 15 5 15 18 15 5 13 19 6 23 8 23 23 23 23 23 8 18 15 5 13 19 6 23 8 23 23 23 26 8,OC(CNC(=O)c1ccccc1NC(=O)c1ccco1,31,0,32,,<eos>,eos,1,0,,0,1,cco1,2,0
