sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
49,CCc1csc(C(=O)Nc2ccc(C(=O)N(C)C)cc2)n1,37,0,38,,<eos>,eos,<bos> C C c 1 c s c ( C ( = O ) N c 2 c c c ( C ( = O ) N ( C ) C ) c c 2 ) n 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 23 8 23 28 23 5 15 5 13 19 6 18 23 9 23 23 23 5 15 5 13 19 6 18 5 15 6 15 6 23 23 9 6 25 8,1,2)n1,0,0,,0,3,0,CCc1csc(C(=O)Nc2ccc(C(=O)N(C)C)cc2)n1,True,True,1,True,,303.39,2.66,62.3,1.0,4.0,4.0,0.9442,2.0818,True,0.9172,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
73,Cc1cc(NCC(=O)N2CCc3ccc(Cl)cc3C2)no1,35,0,36,,<eos>,eos,<bos> C c 1 c c ( N C C ( = O ) N 2 C C c 3 c c c ( C l ) c c 3 C 2 ) n o 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 23 8 23 23 5 18 15 15 5 13 19 6 18 9 15 15 23 10 23 23 23 5 15 24 6 23 23 10 15 9 6 25 26 8,1,)no1,0,0,,0,2,0,Cc1cc(NCC(=O)N2CCc3ccc(Cl)cc3C2)no1,True,True,1,True,,305.77,2.633,58.37,1.0,4.0,3.0,0.9468,2.352,True,0.9001,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
76,COC(=O)c1nnc(C(=O)N2CCCC2c2ccccc2)cc1,37,0,38,,<eos>,eos,<bos> C O C ( = O ) c 1 n n c ( C ( = O ) N 2 C C C C 2 c 2 c c c c c 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 15 5 13 19 6 23 8 25 25 23 5 15 5 13 19 6 18 9 15 15 15 15 9 23 9 23 23 23 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,COC(=O)c1ccc(C(=O)N2CCCC2c2ccccc2)nn1,True,True,1,True,,311.34,2.24,72.39,0.0,5.0,3.0,0.8129,2.5611,True,0.8988,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
60,O=C(Nc1ncncc1)N1CCCC(c2ccccc2)C1,32,0,33,,<eos>,eos,<bos> O = C ( N c 1 n c n c c 1 ) N 1 C C C C ( c 2 c c c c c 2 ) C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 13 15 5 18 23 8 25 23 25 23 23 8 6 18 8 15 15 15 15 5 23 9 23 23 23 23 23 9 6 15 8,1,2)C1,0,0,,0,1,0,O=C(Nc1ccncn1)N1CCCC(c2ccccc2)C1,True,True,1,True,,282.35,2.888,58.12,1.0,3.0,2.0,0.921,2.517,True,0.8964,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
89,CNC(=O)c1ccc(NC(=O)NC2CCCC2)cc1,31,0,32,,<eos>,eos,<bos> C N C ( = O ) c 1 c c c ( N C ( = O ) N C 2 C C C C 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 18 15 5 13 19 6 23 8 23 23 23 5 18 15 5 13 19 6 18 15 9 15 15 15 15 9 6 23 23 8,1,)cc1,0,0,,0,2,0,CNC(=O)c1ccc(NC(=O)NC2CCCC2)cc1,True,True,1,True,,261.32,2.11,70.23,3.0,2.0,3.0,0.7796,1.6934,True,0.8941,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
62,N#CC(C)C(=O)Nc1ccc(C(F)(F)F)cc1,31,0,32,,<eos>,eos,<bos> N # C C ( C ) C ( = O ) N c 1 c c c ( C ( F ) ( F ) F ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 4 15 15 5 15 6 15 5 13 19 6 18 23 8 23 23 23 5 15 5 16 6 5 16 6 16 6 23 23 8,1,)cc1,0,0,,0,2,0,CC(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,True,True,1,True,,242.2,2.804,52.89,1.0,2.0,2.0,0.8664,2.5008,True,0.8888,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
80,Oc1cccc(C(=O)N(C)Cc2ccccc2)c1C,30,0,31,,<eos>,eos,<bos> O c 1 c c c c ( C ( = O ) N ( C ) C c 2 c c c c c 2 ) c 1 C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 23 8 23 23 23 23 5 15 5 13 19 6 18 5 15 6 15 23 9 23 23 23 23 23 9 6 23 8 15,C,)c1C,0,0,,0,2,0,Cc1c(O)cccc1C(=O)N(C)Cc1ccccc1,True,True,1,True,,255.32,2.973,40.54,1.0,2.0,3.0,0.9156,1.7201,True,0.8807,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
44,C(=O)Nc1ccc(NC(=O)c2ccccc2)cc1,30,0,31,,<eos>,eos,<bos> C ( = O ) N c 1 c c c ( N C ( = O ) c 2 c c c c c 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 5 13 19 6 18 23 8 23 23 23 5 18 15 5 13 19 6 23 9 23 23 23 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,O=CNc1ccc(NC(=O)c2ccccc2)cc1,True,True,1,True,,240.26,2.507,58.2,2.0,2.0,4.0,0.8066,1.5803,True,0.8804,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
58,CC1(CNC(=O)CCc2cccc(Cl)c2)CC1=O,31,0,32,,<eos>,eos,<bos> C C 1 ( C N C ( = O ) C C c 2 c c c c ( C l ) c 2 ) C C 1 = O <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 8 5 15 18 15 5 13 19 6 15 15 23 9 23 23 23 23 5 15 24 6 23 9 6 15 15 8 13 19,O,C1=O,0,0,,0,2,0,CC1(CNC(=O)CCc2cccc(Cl)c2)CC1=O,True,True,1,True,,265.74,2.368,46.17,1.0,2.0,5.0,0.8884,2.7003,True,0.8769,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
39,O=C(CCN1CCc2ccc(F)cc2Cl)n1,26,0,27,,<eos>,eos,<bos> O = C ( C C N 1 C C c 2 c c c ( F ) c c 2 C l ) n 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 13 15 5 15 15 18 8 15 15 23 9 23 23 23 5 16 6 23 23 9 15 24 6 25 8,1,l)n1,0,0,,0,2,0,O=C1CCN(CCc2ccc(F)cc2Cl)N1,True,True,1,True,,242.68,1.758,32.34,1.0,2.0,3.0,0.8761,2.7424,True,0.8752,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
1,Cn1ccc(NC(=O)C2CCCC2)c1OC,25,0,26,,<eos>,eos,<bos> C n 1 c c c ( N C ( = O ) C 2 C C C C 2 ) c 1 O C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 25 8 23 23 23 5 18 15 5 13 19 6 15 9 15 15 15 15 9 6 23 8 19 15,C,c1OC,0,0,,0,2,0,COc1c(NC(=O)C2CCCC2)ccn1C,True,True,1,True,,222.29,2.162,43.26,1.0,2.0,3.0,0.8513,2.4576,True,0.8717,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
94,O=C(NCc1ccccn1)C1CCCC1,22,0,23,,<eos>,eos,<bos> O = C ( N C c 1 c c c c n 1 ) C 1 C C C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 13 15 5 18 15 23 8 23 23 23 23 25 8 6 15 8 15 15 15 15 8,1,CCC1,0,0,,0,1,0,O=C(NCc1ccccn1)C1CCCC1,True,True,1,True,,204.27,1.888,41.99,1.0,2.0,3.0,0.8165,1.7237,True,0.8668,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
