token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 15 5 15 6 15 8 15 18 5 15 5 13 19 6 23 9 23 23 5 15 10 15 15 10 6 25 23 10 23 23 5 15 5 15 6 5 15 6 15 6 23 23 23 9 10 6 15 15 8 2 0 0 0 0 0 0 0 0 0 0,<bos> C C ( C ) C 1 C N ( C ( = O ) c 2 c c ( C 3 C C 3 ) n c 3 c c ( C ( C ) ( C ) C ) c c c 2 3 ) C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 5 15 6 15 8 15 18 5 15 5 13 19 6 23 9 23 23 5 15 10 15 15 10 6 25 23 10 23 23 5 15 5 15 6 5 15 6 15 6 23 23 23 9 10 6 15 15 8,CC(C)C1CN(C(=O)c2cc(C3CC3)nc3cc(C(C)(C)C)ccc23)CC1,50,0,51,,<eos>,eos,0,0,,0,1,)CC1,3,0
1 15 15 19 23 8 25 23 5 15 18 15 5 13 19 6 23 9 23 23 5 15 6 23 23 5 15 24 6 23 9 6 23 23 5 15 6 23 8 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C C O c 1 n c ( C N C ( = O ) c 2 c c ( C ) c c ( C l ) c 2 ) c c ( C ) c 1 C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 19 23 8 25 23 5 15 18 15 5 13 19 6 23 9 23 23 5 15 6 23 23 5 15 24 6 23 9 6 23 23 5 15 6 23 8 15,CCOc1nc(CNC(=O)c2cc(C)cc(Cl)c2)cc(C)c1C,39,0,40,,<eos>,eos,0,0,,0,C,)c1C,2,0
1 23 8 23 25 23 9 25 23 5 15 10 15 15 18 5 23 10 23 23 23 23 23 10 6 15 15 15 15 10 6 25 23 9 23 8 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> c 1 c n c 2 n c ( C 3 C C N ( c 3 c c c c c 3 ) C C C C 3 ) n c 2 c 1 C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,23 8 23 25 23 9 25 23 5 15 10 15 15 18 5 23 10 23 23 23 23 23 10 6 15 15 15 15 10 6 25 23 9 23 8 15,c1cnc2nc(C3CCN(c3ccccc3)CCCC3)nc2c1C,36,0,37,,<eos>,eos,0,0,,0,C,2c1C,2,0
1 15 23 8 23 23 5 7 23 9 23 23 23 23 5 15 18 15 5 13 19 6 23 10 23 23 23 23 23 10 15 5 18 6 13 19 6 25 9 6 23 5 15 6 25 25 8 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C c 1 c c ( - c 2 c c c c ( C N C ( = O ) c 3 c c c c c 3 C ( N ) = O ) n 2 ) c ( C ) n n 1 C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 23 8 23 23 5 7 23 9 23 23 23 23 5 15 18 15 5 13 19 6 23 10 23 23 23 23 23 10 15 5 18 6 13 19 6 25 9 6 23 5 15 6 25 25 8 15,Cc1cc(-c2cccc(CNC(=O)c3ccccc3C(N)=O)n2)c(C)nn1C,47,0,48,,<eos>,eos,0,0,,0,C,nn1C,3,0
1 15 15 15 18 5 15 15 15 6 15 5 13 19 6 15 18 15 5 13 19 6 23 8 23 23 23 5 15 24 6 23 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C C C N ( C C C ) C ( = O ) C N C ( = O ) c 1 c c c ( C l ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 15 18 5 15 15 15 6 15 5 13 19 6 15 18 15 5 13 19 6 23 8 23 23 23 5 15 24 6 23 23 8,CCCN(CCC)C(=O)CNC(=O)c1ccc(Cl)cc1,33,0,34,,<eos>,eos,0,0,,0,1,)cc1,1,0
1 18 15 5 13 19 6 23 8 23 23 23 5 7 23 9 23 23 23 5 7 25 10 23 25 23 25 10 6 23 23 9 6 23 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> N C ( = O ) c 1 c c c ( - c 2 c c c ( - n 3 c n c n 3 ) c c 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 15 5 13 19 6 23 8 23 23 23 5 7 23 9 23 23 23 5 7 25 10 23 25 23 25 10 6 23 23 9 6 23 23 8,NC(=O)c1ccc(-c2ccc(-n3cncn3)cc2)cc1,35,0,36,,<eos>,eos,0,0,,0,1,)cc1,2,0
1 16 23 8 23 23 23 23 23 8 18 23 8 25 23 9 23 23 23 23 23 9 25 23 8 20 5 13 19 6 5 13 19 6 23 8 23 23 23 23 23 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> F c 1 c c c c c 1 N c 1 n c 2 c c c c c 2 n c 1 S ( = O ) ( = O ) c 1 c c c c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,16 23 8 23 23 23 23 23 8 18 23 8 25 23 9 23 23 23 23 23 9 25 23 8 20 5 13 19 6 5 13 19 6 23 8 23 23 23 23 23 8,Fc1ccccc1Nc1nc2ccccc2nc1S(=O)(=O)c1ccccc1,41,0,42,,<eos>,eos,0,0,,0,1,ccc1,1,0
1 15 23 8 23 23 5 18 9 15 15 18 5 23 10 25 23 23 23 25 10 6 15 15 9 6 23 5 15 6 25 25 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C c 1 c c ( N 2 C C N ( c 3 n c c c n 3 ) C C 2 ) c ( C ) n n 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 23 8 23 23 5 18 9 15 15 18 5 23 10 25 23 23 23 25 10 6 15 15 9 6 23 5 15 6 25 25 8,Cc1cc(N2CCN(c3ncccn3)CC2)c(C)nn1,32,0,33,,<eos>,eos,0,0,,0,1,)nn1,2,0
1 15 19 23 8 23 23 9 23 5 23 23 8 7 23 8 23 23 23 23 23 8 15 5 13 19 6 18 23 8 23 23 23 5 15 6 23 23 8 6 23 9 23 23 23 23 23 9 8 2 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C O c 1 c c 2 c ( c c 1 - c 1 c c c c c 1 C ( = O ) N c 1 c c c ( C ) c c 1 ) c 2 c c c c c 2 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 23 8 23 23 9 23 5 23 23 8 7 23 8 23 23 23 23 23 8 15 5 13 19 6 18 23 8 23 23 23 5 15 6 23 23 8 6 23 9 23 23 23 23 23 9 8,COc1cc2c(cc1-c1ccccc1C(=O)Nc1ccc(C)cc1)c2ccccc21,48,0,49,,<eos>,eos,0,0,1 2,2,1,cc21,2,0
1 15 19 23 8 23 23 23 5 7 23 9 25 23 10 23 5 23 25 25 9 15 6 23 5 13 19 6 21 25 17 22 23 9 13 19 6 15 5 15 6 15 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,<bos> C O c 1 c c c ( - c 2 n c 3 c ( c n n 2 C ) c ( = O ) [ n H ] c 2 = O ) C ( C ) C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 23 8 23 23 23 5 7 23 9 25 23 10 23 5 23 25 25 9 15 6 23 5 13 19 6 21 25 17 22 23 9 13 19 6 15 5 15 6 15 8,COc1ccc(-c2nc3c(cnn2C)c(=O)[nH]c2=O)C(C)C1,42,0,43,,<eos>,eos,0,0,2 3,2,1,C)C1,2,1
