sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
454,CN(C)S(=O)(=O)c1ccc(C(=O)N2CCC(C(N)=O)CC2)cc1,45,0,46,,<eos>,eos,<bos> C N ( C ) S ( = O ) ( = O ) c 1 c c c ( C ( = O ) N 2 C C C ( C ( N ) = O ) C C 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 18 5 15 6 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 15 5 13 19 6 18 9 15 15 15 5 15 5 18 6 13 19 6 15 15 9 6 23 23 8,1,)cc1,0,0,,0,3,0,CN(C)S(=O)(=O)c1ccc(C(=O)N2CCC(C(N)=O)CC2)cc1,True,True,1,True,,339.42,0.274,100.78,1.0,4.0,4.0,0.8508,1.9181,True,0.9591,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
263,NC(=O)C1CCCN1C(=O)C1CCCC1C(=O)N1CCCC1,37,0,38,,<eos>,eos,<bos> N C ( = O ) C 1 C C C N 1 C ( = O ) C 1 C C C C 1 C ( = O ) N 1 C C C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 15 5 13 19 6 15 8 15 15 15 18 8 15 5 13 19 6 15 8 15 15 15 15 8 15 5 13 19 6 18 8 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NC(=O)C1CCCN1C(=O)C1CCCC1C(=O)N1CCCC1,True,True,1,True,,307.39,0.501,83.71,1.0,3.0,3.0,0.8239,3.1574,True,0.9553,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
74,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1,41,0,42,,<eos>,eos,<bos> C S ( = O ) ( = O ) c 1 c c c ( N C ( = O ) c 2 c c c 3 c ( c 2 ) O C O 3 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 18 15 5 13 19 6 23 9 23 23 23 10 23 5 23 9 6 19 15 19 10 6 23 23 8,1,)cc1,0,0,,0,2,0,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1,True,True,1,True,,319.34,2.071,81.7,1.0,5.0,3.0,0.9364,1.7886,True,0.9511,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
485,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,42,0,43,,<eos>,eos,<bos> C S ( = O ) ( = O ) c 1 c c c ( N C ( = O ) c 2 c c c 3 c ( c 2 ) O C C O 3 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 18 15 5 13 19 6 23 9 23 23 23 10 23 5 23 9 6 19 15 15 19 10 6 23 23 8,1,)cc1,0,0,,0,2,0,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1,True,True,1,True,,333.37,2.114,81.7,1.0,5.0,3.0,0.9302,1.8353,True,0.9502,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
309,CNC(=O)CN(C)C(=O)C1CC(=O)N(Cc2ccccc2)CC1,40,0,41,,<eos>,eos,<bos> C N C ( = O ) C N ( C ) C ( = O ) C 1 C C ( = O ) N ( C c 2 c c c c c 2 ) C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 18 15 5 13 19 6 15 18 5 15 6 15 5 13 19 6 15 8 15 15 5 13 19 6 18 5 15 23 9 23 23 23 23 23 9 6 15 15 8,1,)CC1,0,0,,0,1,0,CNC(=O)CN(C)C(=O)C1CCN(Cc2ccccc2)C(=O)C1,True,True,1,True,,317.39,0.63,69.72,1.0,3.0,5.0,0.8658,2.5606,True,0.9462,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
480,CNS(=O)(=O)c1cccc(NC(=O)N2CCCC2CO)c1,36,0,37,,<eos>,eos,<bos> C N S ( = O ) ( = O ) c 1 c c c c ( N C ( = O ) N 2 C C C C 2 C O ) c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 18 20 5 13 19 6 5 13 19 6 23 8 23 23 23 23 5 18 15 5 13 19 6 18 9 15 15 15 15 9 15 19 6 23 8,1,O)c1,0,0,,0,2,0,CNS(=O)(=O)c1cccc(NC(=O)N2CCCC2CO)c1,True,True,1,True,,313.38,0.583,98.74,3.0,4.0,4.0,0.7571,2.5472,True,0.946,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
353,COC(=O)c1c(C(=O)N2CCCC(C(=O)N(C)C)CC2)cnn1C,43,0,44,,<eos>,eos,<bos> C O C ( = O ) c 1 c ( C ( = O ) N 2 C C C C ( C ( = O ) N ( C ) C ) C C 2 ) c n n 1 C <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 15 5 13 19 6 23 8 23 5 15 5 13 19 6 18 9 15 15 15 15 5 15 5 13 19 6 18 5 15 6 15 6 15 15 9 6 23 25 25 8 15,C,nn1C,0,0,,0,3,0,COC(=O)c1c(C(=O)N2CCCC(C(=O)N(C)C)CC2)cnn1C,True,True,1,True,,336.39,0.537,84.74,0.0,5.0,3.0,0.7522,2.7955,True,0.9453,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
323,Cc1c(C)nc(C2CCCN(C(=O)c3ccc(C(N)=O)cc3)n2)CC1,45,0,46,,<eos>,eos,<bos> C c 1 c ( C ) n c ( C 2 C C C N ( C ( = O ) c 3 c c c ( C ( N ) = O ) c c 3 ) n 2 ) C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 23 8 23 5 15 6 25 23 5 15 9 15 15 15 18 5 15 5 13 19 6 23 10 23 23 23 5 15 5 18 6 13 19 6 23 23 10 6 25 9 6 15 15 8,1,)CC1,0,0,,0,4,0,CC1=C(C)N=C(C2CCCN(C(=O)c3ccc(C(N)=O)cc3)N2)CC1,True,True,1,True,,340.43,2.423,87.79,2.0,4.0,3.0,0.8856,3.445,True,0.944,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
385,NS(=O)(=O)c1ccc(NCC2CCCO2)cc1Cl,31,0,32,,<eos>,eos,<bos> N S ( = O ) ( = O ) c 1 c c c ( N C C 2 C C C O 2 ) c c 1 C l <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 18 15 15 9 15 15 15 19 9 6 23 23 8 15 24,l,c1Cl,0,0,,0,1,0,NS(=O)(=O)c1ccc(NCC2CCCO2)cc1Cl,True,True,1,True,,290.77,1.578,81.42,2.0,4.0,4.0,0.8819,2.644,True,0.9435,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
492,O=C(NC1CC(=O)N(C2CC2)C1)Nc1ccc(C(=O)N2CCCC2)cc1,47,0,48,,<eos>,eos,<bos> O = C ( N C 1 C C ( = O ) N ( C 2 C C 2 ) C 1 ) N c 1 c c c ( C ( = O ) N 2 C C C C 2 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 13 15 5 18 15 8 15 15 5 13 19 6 18 5 15 9 15 15 9 6 15 8 6 18 23 8 23 23 23 5 15 5 13 19 6 18 9 15 15 15 15 9 6 23 23 8,1,)cc1,0,0,,0,2,0,O=C(Nc1ccc(C(=O)N2CCCC2)cc1)NC1CC(=O)N(C2CC2)C1,True,True,1,True,,356.43,1.807,81.75,2.0,3.0,4.0,0.8632,2.5579,True,0.9408,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
