sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
140,NCCCC(N)C(=O)N1CCCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 C 1 <eos> <eos> <eos> C <eos> <eos> <eos> C <eos> <eos> <eos> C 1 = O = O C 2 ( C ( F ) c ( c C c C O ) C 1 C C ) C H C C c C O ( O ) ( C ( = O ) 2 C [ C ) ] C 1 C H 2 1 2 [ N ] C 2 [ O 1 s S N o = c O c N # - o - H # N 1 H ],18 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCC(N)C(=O)N1CCCCC1,True,True,1,False,,199.3,0.065,72.35,2.0,3.0,4.0,0.6725,2.4779,True,0.9191,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
199,COc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,33,0,34.0,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( F ) c c 2 ) c c 1 <eos> <eos> c 1 C C C 1 <eos> <eos> <eos> C <eos> <eos> c c 3 c C 1 C c c c c c 1 c 1 c C [ C c 1 c O ( C ) C C O C O C O C C ] H ( O ) C O C 1 = [ N ] 1 2 ( O N F # F s O = F c N O ( = S o ) 2 S F 3,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 16 6 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,COc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,True,True,1,True,,281.31,2.635,55.4,1.0,3.0,4.0,0.9369,1.4821,True,0.9187,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
85,O=C(O)(CC=CC1CCCCC1C1CS(=O)C1O),31,0,32.0,,<eos>,eos,<bos> O = C ( O ) ( C C = C C 1 C C C C C 1 C 1 C S ( = O ) C 1 O ) <eos> <eos> 1 C 1 <eos> c 1 1 O N C 1 ( c O O F O c C O C c ) C ( C 1 ) [ C C ] C <eos> 1 H O C C C O C O 2 O C O [ C ] C ( O C C C 2 1 2 [ H ] 1 2 ) O 1 <eos> r <eos> B <eos> o O ( s 2 N r 1 H N 2 ) 1 =,19 13 15 5 19 6 5 15 15 13 15 15 8 15 15 15 15 15 8 15 8 15 20 5 13 19 6 15 8 19 6,),C1O),0,0,,0,2,0,O=C(O)CC=CC1CCCCC1C1CS(=O)C1O,True,True,1,True,,272.37,1.521,74.6,2.0,3.0,4.0,0.7609,4.8104,True,0.9115,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
197,NC(CO)C(=O)C1CCCC1,18,0,19.0,,<eos>,eos,<bos> N C ( C O ) C ( = O ) C 1 C C C C 1 <eos> <eos> C <eos> C <eos> 1 C 1 <eos> C 1 O C C 1 <eos> <eos> <eos> C 1 O O C 2 C 2 ( O C ) C c 1 <eos> C c C O C H C C [ C C ] C <eos> <eos> H C ( C O ) C ( H ) [ C 2 C ] C ( O ) C H C 1 2 [ N 1 C ] <eos> O 1 r l # s 2 s o ( s c s ( H [ H 1 ] ) 2,18 15 5 15 19 6 15 5 13 19 6 15 8 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NC(CO)C(=O)C1CCCC1,True,True,1,True,,157.21,0.065,63.32,2.0,3.0,3.0,0.6088,2.7666,True,0.9102,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
152,CC(C)OC(=O)C1CNC(COCCC1),24,0,25.0,,<eos>,eos,<bos> C C ( C ) O C ( = O ) C 1 C N C ( C O C C C 1 ) <eos> <eos> C 1 C C C C C C 1 <eos> <eos> C <eos> <eos> O <eos> O C <eos> 2 C ( C O C 1 ) C c C [ C O C ] C O C C [ C 1 H O ( C O ) C ( = O ) C H C ] C ( O ) C H 2 1 2 [ N 1 C ] S O 1 s - o F - c F n O B F r B H F n r 1 o,15 15 5 15 6 19 15 5 13 19 6 15 8 15 18 15 5 15 19 15 15 15 8 6,),CC1),0,0,,0,1,0,CC(C)OC(=O)C1CCCOCCNC1,True,True,1,True,,215.29,0.954,47.56,1.0,4.0,2.0,0.6968,3.2524,True,0.8901,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
91,COc1nc(C)=c(N)C1-c1ccc(Cl)cc1,29,0,30.0,,<eos>,eos,<bos> C O c 1 n c ( C ) = c ( N ) C 1 - c 1 c c c ( C l ) c c 1 <eos> <eos> c c 1 O C C C 1 <eos> C <eos> O C C c 1 H C ( C c 1 C ) c c C <eos> C c 1 C C 2 C O 1 O O 1 C C 1 C O 2 O <eos> C [ C ] C ( O O ) C <eos> 1 O [ N ] C 2 # O 1 N 2 <eos> c # = O <eos> l n F C <eos> 5 H S C 5 <eos>,15 19 23 8 25 23 5 15 6 13 23 5 18 6 15 8 7 23 8 23 23 23 5 15 24 6 23 23 8,1,)cc1,0,0,,0,1,0,COC1=NC(C)=C(N)C1c1ccc(Cl)cc1,True,True,1,True,,236.7,2.672,47.61,1.0,3.0,1.0,0.8151,3.1973,True,0.8866,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
160,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,33,0,34.0,,<eos>,eos,<bos> N C c 1 c ( N ) n c ( - c 2 c c c c c 2 ) n c 1 - c 1 c c c c c 1 <eos> l <eos> 1 C F c F 1 <eos> <eos> c H c c 3 c c 1 c c = O c c c 1 c 1 C c 1 C c C c 2 C C [ O 3 O F 1 C C C C H ] ( O ) C [ C C 1 ] 2 1 C 2 s O 1 - F 2 s <eos> S F ( s O B C S 5 C c ) [ r,18 15 23 8 23 5 18 6 25 23 5 7 23 9 23 23 23 23 23 9 6 25 23 8 7 23 8 23 23 23 23 23 8,1,ccc1,0,0,,0,1,0,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,True,True,1,False,,276.34,2.852,77.82,2.0,4.0,3.0,0.7707,1.9713,True,0.8829,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
99,CCC(C)C(N)C(=O)N1CCCCC1,23,0,24.0,,<eos>,eos,<bos> C C C ( C ) C ( N ) C ( = O ) N 1 C C C C C 1 <eos> <eos> 1 C O C 1 C <eos> C c 1 O C 1 <eos> <eos> O O <eos> C N 2 2 <eos> ( O ( C ) C [ C ) C ] C C C <eos> C H C 2 ( C O ( C O H C ( O ) [ C ) - C 1 2 F 2 H ] 2 1 = [ N ] 1 2 ) O 1 o s 4 s = c F [ C B O r B F c B 2 # -,15 15 15 5 15 6 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,CCC(C)C(N)C(=O)N1CCCCC1,True,True,1,False,,198.31,1.372,46.33,1.0,2.0,3.0,0.7442,2.6619,True,0.8567,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
52,CCCCC(N)C(=O)N1CCCCC1,21,0,22.0,,<eos>,eos,<bos> C C C C C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 1 <eos> 1 C C 1 <eos> <eos> <eos> C <eos> O <eos> C 1 C O = N C 2 C O ( F ) C ( C c ( C O ) C C O C ) C H C C S H O ( C ) ( C ( = O ) C O C C H ) C 2 C C 2 1 2 [ N ] C <eos> <eos> O 1 O = r O S O 1 n <eos> B - c B n <eos> F <eos> [ S,15 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,CCCCC(N)C(=O)N1CCCCC1,True,True,1,False,,198.31,1.516,46.33,1.0,2.0,4.0,0.7441,2.3049,True,0.8567,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
150,CC(C(C(=O)c1ccc(C)C1C)C1COC11)C1,32,0,33.0,,<eos>,eos,<bos> C C ( C ( C ( = O ) c 1 c c c ( C ) C 1 C ) C 1 C O C 1 1 ) C 1 <eos> 1 C l C 1 <eos> <eos> O <eos> <eos> C ( c ( O ) C C ( O C c ) C C C C 3 ) C C 1 C c 1 O O C O C O C C C 1 C C 3 C ( C ( O ) C 1 2 1 O 1 N ) C 1 # O 1 # H r H n F O [ O - c N F ] H - O 2 s,15 15 5 15 5 15 5 13 19 6 23 8 23 23 23 5 15 6 15 8 15 6 15 8 15 19 15 8 8 6 15 8,1,1)C1,0,0,,0,3,0,CC1=CC=C(C(=O)C2C(C)CC3OCC32)C1C,True,True,1,True,,232.32,2.749,26.3,0.0,2.0,2.0,0.7315,4.8299,True,0.8549,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
