sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
198,COC(=O)C1CCN(C(=O)c2ccc(C(N)=O)cc2)CC1,38,0,39,,<eos>,eos,<bos> C O C ( = O ) C 1 C C N ( C ( = O ) c 2 c c c ( C ( N ) = O ) c c 2 ) C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 19 15 5 13 19 6 15 8 15 15 18 5 15 5 13 19 6 23 9 23 23 23 5 15 5 18 6 13 19 6 23 23 9 6 15 15 8,1,)CC1,0,0,,0,3,0,COC(=O)C1CCN(C(=O)c2ccc(C(N)=O)cc2)CC1,True,True,1,True,,290.32,0.811,89.7,1.0,4.0,3.0,0.8341,1.7779,True,0.9568,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
74,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1,41,0,42,,<eos>,eos,<bos> C S ( = O ) ( = O ) c 1 c c c ( N C ( = O ) c 2 c c c 3 c ( c 2 ) O C O 3 ) c c 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 18 15 5 13 19 6 23 9 23 23 23 10 23 5 23 9 6 19 15 19 10 6 23 23 8,1,)cc1,0,0,,0,2,0,CS(=O)(=O)c1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1,True,True,1,True,,319.34,2.071,81.7,1.0,5.0,3.0,0.9364,1.7886,True,0.9511,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
128,OCC1CCCN(C(=O)c2ccc3c(c2)OCCO3)c1=O,35,0,36,,<eos>,eos,<bos> O C C 1 C C C N ( C ( = O ) c 2 c c c 3 c ( c 2 ) O C C O 3 ) c 1 = O <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 15 15 8 15 15 15 18 5 15 5 13 19 6 23 9 23 23 23 10 23 5 23 9 6 19 15 15 19 10 6 23 8 13 19,O,c1=O,0,0,,0,2,0,O=C(c1ccc2c(c1)OCCO2)N1CCCC(CO)C1=O,True,True,1,True,,291.3,0.829,76.07,1.0,5.0,2.0,0.8168,2.7861,True,0.9393,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
163,N#CC(NC(=O)C1CCCCC1)N1CCOCC1,28,0,29,,<eos>,eos,<bos> N # C C ( N C ( = O ) C 1 C C C C C 1 ) N 1 C C O C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 4 15 15 5 18 15 5 13 19 6 15 8 15 15 15 15 15 8 6 18 8 15 15 19 15 15 8,1,OCC1,0,0,,0,2,0,N#CC(NC(=O)C1CCCCC1)N1CCOCC1,True,True,1,True,,251.33,0.865,65.36,1.0,4.0,3.0,0.8078,3.089,True,0.9381,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
38,Nc1nn(Cc2ccc3c(c2)CCCC3)c(=O)[nH]c1=O,37,0,38,,<eos>,eos,<bos> N c 1 n n ( C c 2 c c c 3 c ( c 2 ) C C C C 3 ) c ( = O ) [ n H ] c 1 = O <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 23 8 25 25 5 15 23 9 23 23 23 10 23 5 23 9 6 15 15 15 15 10 6 23 5 13 19 6 21 25 17 22 23 8 13 19,O,c1=O,0,0,,0,2,1,Nc1nn(Cc2ccc3c(c2)CCCC3)c(=O)[nH]c1=O,True,True,1,True,,272.31,0.441,93.77,2.0,4.0,2.0,0.8292,2.4746,True,0.9361,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
93,CC1(C)C(C(=O)N2CCCC2C(=O)Nc2ccc(F)cc2)CC1=O,43,0,44,,<eos>,eos,<bos> C C 1 ( C ) C ( C ( = O ) N 2 C C C C 2 C ( = O ) N c 2 c c c ( F ) c c 2 ) C C 1 = O <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 8 5 15 6 15 5 15 5 13 19 6 18 9 15 15 15 15 9 15 5 13 19 6 18 23 9 23 23 23 5 16 6 23 23 9 6 15 15 8 13 19,O,C1=O,0,0,,0,2,0,CC1(C)C(=O)CC1C(=O)N1CCCC1C(=O)Nc1ccc(F)cc1,True,True,1,True,,332.37,2.37,66.48,1.0,3.0,3.0,0.924,3.0301,True,0.9344,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
68,O=C1Nc2cc(Cl)ccc2c(=O)n1CC(=O)N1CCCC(C(N)=O)C1,46,0,47,,<eos>,eos,<bos> O = C 1 N c 2 c c ( C l ) c c c 2 c ( = O ) n 1 C C ( = O ) N 1 C C C C ( C ( N ) = O ) C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,19 13 15 8 18 23 9 23 23 5 15 24 6 23 23 23 9 23 5 13 19 6 25 8 15 15 5 13 19 6 18 8 15 15 15 15 5 15 5 18 6 13 19 6 15 8,1,O)C1,0,0,,0,2,0,NC(=O)C1CCCN(C(=O)Cn2c(=O)[nH]c3cc(Cl)ccc3c2=O)C1,True,True,1,True,,364.79,0.067,118.26,2.0,4.0,3.0,0.8004,2.7167,True,0.9321,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
181,CC(=O)N(C)C(=O)N1CCC(C(=O)Nc2ccc(F)c(F)c2)CC1,45,0,46,,<eos>,eos,<bos> C C ( = O ) N ( C ) C ( = O ) N 1 C C C ( C ( = O ) N c 2 c c c ( F ) c ( F ) c 2 ) C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,15 15 5 13 19 6 18 5 15 6 15 5 13 19 6 18 8 15 15 15 5 15 5 13 19 6 18 23 9 23 23 23 5 16 6 23 5 16 6 23 9 6 15 15 8,1,)CC1,0,0,,0,2,0,CC(=O)N(C)C(=O)N1CCC(C(=O)Nc2ccc(F)c(F)c2)CC1,True,True,1,True,,339.34,2.214,69.72,1.0,3.0,2.0,0.8981,2.2576,True,0.9307,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
140,NC(=O)C1(NC(=O)C2CCCN(c3ccccc3)CC2)CCCC1,40,0,41,,<eos>,eos,<bos> N C ( = O ) C 1 ( N C ( = O ) C 2 C C C N ( c 3 c c c c c 3 ) C C 2 ) C C C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 15 5 13 19 6 15 8 5 18 15 5 13 19 6 15 9 15 15 15 18 5 23 10 23 23 23 23 23 10 6 15 15 9 6 15 15 15 15 8,1,CCC1,0,0,,0,2,0,NC(=O)C1(NC(=O)C2CCCN(c3ccccc3)CC2)CCCC1,True,True,1,True,,329.44,2.207,75.43,2.0,3.0,4.0,0.8891,2.6151,True,0.9295,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
145,N#CC(NC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1)N1CCCC1,46,0,47,,<eos>,eos,<bos> N # C C ( N C ( = O ) C 1 C C N ( C ( = O ) c 2 c c c ( C l ) c c 2 ) C C 1 ) N 1 C C C C 1 <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,18 4 15 15 5 18 15 5 13 19 6 15 8 15 15 18 5 15 5 13 19 6 23 9 23 23 23 5 15 24 6 23 23 9 6 15 15 8 6 18 8 15 15 15 15 8,1,CCC1,0,0,,0,3,0,N#CC(NC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1)N1CCCC1,True,True,1,True,,374.87,2.254,76.44,1.0,4.0,4.0,0.8765,2.864,True,0.9277,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
