token_ids,effective_token_ids,raw_smiles,raw_length,first_pad_position
19 19 19 2 19 19 19 19 19 19 24 32 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 19 19 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 2 19 19 19 19 19 19 24 32 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 19 19 19 19,CCC(CCCCCCNcCccccccccccccccccCl)ccCCCC,38,38
19 19 2 2 19 19 19 19 19 19 19 19 19 19 3 2 25 19 19 32 2 32 32 32 32 32 32 32 32 3 32 32 32 32 32 32 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 2 19 19 19 19 19 19 19 19 19 19 3 2 25 19 19 32 2 32 32 32 32 32 32 32 32 3 32 32 32 32 32 32 32,CC((CCCCCCCCCC)(OCCc(cccccccc)ccccccc,37,37
25 16 19 2 25 19 19 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 32 19 19 19 3 32 32 9 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25 16 19 2 25 19 19 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 32 19 19 19 3 32 32 9 32 8,O=C(OCCCccccccccccccccccccCcCCC)cc2c1,37,37
19 19 2 19 25 3 32 32 32 32 5 32 9 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 25 3 32 32 32 32 5 32 9 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 9,CC(CO)cccc-c2cccccccccccccccccccc2,34,34
19 25 32 8 32 32 32 32 2 32 32 8 19 19 19 19 19 2 16 32 16 32 3 32 32 32 32 25 3 32 32 9 3 3 3 32 19 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 2 32 32 8 19 19 19 19 19 2 16 32 16 32 3 32 32 32 32 25 3 32 32 9 3 3 3 32 19 9,COc1cccc(cc1CCCCC(=c=c)ccccO)cc2)))cC2,38,38
19 32 8 32 32 32 32 5 32 32 32 32 2 32 32 10 32 32 32 32 32 3 32 2 10 3 32 32 32 9 3 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 32 5 32 32 32 32 2 32 32 10 32 32 32 32 32 3 32 2 10 3 32 32 32 9 3 32,Cc1cccc-cccc(cc3ccccc)c(3)ccc2)c,32,32
19 24 2 19 3 19 19 19 2 25 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 3 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 24 2 19 3 19 19 19 2 25 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 3 32 8,CN(C)CCC(O)cccccccccccccccc)c1,30,30
25 16 19 8 25 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 25 3 19 19 19 25 19 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25 16 19 8 25 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 25 3 19 19 19 25 19 3,O=C1O)cccccccccccccccccCO)CCCOC),32,32
19 25 32 8 32 32 32 32 32 32 2 24 19 19 2 19 3 24 32 2 32 32 3 32 9 32 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 32 32 2 24 19 19 2 19 3 24 32 2 32 32 3 32 9 32 32 8,COc1cccccc(NCC(C)Nc(cc)c2cc1,28,28
19 25 32 8 32 32 32 32 2 24 2 19 35 32 32 32 10 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 2 24 2 19 35 32 32 32 10 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 8 8,COc1cccc(N(Cnccc3ccccccccccccccc11,34,34
