sample_index,raw_smiles,raw_length,first_pad_position,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason
1,CC1Ccccccccccccccccccccccccccccc,32,32,11 11 5 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,ring_closure_mismatch
2,CCCCcccccCcccccccccCcccccccccccc,32,32,11 11 11 11 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
3,CC1CcccccccccccccccCcccccccccccc,32,32,11 11 5 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,ring_closure_mismatch
4,CCCCcccccccccccCcccCcccccccccccc,32,32,11 11 11 11 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
5,CCCCcccccCcccccccccCcccccccccccc,32,32,11 11 11 11 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
6,CC1CcccccccccccccccCcccccccccccc,32,32,11 11 5 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,ring_closure_mismatch
7,CCCCcccccccccccCcccCcccccccccccc,32,32,11 11 11 11 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
8,CCCCcccccccccccCcccCcccccccccccc,32,32,11 11 11 11 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
9,CC1CcccccccccccccccCcccccccccccc,32,32,11 11 5 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,ring_closure_mismatch
10,CCCCcccccCcccccccccccccccccccccc,32,32,11 11 11 11 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,low_character_diversity
11,CC1CcccccccccccccccCcccccccccccc,32,32,11 11 5 11 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 11 19 19 19 19 19 19 19 19 19 19 19 19,,False,False,0,False,ring_closure_mismatch
