token_ids,effective_token_ids,raw_smiles,raw_length,first_pad_position
19 32 8 32 32 32 2 9 32 32 19 19 2 16 25 3 32 19 32 32 32 3 32 24 32 32 32 8 8 19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 2 9 32 32 19 19 2 16 25 3 32 19 32 32 32 3 32 24 32 32 32 8 8 19 8,Cc1ccc(2ccCC(=O)cCccc)cNccc11C1,31,31
19 19 2 19 19 19 3 19 19 19 19 19 19 19 2 16 25 3 19 32 32 32 32 32 32 32 32 32 32 32 19 32 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 19 19 3 19 19 19 19 19 19 19 2 16 25 3 19 32 32 32 32 32 32 32 32 32 32 32 19 32 32 8,CC(CCC)CCCCCCC(=O)CcccccccccccCcc1,34,34
24 32 8 32 32 32 2 32 32 32 32 32 3 32 9 32 32 32 32 32 32 32 32 32 32 2 3 3 19 19 19 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24 32 8 32 32 32 2 32 32 32 32 32 3 32 9 32 32 32 32 32 32 32 32 32 32 2 3 3 19 19 19 10,Nc1ccc(ccccc)c2cccccccccc())CCC3,32,32
19 32 8 32 32 32 9 32 32 32 32 32 32 32 2 19 2 19 32 3 32 8 32 19 32 3 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 9 32 32 32 32 32 32 32 2 19 2 19 32 3 32 8 32 19 32 3 32 8,Cc1ccc2ccccccc(C(Cc)c1cCc)c1,28,28
19 25 32 8 32 32 32 32 32 32 32 32 32 2 19 19 3 19 9 24 3 19 19 19 3 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 32 32 32 32 32 2 19 19 3 19 9 24 3 19 19 19 3 19 19,COc1ccccccccc(CC)C2N)CCC)CC,27,27
25 19 19 2 25 3 19 2 19 19 19 2 16 25 3 24 8 32 19 32 2 32 32 19 19 19 3 16 2 19 32 32 3 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25 19 19 2 25 3 19 2 19 19 19 2 16 25 3 24 8 32 19 32 2 32 32 19 19 19 3 16 2 19 32 32 3 32 8,OCC(O)C(CCC(=O)N1cCc(ccCCC)=(Ccc)c1,35,35
19 32 8 32 32 32 32 32 2 32 32 19 2 19 19 19 2 19 32 32 32 32 2 2 32 32 32 25 3 19 19 3 32 3 32 32 3 32 32 32 3 3 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 32 32 2 32 32 19 2 19 19 19 2 19 32 32 32 32 2 2 32 32 32 25 3 19 19 3 32 3 32 32 3 32 32 32 3 3 32,Cc1ccccc(ccC(CCC(Ccccc((cccO)CC)c)cc)ccc))c,43,43
19 25 32 8 32 32 32 32 32 32 32 32 9 3 32 2 3 32 32 32 32 32 32 32 32 32 32 32 32 3 32 32 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 32 32 32 32 9 3 32 2 3 32 32 32 32 32 32 32 32 32 32 32 32 3 32 32 8 8,COc1cccccccc2)c()cccccccccccc)cc11,34,34
19 32 8 32 32 32 2 2 19 32 32 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 3 32 32 9 3 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 2 2 19 32 32 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 3 32 32 9 3 32,Cc1ccc((CccCccccccccccccccccc)cc2)c,35,35
19 19 2 2 19 19 19 19 19 19 19 25 3 2 19 32 32 32 32 32 32 32 32 32 32 32 19 3 3 19 19 19 19 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 2 19 19 19 19 19 19 19 25 3 2 19 32 32 32 32 32 32 32 32 32 32 32 19 3 3 19 19 19 19 24,CC((CCCCCCCO)(CcccccccccccC))CCCCN,34,34
