token_ids,effective_token_ids,raw_smiles,raw_length,first_pad_position
19 25 25 19 32 32 32 32 19 19 19 25 19 2 16 32 3 32 32 32 32 32 32 32 32 32 32 9 3 19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 25 19 32 32 32 32 19 19 19 25 19 2 16 32 3 32 32 32 32 32 32 32 32 32 32 9 3 19 8,COOCccccCCCOC(=c)cccccccccc2)C1,31,31
19 19 19 19 32 32 32 32 32 32 9 19 19 3 32 19 2 32 32 2 32 3 32 32 32 3 32 32 32 32 32 32 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 19 32 32 32 32 32 32 9 19 19 3 32 19 2 32 32 2 32 3 32 32 32 3 32 32 32 32 32 32 32,CCCCcccccc2CC)cC(cc(c)ccc)ccccccc,33,33
19 19 19 19 2 32 8 32 32 32 32 2 9 19 19 16 16 19 24 24 2 19 19 3 3 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 19 2 32 8 32 32 32 32 2 9 19 19 16 16 19 24 24 2 19 19 3 3 19,CCCC(c1cccc(2CC==CNN(CC))C,26,26
19 25 32 8 32 32 32 32 2 32 32 8 24 3 19 2 16 25 3 32 9 32 32 32 32 32 9 3 32 9 19 8 16 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 2 32 32 8 24 3 19 2 16 25 3 32 9 32 32 32 32 32 9 3 32 9 19 8 16 25,COc1cccc(cc1N)C(=O)c2ccccc2)c2C1=O,34,34
25 16 19 2 25 3 19 19 19 19 19 2 16 25 3 32 8 32 32 32 32 32 32 32 32 32 3 3 2 32 16 25 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25 16 19 2 25 3 19 19 19 19 19 2 16 25 3 32 8 32 32 32 32 32 32 32 32 32 3 3 2 32 16 25 8,O=C(O)CCCCC(=O)c1ccccccccc))(c=O1,33,33
19 19 2 16 25 3 25 32 32 32 32 32 32 32 19 19 3 32 2 32 2 19 24 19 19 19 19 19 19 19 3 32 32 25 3 32 32 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 16 25 3 25 32 32 32 32 32 32 32 19 19 3 32 2 32 2 19 24 19 19 19 19 19 19 19 3 32 32 25 3 32 32 9,CC(=O)OcccccccCC)c(c(CNCCCCCCC)ccO)cc2,38,38
19 19 19 8 32 32 9 32 32 32 32 32 9 19 19 19 19 19 3 3 19 19 19 19 3 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 8 32 32 9 32 32 32 32 32 9 19 19 19 19 19 3 3 19 19 19 19 3 25,CCC1cc2ccccc2CCCCC))CCCC)O,26,26
19 25 32 8 32 32 32 32 32 32 32 8 24 7 19 2 16 25 3 24 16 32 32 32 32 35 32 3 32 32 19 8 3 25 3 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 32 32 32 8 24 7 19 2 16 25 3 24 16 32 32 32 32 35 32 3 32 32 19 8 3 25 3 24,COc1ccccccc1N/C(=O)N=ccccnc)ccC1)O)N,36,36
19 19 2 19 19 19 19 19 19 19 19 19 19 3 19 8 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 32 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 19 19 19 19 19 19 19 19 19 3 19 8 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 32 32 8,CC(CCCCCCCCCC)C1ccccccccccccccccCcc1,36,36
19 16 19 2 19 19 3 19 19 19 24 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 9 19 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 16 19 2 19 19 3 19 19 19 24 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 9 19 19,C=C(CC)CCCNccccccccccccccccccCl)cc2CC,37,37
24 32 8 35 32 32 32 9 32 32 32 32 2 32 8 32 3 32 32 32 32 3 32 2 3 3 32 19 19 19 25 3 32 8 3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24 32 8 35 32 32 32 9 32 32 32 32 2 32 8 32 3 32 32 32 32 3 32 2 3 3 32 19 19 19 25 3 32 8 3 8,Nc1nccc2cccc(c1c)cccc)c())cCCCO)c1)1,36,36
19 19 2 19 3 28 19 32 32 8 32 25 3 19 19 19 3 32 2 32 2 32 24 32 32 32 19 25 19 19 2 16 25 3 32 32 32 32 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 3 28 19 32 32 8 32 25 3 19 19 19 3 32 2 32 2 32 24 32 32 32 19 25 19 19 2 16 25 3 32 32 32 32 32 8,CC(C)[Ccc1cO)CCC)c(c(cNcccCOCC(=O)ccccc1,40,40
19 32 8 32 32 32 2 2 19 19 32 19 19 32 19 3 32 32 32 32 32 32 32 32 32 32 32 32 35 19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 2 2 19 19 32 19 19 32 19 3 32 32 32 32 32 32 32 32 32 32 32 32 35 19 8,Cc1ccc((CCcCCcC)ccccccccccccnC1,31,31
19 19 2 19 3 28 19 3 8 19 19 2 3 3 2 16 25 19 24 19 2 19 19 19 19 19 8 19 25 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 3 28 19 3 8 19 19 2 3 3 2 16 25 19 24 19 2 19 19 19 19 19 8 19 25 8,CC(C)[C)1CC())(=OCNC(CCCCC1CO1,30,30
19 19 19 19 2 32 8 32 32 32 2 32 19 19 19 19 2 25 24 3 24 19 19 19 19 19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 19 2 32 8 32 32 32 2 32 19 19 19 19 2 25 24 3 24 19 19 19 19 19 8,CCCC(c1ccc(cCCCC(ON)NCCCCC1,27,27
19 19 25 19 2 16 25 3 32 8 32 35 32 2 19 24 3 32 9 32 32 32 25 3 32 32 2 19 3 32 2 32 19 3 32 32 8 9 6 19 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 25 19 2 16 25 3 32 8 32 35 32 2 19 24 3 32 9 32 32 32 25 3 32 32 2 19 3 32 2 32 19 3 32 32 8 9 6 19 34,CCOC(=O)c1cnc(CN)c2cccO)cc(C)c(cC)cc12.Cl,41,41
19 19 19 19 32 32 9 32 32 32 32 32 32 32 32 19 32 32 32 32 32 32 32 19 3 3 32 8 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 19 19 32 32 9 32 32 32 32 32 32 32 32 19 32 32 32 32 32 32 32 19 3 3 32 8 32 8,CCCCcc2ccccccccCcccccccC))c1c1,30,30
25 16 32 8 32 32 32 32 32 32 2 32 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 9 32 32 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,25 16 32 8 32 32 32 32 32 32 2 32 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 9 32 32 8,O=c1cccccc(c)ccccccccccccccccc2cc1,34,34
19 32 8 32 32 32 2 32 32 32 32 19 24 32 2 32 32 32 32 32 32 3 32 2 32 32 32 32 3 19 32 3 32 32 3 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 32 8 32 32 32 2 32 32 32 32 19 24 32 2 32 32 32 32 32 32 3 32 2 32 32 32 32 3 19 32 3 32 32 3 32,Cc1ccc(ccccCNc(cccccc)c(cccc)Cc)cc)c,36,36
19 25 32 8 32 32 32 32 32 2 32 8 3 19 16 19 3 19 19 2 19 19 3 19 19 19 19 19 19 19 32 32 32 8 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 25 32 8 32 32 32 32 32 2 32 8 3 19 16 19 3 19 19 2 19 19 3 19 19 19 19 19 19 19 32 32 32 8 25,COc1ccccc(c1)C=C)CC(CC)CCCCCCCccc1O,35,35
19 19 2 19 3 19 19 19 19 19 3 19 32 32 2 25 32 32 32 19 32 16 25 19 19 19 19 19 32 19 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,19 19 2 19 3 19 19 19 19 19 3 19 32 32 2 25 32 32 32 19 32 16 25 19 19 19 19 19 32 19 8,CC(C)CCCCC)Ccc(OcccCc=OCCCCCcC1,31,31
