sample_index,raw_smiles,raw_length,first_pad_position,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,recommendation,is_novel_scorer_flag
1,COOCccccCCCOC(=c)cccccccccc2)C1,31,31,19 25 25 19 32 32 32 32 19 19 19 25 19 2 16 32 3 32 32 32 32 32 32 32 32 32 32 9 3 19 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
2,CCCCcccccc2CC)cC(cc(c)ccc)ccccccc,33,33,19 19 19 19 32 32 32 32 32 32 9 19 19 3 32 19 2 32 32 2 32 3 32 32 32 3 32 32 32 32 32 32 32,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
3,CCCC(c1cccc(2CC==CNN(CC))C,26,26,19 19 19 19 2 32 8 32 32 32 32 2 9 19 19 16 16 19 24 24 2 19 19 3 3 19,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
4,COc1cccc(cc1N)C(=O)c2ccccc2)c2C1=O,34,34,19 25 32 8 32 32 32 32 2 32 32 8 24 3 19 2 16 25 3 32 9 32 32 32 32 32 9 3 32 9 19 8 16 25,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
5,O=C(O)CCCCC(=O)c1ccccccccc))(c=O1,33,33,25 16 19 2 25 3 19 19 19 19 19 2 16 25 3 32 8 32 32 32 32 32 32 32 32 32 3 3 2 32 16 25 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
6,CC(=O)OcccccccCC)c(c(CNCCCCCCC)ccO)cc2,38,38,19 19 2 16 25 3 25 32 32 32 32 32 32 32 19 19 3 32 2 32 2 19 24 19 19 19 19 19 19 19 3 32 32 25 3 32 32 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
7,CCC1cc2ccccc2CCCCC))CCCC)O,26,26,19 19 19 8 32 32 9 32 32 32 32 32 9 19 19 19 19 19 3 3 19 19 19 19 3 25,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
8,COc1ccccccc1N/C(=O)N=ccccnc)ccC1)O)N,36,36,19 25 32 8 32 32 32 32 32 32 32 8 24 7 19 2 16 25 3 24 16 32 32 32 32 35 32 3 32 32 19 8 3 25 3 24,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
9,CC(CCCCCCCCCC)C1ccccccccccccccccCcc1,36,36,19 19 2 19 19 19 19 19 19 19 19 19 19 3 19 8 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 32 32 8,CCCCCCCCCCC(C)C1C=CC=CC=CC=CC=CC=CC=CC=CCC=C1,True,True,1,True,,430.72,10.179,0.0,0.0,0.0,10.0,0.2387,4.499,False,0.5059,Borderline,True
10,C=C(CC)CCCNccccccccccccccccccCl)cc2CC,37,37,19 16 19 2 19 19 3 19 19 19 24 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 9 19 19,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
11,Nc1nccc2cccc(c1c)cccc)c())cCCCO)c1)1,36,36,24 32 8 35 32 32 32 9 32 32 32 32 2 32 8 32 3 32 32 32 32 3 32 2 3 3 32 19 19 19 25 3 32 8 3 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
12,CC(C)[Ccc1cO)CCC)c(c(cNcccCOCC(=O)ccccc1,40,40,19 19 2 19 3 28 19 32 32 8 32 25 3 19 19 19 3 32 2 32 2 32 24 32 32 32 19 25 19 19 2 16 25 3 32 32 32 32 32 8,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
13,Cc1ccc((CCcCCcC)ccccccccccccnC1,31,31,19 32 8 32 32 32 2 2 19 19 32 19 19 32 19 3 32 32 32 32 32 32 32 32 32 32 32 32 35 19 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
14,CC(C)[C)1CC())(=OCNC(CCCCC1CO1,30,30,19 19 2 19 3 28 19 3 8 19 19 2 3 3 2 16 25 19 24 19 2 19 19 19 19 19 8 19 25 8,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
15,CCCC(c1ccc(cCCCC(ON)NCCCCC1,27,27,19 19 19 19 2 32 8 32 32 32 2 32 19 19 19 19 2 25 24 3 24 19 19 19 19 19 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
16,CCOC(=O)c1cnc(CN)c2cccO)cc(C)c(cC)cc12.Cl,41,41,19 19 25 19 2 16 25 3 32 8 32 35 32 2 19 24 3 32 9 32 32 32 25 3 32 32 2 19 3 32 2 32 19 3 32 32 8 9 6 19 34,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
17,CCCCcc2ccccccccCcccccccC))c1c1,30,30,19 19 19 19 32 32 9 32 32 32 32 32 32 32 32 19 32 32 32 32 32 32 32 19 3 3 32 8 32 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
18,O=c1cccccc(c)ccccccccccccccccc2cc1,34,34,25 16 32 8 32 32 32 32 32 32 2 32 3 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 9 32 32 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
19,Cc1ccc(ccccCNc(cccccc)c(cccc)Cc)cc)c,36,36,19 32 8 32 32 32 2 32 32 32 32 19 24 32 2 32 32 32 32 32 32 3 32 2 32 32 32 32 3 19 32 3 32 32 3 32,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
20,COc1ccccc(c1)C=C)CC(CC)CCCCCCCccc1O,35,35,19 25 32 8 32 32 32 32 32 2 32 8 3 19 16 19 3 19 19 2 19 19 3 19 19 19 19 19 19 19 32 32 32 8 25,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
21,CC(C)CCCCC)Ccc(OcccCc=OCCCCCcC1,31,31,19 19 2 19 3 19 19 19 19 19 3 19 32 32 2 25 32 32 32 19 32 16 25 19 19 19 19 19 32 19 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
22,C=C(CCCCcccccccccccccccccC)Cc1,30,30,19 16 19 2 19 19 19 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 3 19 32 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
23,Nc1ccccccccccc3ccccccccccccc,28,28,24 32 8 32 32 32 32 32 32 32 32 32 32 32 10 32 32 32 32 32 32 32 32 32 32 32 32 32,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
24,CC(=O)C11)C1cOcN)CC(())ccccccccc,32,32,19 19 2 16 25 3 19 8 8 3 19 8 32 25 32 24 3 19 19 2 2 3 3 32 32 32 32 32 32 32 32 32,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
25,C=C(CC)CCCCccccccccccccccccccCl)cc2CC,37,37,19 16 19 2 19 19 3 19 19 19 19 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 19 34 3 32 32 9 19 19,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
