sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
880,CCC(C)[CH](N)C(=O)N1CSC[CH]1C#N,31,0,34,,<eos>,eos,<bos> C C C ( C ) [ C <unk> H ] ( N ) C ( = O ) N 1 C S C [ C <unk> H ] 1 C # N <eos> C <eos> <eos> O C = <unk> <eos> <unk> = O ) ( C <eos> ) C 2 C = C ) <unk> 4 ] ( ) [ ) C [ C <unk> ] H O C [ C C <unk> ] 2 O C O 3 <eos> ] 1 ( C ) C 1 <eos> 1 <unk> [ N <unk> 1 ] <eos> O 1 <eos> s H 4 1 <eos> o 4 r - ) <eos> 5 ) = F o H <pad>,15 15 15 5 15 6 21 15 3 17 22 5 18 6 15 5 13 19 6 18 8 15 20 15 21 15 3 17 22 8 15 4 18,CCC(C)C(N)C(=O)N1CSCC1C#N,True,True,1,True,,227.33,0.785,70.12,1.0,4.0,3.0,0.7734,3.8631,True,0.9333,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
149,CCC(C)[CH](N)C(=O)N1CCC[CH]1C#N,31,0,34,,<eos>,eos,<bos> C C C ( C ) [ C <unk> H ] ( N ) C ( = O ) N 1 C C C [ C <unk> H ] 1 C # N <eos> C c = O <eos> = O <eos> ] = O c ( C <eos> ) <unk> C ( [ C ) C H ] ( ) ) ) C [ C <unk> ] H ] C [ C C <unk> ] 2 4 [ O 3 <unk> ] ] ( C ) C 1 <eos> 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> s H B O <eos> F <pad> <eos> 4 ) <eos> B ) H F 5 H <pad>,15 15 15 5 15 6 21 15 3 17 22 5 18 6 15 5 13 19 6 18 8 15 15 15 21 15 3 17 22 8 15 4 18,CCC(C)C(N)C(=O)N1CCCC1C#N,True,False,4,True,,209.29,0.874,70.12,1.0,3.0,3.0,0.7495,3.3801,True,0.9299,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
941,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc2ns1,33,0,34,,<eos>,eos,<bos> N C ( = O ) c 1 c c 2 c ( - c 3 c c c ( F ) c c 3 ) c n c 2 n s 1 <eos> <eos> C <eos> C 1 <eos> <eos> <eos> <eos> 1 <eos> c <eos> ) c C c ) c c 1 c <eos> ) c ) c 2 ) C 1 <eos> c 1 ( <eos> C O ) O <unk> O C 1 C C <unk> O H ] ( C ) C 1 <eos> 1 <unk> [ <eos> <unk> C 2 <eos> O 1 <eos> - ) C # O = <eos> H C O n F ) B = S <pad> l,18 15 5 13 19 6 23 8 23 23 9 23 5 7 23 10 23 23 23 5 16 6 23 23 10 6 23 25 23 9 25 28 8,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc-2ns1,True,True,1,True,,273.29,2.548,68.87,1.0,4.0,2.0,0.7797,2.5072,True,0.9142,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
85,O=C(O)(CC=CC1CCCCC1C1CS(=O)C1O),31,0,32,,<eos>,eos,<bos> O = C ( O ) ( C C = C C 1 C C C C C 1 C 1 C S ( = O ) C 1 O ) <eos> c 1 C 1 ) c 1 1 ] N <unk> 1 <eos> c O O F O c C O <eos> O ) <unk> ( ] C ) ) C C ] C <eos> <unk> <eos> ] C C C <unk> <unk> ] 2 O C ) [ C ] C ) O C <eos> C ] 1 <unk> <eos> H ] 1 2 <eos> O 1 s r c B l = O ( s 2 N r 1 H r l 5 H =,19 13 15 5 19 6 5 15 15 13 15 15 8 15 15 15 15 15 8 15 8 15 20 5 13 19 6 15 8 19 6,O=C(O)CC=CC1CCCCC1C1CS(=O)C1O,True,True,1,True,,272.37,1.521,74.6,2.0,3.0,4.0,0.7609,4.8104,True,0.9115,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
984,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,34,0,35,,<eos>,eos,<bos> C c 1 c c c c ( C ) c 1 N 1 C ( = O ) c 2 c c c c ( O ) c 2 C 1 = O <eos> <eos> C 1 <eos> c 1 <eos> <eos> = C <eos> ( C <eos> C <eos> 2 <unk> C ] C C c C c ) 2 1 C C 1 C <unk> H ] ( O ) C C ( = O ) O O - ] ) [ C <unk> H 1 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> # s 5 n = ] <pad> <eos> l c 5 B 2 ) B 3 r #,15 23 8 23 23 23 23 5 15 6 23 8 18 8 15 5 13 19 6 23 9 23 23 23 23 5 19 6 23 9 15 8 13 19,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,True,True,1,False,,267.28,2.81,57.61,1.0,3.0,1.0,0.8082,2.1281,True,0.9006,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
704,CC(=O)Oc1ccccc1C(=O)N,21,0,22,,<eos>,eos,<bos> C C ( = O ) O c 1 c c c c c 1 C ( = O ) N <eos> N s c 1 C 1 <eos> C <eos> <eos> C <eos> O 1 <eos> 1 <eos> = O <eos> c 1 c 2 c 1 <eos> O C <eos> ) c c ) n C ) C ) 2 ) C ] ) c 1 <eos> [ C <unk> C <eos> 2 1 ) <eos> C C <unk> ] ( C ( O ) <unk> H <eos> 1 <unk> 1 <eos> ) C <eos> <eos> O 1 <eos> - 1 r - O 5 <pad> l = N <pad> r - # s S 2 n,15 15 5 13 19 6 19 23 8 23 23 23 23 23 8 15 5 13 19 6 18,CC(=O)Oc1ccccc1C(N)=O,True,True,1,True,,179.17,0.711,69.39,1.0,3.0,2.0,0.5366,1.6474,True,0.9001,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
343,Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,34,0,35,,<eos>,eos,<bos> C c 1 c c c c ( C ) c 1 N 1 C ( = O ) c 2 c c c ( N ) c c 2 C 1 = O <eos> <eos> C 1 <eos> c 1 <eos> <eos> c C ) ( 1 <eos> C ) 2 <unk> H ] ( C c C ) ) 2 <eos> C C 1 C <unk> H O ( O ) C C ( = O ) C O - ] ) [ C <unk> H ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> <pad> n 2 # = F c O o c <eos> N [ ( 4 ( <unk> #,15 23 8 23 23 23 23 5 15 6 23 8 18 8 15 5 13 19 6 23 9 23 23 23 5 18 6 23 23 9 15 8 13 19,Cc1cccc(C)c1N1C(=O)c2ccc(N)cc2C1=O,True,False,2,False,,266.3,2.686,63.4,1.0,3.0,1.0,0.6373,2.0615,True,0.8942,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
566,CCC(C)C(N)C(=O)N1CCC(O)C1,25,0,26,,<eos>,eos,<bos> C C C ( C ) C ( N ) C ( = O ) N 1 C C C ( O ) C 1 <eos> C <eos> 1 <eos> <eos> <eos> <eos> C 1 <eos> <eos> 1 <eos> <eos> O <eos> C ) <eos> 2 <eos> ( ) O ) ( ) C c C <unk> C [ C <unk> C ) C ] ) 2 ( = O ) C O <eos> ) ( O <eos> ) C <unk> - ] 1 2 C <eos> H ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> r H <unk> = 5 O [ ( o F ( N - H B c 5 4,15 15 15 5 15 6 15 5 18 6 15 5 13 19 6 18 8 15 15 15 5 19 6 15 8,CCC(C)C(N)C(=O)N1CCC(O)C1,True,True,1,False,,200.28,-0.047,66.56,2.0,3.0,3.0,0.6711,3.1753,True,0.884,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
642,CCC1(CO)C(=O)NC(=O)N(C)C1=O,27,0,28,,<eos>,eos,<bos> C C C 1 ( C O ) C ( = O ) N C ( = O ) N ( C ) C 1 = O <eos> c 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> 1 <eos> = O <eos> = ( ) O ( F C c <eos> C c c C O <eos> ( C c C ) C C 1 <eos> <unk> H ] 1 O ) C <eos> ( ) 4 ) C 3 <eos> C ) ( C ) C 1 <eos> 1 <unk> [ N <unk> C ] <eos> O 1 <eos> = o 5 <eos> s ) N <pad> o O N = 4 ) 1 4 2 4,15 15 15 8 5 15 19 6 15 5 13 19 6 18 15 5 13 19 6 18 5 15 6 15 8 13 19,CCC1(CO)C(=O)NC(=O)N(C)C1=O,True,True,1,True,,200.19,-0.917,86.71,2.0,4.0,2.0,0.5644,3.3517,True,0.884,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
160,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,33,0,34,,<eos>,eos,<bos> N C c 1 c ( N ) n c ( - c 2 c c c c c 2 ) n c 1 - c 1 c c c c c 1 <eos> l ) 1 C <eos> <eos> <eos> <eos> <eos> <eos> c H ) c ) c c ) c ) = c <eos> c c ) c 1 <eos> c 1 <eos> c C c 2 C <eos> C O 3 O F ) [ C <unk> <unk> H ] ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> F ) s # S F ( <eos> O B C <eos> n H - # [ r,18 15 23 8 23 5 18 6 25 23 5 7 23 9 23 23 23 23 23 9 6 25 23 8 7 23 8 23 23 23 23 23 8,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,True,False,3,False,,276.34,2.852,77.82,2.0,4.0,3.0,0.7707,1.9713,True,0.8829,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
