sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag
1,COc1ccc2c(-1)c(c(-c3ccc(O)cn3)[[nH]cc=O)c142C,45,0,46,,<eos>,eos,<bos> C O c 1 c c c 2 c ( - 1 ) c ( c ( - c 3 c c c ( O ) c n 3 ) [ [ n H ] c c = O ) c 1 4 2 C <eos> <unk> c c C ) c 1 <eos> <eos> c 2 ) c ) <eos> 1 <eos> <eos> 1 <eos> <unk> C ] 1 <eos> C ) O C ) C 1 = O ) C O ) C O <eos> O 1 <eos> 1 <unk> [ <eos> <unk> <unk> ] <eos> O 1 <eos> O <eos> s O 4 2 # N s l B H <unk> ] H = ] #,15 19 23 8 23 23 23 9 23 5 7 8 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 10 6 21 21 25 17 22 23 23 13 19 6 23 8 11 9 15,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
2,COc1ccc((OO)N1C(=O)N2C[H]C[C)(C[CO](CO(C)CC)[C)CH]CC(=O)O,57,0,63,,<eos>,eos,<bos> C O c 1 c c c ( ( O O ) N 1 C ( = O ) N 2 C [ <unk> H ] <unk> C [ <unk> C ) ( C [ C <unk> <unk> O ] ( C O ( C ) C C ) [ C ) C H ] C C ( = O ) O <eos> C = ) C O <eos> C ( C C <unk> ) ( O 4 O C <unk> <eos> ] 1 2 F <eos> ) 1 <eos> 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> s C <unk> C c F o <eos> c F H - <pad> n s o F S,15 19 23 8 23 23 23 5 5 19 19 6 18 8 15 5 13 19 6 18 9 15 21 3 17 22 3 15 21 3 15 6 5 15 21 15 3 3 19 22 5 15 19 5 15 6 15 15 6 21 15 6 15 17 22 15 15 5 13 19 6 19,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
3,C=CH](Cc1ccc(O)c(C)C(=O)N1CCOCCOCO(CNOC)OCC]=O)C(CCcC)cCc1C)CH]1,64,0,67,,<eos>,eos,<bos> C = C <unk> <unk> H ] ( C c 1 c c c ( O ) c ( C ) C ( = O ) N 1 C C O C C O C O ( C N O C ) O C C ] = O ) C ( C C c C ) c C c 1 C ) C H ] 1 <eos> ) ] <eos> 1 [ C <unk> C ] 2 1 O O 3 <eos> ( C ) C O <eos> 1 <eos> 1 <unk> 1 N <unk> C <eos> <eos> O 1 <eos> 5 o 1 O = F <pad> N l <unk> <eos> s ] 4 2 # [ ),15 13 15 3 3 17 22 5 15 23 8 23 23 23 5 19 6 23 5 15 6 15 5 13 19 6 18 8 15 15 19 15 15 19 15 19 5 15 18 19 15 6 19 15 15 22 13 19 6 15 5 15 15 23 15 6 23 15 23 8 15 6 15 17 22 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
4,O=C(=OC[CHccccc2c(NO)[CC[C]Cccc(C)[CH]nH])C)Cc1)C2,50,0,56,,<eos>,eos,<bos> O = C ( = O C [ C <unk> H c c c c c 2 c ( N O ) [ C <unk> C [ <unk> C ] C c c c ( C ) [ C <unk> H ] n <unk> H ] ) C ) C c 1 ) C 2 <eos> C ] C ) C 2 ) C 1 <eos> O c 1 <eos> C ) C O <unk> ] C 1 O C ) C = ] ( C ) C 1 <eos> C <unk> = O ) C O <eos> O 1 <eos> r <unk> 4 c <pad> o B s - O ] S 5 ] H n l c,19 13 15 5 13 19 15 21 15 3 17 23 23 23 23 23 9 23 5 18 19 6 21 15 3 15 21 3 15 22 15 23 23 23 5 15 6 21 15 3 17 22 25 3 17 22 6 15 6 15 23 8 6 15 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
5,N[CH](C(=O)N1CCSC1)[CH]1CC[CH](NC(=O)c2ccccccccc)23)C)1,55,0,59,,<eos>,eos,<bos> N [ C <unk> H ] ( C ( = O ) N 1 C C S C 1 ) [ C <unk> H ] 1 C C [ C <unk> H ] ( N C ( = O ) c 2 c c c c c c c c c ) 2 3 ) C ) 1 <eos> C C c ) <eos> ) C 1 <eos> c ) 2 ) C 1 <eos> c c 2 ) C C 1 <eos> ) ( O <eos> ) C <eos> C <unk> <eos> O ) 1 O <eos> O 1 <eos> F 4 <pad> = <eos> o <unk> O S 2 3 o 1 5 <pad> # H =,18 21 15 3 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 3 17 22 8 15 15 21 15 3 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 23 23 23 23 23 6 9 10 6 15 6 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
6,CN(C)CC(=O)c1cccc(-c2cccc[2)C1Cc)C1C))c1,40,0,41,,<eos>,eos,<bos> C N ( C ) C C ( = O ) c 1 c c c c ( - c 2 c c c c [ 2 ) C 1 C c ) C 1 C ) ) c 1 <eos> ( c 1 <eos> C ( c C <eos> c c <eos> c 3 ) [ N <unk> c ] <eos> 1 ) ] 1 c 1 <eos> [ ] 1 C <eos> C ( C ) [ C <unk> <unk> H ] ( O ) C [ C 1 <unk> ] O 1 C <eos> ) O 1 <eos> = S r 5 s 1 ] N F # H 4 # H B 4 <unk> (,15 18 5 15 6 15 15 5 13 19 6 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 9 6 15 8 15 23 6 15 8 15 6 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
7,Nc1ccc(C)=O)c2cccc(2)c(F)c1,27,0,28,,<eos>,eos,<bos> N c 1 c c c ( C ) = O ) c 2 c c c c ( 2 ) c ( F ) c 1 <eos> <eos> 1 C <eos> <eos> c C <eos> <eos> C C = <eos> l N c C c ) ) C ) C ) c 2 ) C <eos> c c ) c C <eos> C ) C ) c c <eos> 1 <eos> C O <unk> <unk> ) ( C C ) ( C ) ( C O <eos> 1 C C <unk> C O ) C 1 <eos> O 1 <eos> H 1 <pad> o B H ] 5 B l = 2 4 # <unk> ) l (,18 23 8 23 23 23 5 15 6 13 19 6 23 9 23 23 23 23 5 9 6 23 5 16 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
8,CCC(CC)CC(CC)C(=O)NCC)[(]CC1=O[(O=C(CH(N)CCOC(CcCcC(C[CO)cH]C,61,0,68,,<eos>,eos,<bos> C C C ( C C ) C C ( C C ) C ( = O ) N C C ) [ ( <unk> ] <unk> C C 1 = O <unk> [ ( O = C ( C H ( N ) C C O C ( C c C c C ( <unk> C <unk> [ C O ) c <unk> H ] C <eos> C 1 ) C O <unk> C O C 1 C C 3 C O ) ( 2 O <eos> C <eos> C <unk> [ C ) 1 ] <eos> O 1 <eos> O C # 5 s <pad> ) <eos> 2 c N s 5 n O n c F,15 15 15 5 15 15 6 15 15 5 15 15 6 15 5 13 19 6 18 15 15 6 21 5 3 22 3 15 15 8 13 19 3 21 5 19 13 15 5 15 17 5 18 6 15 15 19 15 5 15 23 15 23 15 5 3 15 3 21 15 19 6 23 3 17 22 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
9,CN(C)COCc1c1(ccc1ccc(Hl)c(O)[cH]c1cCc)cO)ccc2c)COCC,51,0,52,,<eos>,eos,<bos> C N ( C ) C O C c 1 c 1 ( c c c 1 c c c ( H l ) c ( O ) [ c H ] c 1 c C c ) c O ) c c c 2 c ) C O C C <eos> ) C C c ) N ) C O C <eos> C c <unk> C ( C <eos> ) O ( O ) 1 C O ) C ) O <eos> ) ( 2 <eos> C 1 <eos> 3 ( C O ) C 1 <eos> O 1 <eos> S - <pad> n <eos> 4 ) H - l o 4 = <pad> 2 - B <eos>,15 18 5 15 6 15 19 15 23 8 23 8 5 23 23 23 8 23 23 23 5 17 24 6 23 5 19 6 21 23 17 22 23 8 23 15 23 6 23 19 6 23 23 23 9 23 6 15 19 15 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
10,C=C(C1[Cc][(H)[H]CC[c4cc((C)c(2[[H])(cONCCC2H]c)[cH]1OO)1C])(C,62,0,69,,<eos>,eos,<bos> C = C ( C 1 [ C c <unk> ] [ ( H ) [ H <unk> ] C C [ c 4 c c ( ( C ) <unk> c ( 2 [ [ <unk> H ] ) ( c O N C C C 2 H ] c ) [ c <unk> H ] 1 O O ) 1 C <unk> ] ) ( C <eos> ) C C O <eos> ] ( O ( [ C <unk> <unk> ] 1 2 F <eos> ) O <eos> C <unk> 1 <eos> ) 1 2 <eos> O 1 <eos> N 2 l O <pad> S F H F <unk> c 1 <unk> = <pad> n H ),15 13 15 5 15 8 21 15 23 3 22 21 5 17 6 21 17 3 22 15 15 21 23 11 23 23 5 5 15 6 3 23 5 9 21 21 3 17 22 6 5 23 19 18 15 15 15 9 17 22 23 6 21 23 3 17 22 8 19 19 6 8 15 3 22 6 5 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
