sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
149,CCC(C)[CH](N)C(=O)N1CCC[CH]1C#N,31,0,34,,<eos>,eos,<bos> C C C ( C ) [ C <unk> H ] ( N ) C ( = O ) N 1 C C C [ C <unk> H ] 1 C # N <eos> C c = O <eos> = O <eos> ] = O c ( C <eos> ) <unk> C ( [ C ) C H ] ( ) ) ) C [ C <unk> ] H ] C [ C C <unk> ] 2 4 [ O 3 <unk> ] ] ( C ) C 1 <eos> 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> s H B O <eos> F <pad> <eos> 4 ) <eos> B ) H F 5 H <pad>,15 15 15 5 15 6 21 15 3 17 22 5 18 6 15 5 13 19 6 18 8 15 15 15 21 15 3 17 22 8 15 4 18,CCC(C)C(N)C(=O)N1CCCC1C#N,True,True,1,True,,209.29,0.874,70.12,1.0,3.0,3.0,0.7495,3.3801,True,0.9299,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
85,O=C(O)(CC=CC1CCCCC1C1CS(=O)C1O),31,0,32,,<eos>,eos,<bos> O = C ( O ) ( C C = C C 1 C C C C C 1 C 1 C S ( = O ) C 1 O ) <eos> c 1 C 1 ) c 1 1 ] N <unk> 1 <eos> c O O F O c C O <eos> O ) <unk> ( ] C ) ) C C ] C <eos> <unk> <eos> ] C C C <unk> <unk> ] 2 O C ) [ C ] C ) O C <eos> C ] 1 <unk> <eos> H ] 1 2 <eos> O 1 s r c B l = O ( s 2 N r 1 H r l 5 H =,19 13 15 5 19 6 5 15 15 13 15 15 8 15 15 15 15 15 8 15 8 15 20 5 13 19 6 15 8 19 6,O=C(O)CC=CC1CCCCC1C1CS(=O)C1O,True,True,1,True,,272.37,1.521,74.6,2.0,3.0,4.0,0.7609,4.8104,True,0.9115,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
160,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,33,0,34,,<eos>,eos,<bos> N C c 1 c ( N ) n c ( - c 2 c c c c c 2 ) n c 1 - c 1 c c c c c 1 <eos> l ) 1 C <eos> <eos> <eos> <eos> <eos> <eos> c H ) c ) c c ) c ) = c <eos> c c ) c 1 <eos> c 1 <eos> c C c 2 C <eos> C O 3 O F ) [ C <unk> <unk> H ] ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> F ) s # S F ( <eos> O B C <eos> n H - # [ r,18 15 23 8 23 5 18 6 25 23 5 7 23 9 23 23 23 23 23 9 6 25 23 8 7 23 8 23 23 23 23 23 8,NCc1c(N)nc(-c2ccccc2)nc1-c1ccccc1,True,True,1,False,,276.34,2.852,77.82,2.0,4.0,3.0,0.7707,1.9713,True,0.8829,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
140,NCCC(N)C(=O)N1CCCCC1,20,0,22,,<eos>,eos,<bos> N C C <unk> C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 <eos> <eos> 1 <eos> C <eos> <eos> <eos> <eos> C <eos> C <eos> C 1 <eos> O <eos> O C <eos> ) C ( F ) c ( C c c C O ) C ] C C ) <eos> H C C <eos> C O ) O ) ( C ( ) O ) 2 C <unk> C ) ) C 1 <eos> C 2 1 <unk> [ N <unk> C ] <eos> O 1 <eos> S o O 5 = n c <eos> # <pad> o 5 4 # ) n H S,18 15 15 3 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,NCCC(N)C(=O)N1CCCCC1,True,True,1,False,,185.27,-0.325,72.35,2.0,3.0,3.0,0.6324,2.5359,True,0.8785,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
239,O=C(C)NC(=O)NCCc1ccccc1,23,0,24,,<eos>,eos,<bos> O = C ( C ) N C ( = O ) N C C c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> C 1 <eos> <eos> 1 <eos> <eos> <eos> C <eos> 1 <eos> <eos> ] C c c <eos> C <unk> = c ) c C [ C <unk> c H ) C 2 <eos> C <unk> C C <eos> ( O ) C C O C O ) O ) C C <unk> ] ) [ C <unk> <eos> C <eos> C <unk> [ N <unk> 1 ] <eos> O 1 <eos> s H o 2 O 1 s O B O 3 <pad> F # r l = F,19 13 15 5 15 6 18 15 5 13 19 6 18 15 15 23 8 23 23 23 23 23 8,CC(=O)NC(=O)NCCc1ccccc1,True,True,1,True,,206.25,1.075,58.2,2.0,2.0,3.0,0.7769,1.6266,True,0.8763,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
199,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1C,34,0,35,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 C <eos> n 1 C <eos> C 1 <eos> <eos> ) C <eos> <eos> c c 1 <eos> C 1 ) c c c <eos> c 1 c 1 <eos> <unk> [ C <unk> c c O <eos> <eos> ) ( C O C O = C [ C ] H ] 2 ) <eos> O <eos> 1 <unk> [ H ] <unk> ] <eos> O 1 <eos> F = <unk> o = 3 N <eos> F l C s F <pad> H 4 <unk> #,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 15 6 23 23 9 6 23 23 8 15,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1C,True,True,1,True,,291.37,3.113,55.4,1.0,3.0,4.0,0.9413,1.6185,True,0.8643,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
297,CNC(=O)Cc1cccc2cnccc12,22,0,23,,<eos>,eos,<bos> C N C ( = O ) C c 1 c c c c 2 c n c c c 1 2 <eos> 1 c 1 <eos> <eos> C 1 C O <eos> C C <eos> C C 1 <eos> O <eos> C ( C ) O 2 O ) c O ) C ( C <eos> C 3 C c C ) C 1 <eos> C 1 <eos> O ) C O <eos> C ] C 1 C C 3 ( C ) ( C O C 1 <eos> C <unk> 1 O ) C 1 <eos> O 1 <eos> B H 5 <pad> ) # 1 <eos> - S 1 F = ] s N 5 -,15 18 15 5 13 19 6 15 23 8 23 23 23 23 9 23 25 23 23 23 8 9,CNC(=O)Cc1cccc2cnccc12,True,True,1,True,,200.24,1.523,41.99,1.0,2.0,2.0,0.7983,1.9453,True,0.8643,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
268,N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,32,0,33,,<eos>,eos,<bos> N # C c 1 c ( N C ( = O ) c 2 c c c c c 2 ) s c 2 c 1 C C C C 2 <eos> ) 1 1 <eos> C 1 <eos> ) O ) c 2 ) c c c ) c <eos> c c c C ) <eos> C <eos> <eos> 1 c <eos> H ] 2 <eos> ( 1 <eos> C ) <eos> C ) ) O ) 2 C 1 <eos> ) ( 2 <unk> <eos> C 2 1 <unk> [ <eos> <unk> <unk> ] <eos> O 1 <eos> l <eos> c - l o S <eos> # S o 5 r <unk> ( <unk> 5 [,18 4 15 23 8 23 5 18 15 5 13 19 6 23 9 23 23 23 23 23 9 6 28 23 9 23 8 15 15 15 15 9,N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,True,True,1,False,,282.37,3.751,52.89,1.0,3.0,2.0,0.9116,1.9496,True,0.8601,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
256,CC(Cc1ccccc1)C(=O)N1CCCC1,25,0,26,,<eos>,eos,<bos> C C ( C c 1 c c c c c 1 ) C ( = O ) N 1 C C C C 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> O 1 <eos> <eos> <eos> <eos> <eos> <eos> = O <eos> C C C <eos> <eos> ) C C <eos> ) <eos> ( ) O c [ C <unk> <unk> ] <eos> O 1 2 <unk> C O ) O ) O C ] C 1 C 2 ) O <eos> ) ( C ) C 1 <eos> 1 <unk> <eos> <eos> <unk> <unk> ] <eos> O 1 <eos> N 1 # O n S 4 O B N c ) s ) O # <unk> ),15 15 5 15 23 8 23 23 23 23 23 8 6 15 5 13 19 6 18 8 15 15 15 15 8,CC(Cc1ccccc1)C(=O)N1CCCC1,True,True,1,True,,217.31,2.488,20.31,0.0,1.0,3.0,0.7614,2.1071,True,0.8591,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
99,CCC(C)C(N)C(=O)N1CCCCC1,23,0,24,,<eos>,eos,<bos> C C C ( C ) C ( N ) C ( = O ) N 1 C C C C C 1 <eos> <eos> 1 C <eos> C 1 C <eos> C c 1 <eos> C 1 <eos> <eos> O O C ) N 2 <eos> ( ) O ( C ) C [ 1 <unk> H ] C <unk> C ) <unk> H ] 2 ( H O ( C ) <eos> C ( O <eos> ) C <unk> - ] 1 2 F <eos> H ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> s 4 <pad> = c ] [ C B O r B ) c <pad> F 5 <pad>,15 15 15 5 15 6 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,CCC(C)C(N)C(=O)N1CCCCC1,True,True,1,False,,198.31,1.372,46.33,1.0,2.0,3.0,0.7442,2.6619,True,0.8567,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
