sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag
1,COc1ccc(c(-1)coc2-c3ccc(O)[cH]n[nH]cc=Occ2,42,0,43,,<eos>,eos,<bos> C O c 1 c c c ( c ( - 1 ) c o c 2 - c 3 c c c ( O ) [ c H ] n [ n H ] c c = O c c 2 <eos> ) 1 <eos> <eos> c <eos> 1 <eos> <eos> ) <pad> n ) 5 # 4 ( ) <eos> # O <eos> - = 4 B H O <unk> H F o 2 <eos> # 4 ) <unk> 5 <pad> r 5 l 2 4 N O 4 ) O - # 5 S <eos> [ 1 # S 2 s O <pad> H <pad> 5 s c B H 1 ] H = <unk> #,15 19 23 8 23 23 23 5 23 5 7 8 6 23 26 23 9 7 23 10 23 23 23 5 19 6 21 23 17 22 25 21 25 17 22 23 23 13 19 23 23 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
2,COc1cccc(nO(c(C(=O)c2Ccnc(N(cSC)(())C)OC,40,0,41,,<eos>,eos,<bos> C O c 1 c c c c ( n O ( c ( C ( = O ) c 2 C c n c ( N ( c S C ) ( ( ) ) C ) O C <eos> C 1 <eos> O <eos> C 1 <eos> <eos> <eos> <eos> = 2 [ <eos> - B # <eos> 2 N c 5 - N 1 ) H B N <eos> 3 F 4 = 4 <unk> O 2 <unk> = B r S C ) <eos> 4 o H 4 s o r O n # [ 4 1 s ) 2 r ] B o s n F 5 s ) ( s 4 F c,15 19 23 8 23 23 23 23 5 25 19 5 23 5 15 5 13 19 6 23 9 15 23 25 23 5 18 5 23 20 15 6 5 5 6 6 15 6 19 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
3,C=C(N1n(cnc2c(s()c2c)C(=O)N1CCCCC(CCCCC=,40,0,41,,<eos>,eos,<bos> C = C ( N 1 n ( c n c 2 c ( s ( ) c 2 c ) C ( = O ) N 1 C C C C C ( C C C C C = <eos> 2 <eos> <eos> <eos> 1 <eos> <eos> <eos> 1 <eos> <eos> F B 2 S c S # B O ) c H B ) 3 <eos> 2 1 <eos> l O <unk> H 4 [ S O c n H F 3 4 H [ N 4 S - ) O ( - c S 4 F 1 ( r O o # = 5 F l <eos> <unk> <eos> s <pad> <unk> 2 # [ ),15 13 15 5 18 8 25 5 23 25 23 9 23 5 28 5 6 23 9 23 6 15 5 13 19 6 18 8 15 15 15 15 15 5 15 15 15 15 15 13,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
4,O=1cNnCCc2c3ccnc2c(c))[nc)c)c1C2)c(C)Cc=,40,0,41,,<eos>,eos,<bos> O = 1 c N n C C c 2 c 3 c c n c 2 c ( c ) ) [ n c ) c ) c 1 C 2 ) c ( C ) C c = <eos> ) 2 n <eos> <eos> 1 C C <eos> <eos> <eos> 1 r 5 S [ # n ) [ C ( F N # F # H = <unk> 3 ] c B 4 c # <eos> O H = 2 = 5 l S o ( C c s = l C 5 o 4 r <unk> <pad> <eos> - 5 = ) r B s F O ] ) <pad> ] H n c s,19 13 8 23 18 25 15 15 23 9 23 10 23 23 25 23 9 23 5 23 6 6 21 25 23 6 23 6 23 8 15 9 6 23 5 15 6 15 23 13,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
5,C=C1CN(C(=O)N2CCC=C)CcH)cnCOC(C(C4CC)C(3,40,0,41,,<eos>,eos,<bos> C = C 1 C N ( C ( = O ) N 2 C C C = C ) C c H ) c n C O C ( C ( C 4 C C ) C ( 3 <eos> ) c N C <eos> <eos> 1 C <eos> <eos> <eos> = o # s - N n - r o [ <unk> - r S C H <pad> O s 3 F ] 2 o [ # N [ - 2 = n ( c H F r n <unk> 3 ) H r n ( S <unk> ] 4 N <pad> 3 2 = o O S l C H l 1 <pad> O H =,15 13 15 8 15 18 5 15 5 13 19 6 18 9 15 15 15 13 15 6 15 23 17 6 23 25 15 19 15 5 15 5 15 11 15 15 6 15 5 10,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
6,CCCCC(C(=O)c1cccc(2cc2cccc2(C)Cc)2(CO)C1,40,0,41,,<eos>,eos,<bos> C C C C C ( C ( = O ) c 1 c c c c ( 2 c c 2 c c c c 2 ( C ) C c ) 2 ( C O ) C 1 <eos> c 1 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> 1 s l B O B s n N 3 - F # S 4 C = 2 <unk> l <eos> ) c o c <eos> ) S [ 5 ) N n # ] N [ # 1 N 3 S - <unk> 1 H # 5 o = 1 r 5 <eos> 1 <eos> N F # <unk> 4 # H B 5 <unk> r,15 15 15 15 15 5 15 5 13 19 6 23 8 23 23 23 23 5 9 23 23 9 23 23 23 23 9 5 15 6 15 23 6 9 5 15 19 6 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
7,Nc1ccc(CCCOCc2ccccn2)c(C)c1,27,0,28,,<eos>,eos,<bos> N c 1 c c c ( C C C O C c 2 c c c c n 2 ) c ( C ) c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> c <eos> <eos> <eos> <eos> C <eos> C <eos> 3 - 5 <unk> c # 3 1 r C 3 4 3 o F N = B <unk> N # S # <pad> = N S 2 1 [ o B N o l 5 [ C 5 [ C 5 - o n 4 ] 3 O H 1 <pad> o B H ] <eos> B l <unk> B 4 # o C l ),18 23 8 23 23 23 5 15 15 15 19 15 23 9 23 23 23 23 25 9 6 23 5 15 6 23 8,Cc1cc(N)ccc1CCCOCc1ccccn1,True,True,1,True,,256.35,3.122,48.14,1.0,3.0,6.0,0.6378,2.0877,True,0.7693,Strong candidate,True
8,COC(C=(CNCCC(C(=O)C(C)C(C2C)C(=O)C(C=C(CO2,42,0,43,,<eos>,eos,<bos> C O C ( C = ( C N C C C ( C ( = O ) C ( C ) C ( C 2 C ) C ( = O ) C ( C = C ( C O 2 <eos> 2 1 C <eos> <eos> <eos> <eos> <eos> <eos> 1 N = c N s C - 3 = c r F N F <eos> <unk> H N ) n c 3 1 c S = S [ 1 s = l C B 4 N # ) ] S # r ) 4 5 3 <unk> s O o # 5 s <pad> ] <eos> 2 c N s H n ( n c ),15 19 15 5 15 13 5 15 18 15 15 15 5 15 5 13 19 6 15 5 15 6 15 5 15 9 15 6 15 5 13 19 6 15 5 15 13 15 5 15 19 9,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
9,CN(C)C(Cc1C((c-c2ccc(Fl)c=C)CcC]Cc(Cc32O2)c1,44,0,45,,<eos>,eos,<bos> C N ( C ) C ( C c 1 C ( ( c - c 2 c c c ( F l ) c = C ) C c C ] C c ( C c 3 2 O 2 ) c 1 <eos> <eos> 1 <eos> <eos> 2 <eos> <eos> 1 5 3 - s <pad> C s F c = F - 2 = <eos> c 2 N 3 o r = 1 c [ o S H o = ( C l ) - # r c C s S C 2 5 4 S - F S - 4 n <eos> 4 <pad> r - <eos> o 4 = # <eos> - F ),15 18 5 15 6 15 5 15 23 8 15 5 5 23 7 23 9 23 23 23 5 16 24 6 23 13 15 6 15 23 15 22 15 23 5 15 23 10 9 19 9 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
10,C=C(NCCc2nc(CNCN(C)cCcc3cnc(C)ccC3C))Cn2)c1,43,0,44,,<eos>,eos,<bos> C = C ( N C C c 2 n c ( C N C N ( C ) c C c c 3 c n c ( C ) c c C 3 C ) ) C n 2 ) c 1 <eos> 1 <eos> C <eos> <eos> <eos> <eos> <eos> 1 c [ 2 s [ N ) n o # <unk> - ( 4 C ] B F C = 2 S ( - 2 1 S F = 3 = - H c 4 F 3 4 ) S <pad> N F C H c 1 r = C l r <pad> - o S F 2 c 1 l ] H n - ),15 13 15 5 18 15 15 23 9 25 23 5 15 18 15 18 5 15 6 23 15 23 23 10 23 25 23 5 15 6 23 23 15 10 15 6 6 15 25 9 6 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
