sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag
1,COc1ccc2c(c1)C(c(-c3ccc(N)cn3)c[nH]c(=O)C,41,0,42,,<eos>,eos,<bos> C O c 1 c c c 2 c ( c 1 ) C ( c ( - c 3 c c c ( N ) c n 3 ) c [ n H ] c ( = O ) C <eos> 4 c C <eos> <eos> c ) C ) c n 1 <eos> c 2 ) <eos> ) <eos> 1 <eos> c [ <eos> <unk> <unk> ] 1 <eos> C ) O C ) C 1 C O ) = ] ) C 2 <eos> O 1 <eos> 3 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> 2 4 c o 4 3 [ N F <eos> [ S <unk> [ 2 o <unk> #,15 19 23 8 23 23 23 9 23 5 23 8 6 15 5 23 5 7 23 10 23 23 23 5 18 6 23 25 10 6 23 21 25 17 22 23 5 13 19 6 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
2,COc1cccC(CO)N1C(=O)N2C[H]C(CC)(C)C=H](CC(C)CC)O)(HC2C(=O)O,58,0,63,,<eos>,eos,<bos> C O c 1 c c c C ( C O ) N 1 C ( = O ) N 2 C [ <unk> H ] C ( C <unk> C ) ( C ) C <unk> = H ] ( C C ( C ) C C ) O ) ( <unk> H C 2 C ( = O ) O <eos> ) C ) <eos> O <eos> ) [ C C <unk> ] ( O ) O C <unk> C ] 1 2 F <eos> ) O <eos> 1 <unk> [ N <unk> 1 ] <eos> O 1 <eos> # 2 F O ] O S <eos> c = C o <pad> n s 5 2 S,15 19 23 8 23 23 23 15 5 15 19 6 18 8 15 5 13 19 6 18 9 15 21 3 17 22 15 5 15 3 15 6 5 15 6 15 3 13 17 22 5 15 15 5 15 6 15 15 6 19 6 5 3 17 15 9 15 5 13 19 6 19,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
3,C[CH](Cc1cc2(O)c1C)C(=O)N1CCOCCOC=OC(OC)NCC]=O)C1CCcO)cCcCC),60,0,63,,<eos>,eos,<bos> C [ C <unk> <unk> H ] ( C c 1 c c 2 ( O ) c 1 C ) C ( = O ) N 1 C C O C C O C = O C ( O C ) N C C ] = O ) C 1 C C c O ) c C c C C ) <eos> H ] C <unk> ) c <eos> 1 [ C <unk> <unk> ] 2 1 O C 3 <eos> ( C ( O ) C 1 <eos> <unk> <unk> 1 <eos> 1 C <eos> <eos> O 1 <eos> r <unk> # O ) B N <eos> S l H n ] F 2 5 2 c,15 21 15 3 3 17 22 5 15 23 8 23 23 9 5 19 6 23 8 15 6 15 5 13 19 6 18 8 15 15 19 15 15 19 15 13 19 15 5 19 15 6 18 15 15 22 13 19 6 15 8 15 15 23 19 6 23 15 23 15 15 6,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
4,O=C(=C([CHcc2cc2c(HO)[CC[C]c]c]Cc][CcH]C1H](C)Cc1CC,51,0,56,,<eos>,eos,<bos> O = C ( = C ( [ C <unk> H c c 2 c c 2 c ( H O ) [ C <unk> C [ <unk> C ] c ] c ] C c ] [ C c H ] C 1 H ] ( C ) C c 1 C C <unk> <eos> H ] C ) <eos> ) C <eos> C <eos> O C 1 2 ) C ) O <unk> C ] 4 O C ) C = C ( C ) C 1 <eos> ) <unk> C 2 ) <unk> <eos> <eos> O 1 <eos> s <eos> s F ) # B <eos> n C N F c B ( S - F,19 13 15 5 13 15 5 21 15 3 17 23 23 9 23 23 9 23 5 17 19 6 21 15 3 15 21 3 15 22 23 22 23 22 15 23 22 21 15 23 17 22 15 8 17 22 5 15 6 15 23 8 15 15 3,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
5,N[CH](C(=O)N1CCSC1)[CH]1CC[[H](NC(=O)c2ccccccccFcc2)CC1,55,0,59,,<eos>,eos,<bos> N [ C <unk> H ] ( C ( = O ) N 1 C C S C 1 ) [ C <unk> H ] 1 C C [ [ <unk> H ] ( N C ( = O ) c 2 c c c c c c c c F c c 2 ) C C 1 <eos> ) C c <eos> 1 <eos> C 1 <eos> c c 2 ) C 1 ) <eos> c 2 ) C C 1 <eos> ) ( F <eos> ) C <eos> C <unk> C O ) C 2 <eos> O 1 <eos> r [ O = O 4 ] # 4 ( [ o 1 5 <pad> N H l,18 21 15 3 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 3 17 22 8 15 15 21 21 3 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 23 23 23 23 16 23 23 9 6 15 15 8,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
6,CN(C)(C(=O)c1cccc(-c2cccc[2)C1Cc2nCc)Cc1,40,0,41,,<eos>,eos,<bos> C N ( C ) ( C ( = O ) c 1 c c c c ( - c 2 c c c c [ 2 ) C 1 C c 2 n C c ) C c 1 <eos> c c 1 <eos> C ( c 1 <eos> ) O <eos> O C c [ N <unk> c ] <eos> C H C [ c C <unk> O ] <unk> O <eos> C <unk> F ) [ C <unk> <unk> H ] ( O ) C [ C <unk> <unk> ] 2 1 C <eos> <eos> O 1 <eos> = N H 2 ) o <pad> n F <pad> <eos> 5 ] F <eos> C <unk> C,15 18 5 15 6 5 15 5 13 19 6 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 9 6 15 8 15 23 9 25 15 23 6 15 23 8,,False,False,0,True,unbalanced_brackets,,,,,,,,,,,,
7,Nc1ccc(CC=O)c2cccc(2)c(F)c1,27,0,28,,<eos>,eos,<bos> N c 1 c c c ( C C = O ) c 2 c c c c ( 2 ) c ( F ) c 1 <eos> <eos> C 1 C <eos> c 1 <eos> <eos> C <eos> <eos> O <eos> N C c c 1 ) c 2 c <eos> c c c 2 c c c ) c 1 ) 2 ) C 2 ) c <eos> 1 <eos> C C <unk> <unk> ) ( C C ) C ( C ( C O C 1 C C <unk> C <eos> ) C O <eos> O 1 <eos> F [ s <pad> o H n # = S ] n ] C 2 # 2 l,18 23 8 23 23 23 5 15 15 13 19 6 23 9 23 23 23 23 5 9 6 23 5 16 6 23 8,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
8,CCNC(C)C(C(N)C(=O)N1C][C]1CC1=O[1=C,35,0,39,,<eos>,eos,<bos> C C N C ( C ) C ( C ( N ) C ( = O ) N 1 C ] [ C <unk> ] 1 C C 1 = O <unk> [ 1 <unk> = C <eos> C <unk> ( N ] c C O C ( C c <unk> C ] C <unk> ) <eos> [ 1 <unk> ) O <eos> C <unk> C ] C 1 ) C ) O C ( C 1 C O <unk> C C ) ( 2 ) <eos> C <eos> C <unk> 2 H ) 1 ] <eos> O 1 <eos> l F 5 = <unk> ) N <eos> o n c ) 4 ] O 4 - ),15 15 18 15 5 15 6 15 5 15 5 18 6 15 5 13 19 6 18 8 15 22 21 15 3 22 8 15 15 8 13 19 3 21 8 3 13 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
9,CN(C)COCc1cc2ccc3cc[(H])c(C)[(H]2cC[c)cCcnc2c)c=OCO,51,0,52,,<eos>,eos,<bos> C N ( C ) C O C c 1 c c 2 c c c 3 c c [ ( H ] ) c ( C ) [ ( H ] 2 c C [ c ) c C c n c 2 c ) c = O C O <eos> ) c C 1 ) c ) <unk> [ C ) C <unk> 1 C 3 <eos> ) ) O ( C ) C C <unk> ) C = O <eos> ) [ O <unk> C 1 <eos> C <unk> C O ) C 1 ) O 1 <eos> s N 4 5 F o ] <eos> 3 <unk> F <pad> 4 H <pad> 3 B #,15 18 5 15 6 15 19 15 23 8 23 23 9 23 23 23 10 23 23 21 5 17 22 6 23 5 15 6 21 5 17 22 9 23 15 21 23 6 23 15 23 25 23 9 23 6 23 13 19 15 19,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
10,O=C1CO[CC](H)[C]N(Cc4cc[(C)cH4[[H])c=()OCCH]2)[CH]1O5,53,0,61,,<eos>,eos,<bos> O = C 1 C O [ C <unk> C ] ( <unk> H ) [ C <unk> ] N ( C c 4 c c [ ( C ) c <unk> H 4 [ [ H <unk> ] ) c = ( ) O C C <unk> H ] 2 ) [ C <unk> H ] 1 O 5 <eos> O <eos> <unk> ] ) ( C ) C [ C <unk> H ] C O <eos> = C <unk> <unk> ] 1 2 F <eos> ) 1 <eos> C <unk> ] <eos> ] C 2 <eos> O 1 <eos> r ) l <pad> r B F H C B c 1 4 = 5 o ) F,19 13 15 8 15 19 21 15 3 15 22 5 3 17 6 21 15 3 22 18 5 15 23 11 23 23 21 5 15 6 23 3 17 11 21 21 17 3 22 6 23 13 5 6 19 15 15 3 17 22 9 6 21 15 3 17 22 8 19 12,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
