sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
780,CCC(CO)C(=O)c1ccc(N)C(=O)OCc(Cl)c1Cl,36,0,37.0,,<eos>,eos,<bos> C C C ( C O ) C ( = O ) c 1 c c c ( N ) C ( = O ) O C c ( C l ) c 1 C l <eos> 1 O O ( c ) C c 1 <eos> O <eos> 2 c c c O c 2 c C <eos> C <eos> c <eos> 2 C 1 c 1 c c C F C 1 C c c 2 C C C 1 <eos> C ( O ) C [ C 1 2 ] 2 1 C <eos> <eos> O 1 # r [ o n B c n H o - N S 4 r ] 1 4 l,15 15 15 5 15 19 6 15 5 13 19 6 23 8 23 23 23 5 18 6 15 5 13 19 6 19 15 23 5 15 24 6 23 8 15 24,l,c1Cl,0,0,,0,1,0,CCC(CO)C(=O)C1=CC=C(N)C(=O)OCC(Cl)=C1Cl,True,True,1,True,,320.17,1.589,89.62,2.0,5.0,4.0,0.7679,4.5565,True,0.9275,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
140,NCCCC(N)C(=O)N1CCCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C ( N ) C ( = O ) N 1 C C C C C 1 <eos> C 1 C 1 <eos> <eos> <eos> C <eos> <eos> <eos> C <eos> <eos> <eos> C 1 = O = O C 2 ( C ( F ) c ( c C c C O ) C 1 C C ) C H C C c C O ( O ) ( C ( = O ) 2 C [ C ) ] C 1 C H 2 1 2 [ N ] C 2 [ O 1 s S N o = c O c N # - o - H # N 1 H ],18 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCC(N)C(=O)N1CCCCC1,True,True,1,False,,199.3,0.065,72.35,2.0,3.0,4.0,0.6725,2.4779,True,0.9191,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
199,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,33,0,34.0,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c ( C ) c c 2 ) c c 1 <eos> <eos> c 1 C C C 1 <eos> <eos> c C <eos> <eos> c c 1 c C 1 <eos> c c c <eos> c 1 c 1 <eos> C [ C c 1 c O ( C ) ( C O C O = C ) C ] H ( O ) C O C 1 = [ H ] 1 2 c O 1 # F = # o = O N # F l C s F H C 2 <eos> #,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 15 6 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,COc1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,True,True,1,True,,277.34,2.804,55.4,1.0,3.0,4.0,0.9346,1.4569,True,0.9183,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
642,CCC1(CC)C(=O)NC(=O)N(C)C1=O,27,0,28.0,,<eos>,eos,<bos> C C C 1 ( C C ) C ( = O ) N C ( = O ) N ( C ) C 1 = O <eos> c 1 C 1 <eos> 1 C l 1 <eos> 1 C = O 1 = O <eos> O ( F C c C ) c c C O <eos> ( C c C ) C C 1 C C H O 1 O C <eos> <eos> ( C 4 ) C 3 C C N ( C ) C C 2 C 2 [ N ] C 2 O O 1 s ( o 4 o s ) N H o 2 N = F - B 3 F 1,15 15 15 8 5 15 15 6 15 5 13 19 6 18 15 5 13 19 6 18 5 15 6 15 8 13 19,O,C1=O,0,0,,0,1,0,CCC1(CC)C(=O)NC(=O)N(C)C1=O,True,True,1,False,,198.22,0.501,66.48,1.0,3.0,2.0,0.6569,2.7668,True,0.917,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
941,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc2ns1,33,0,34.0,,<eos>,eos,<bos> N C ( = O ) c 1 c c 2 c ( - c 3 c c c ( F ) c c 3 ) c n c 2 n s 1 <eos> <eos> C <eos> C 1 c O C C 1 <eos> c <eos> 3 c C c C c c 1 c c C c 3 c 2 O C 1 C c 1 ( O C O ) O C O C 1 C C = O H N ( C ) C 1 C 1 = [ N ] C 2 <eos> O 1 n - [ C 4 O = r H C O n F l B ] S 1 n,18 15 5 13 19 6 23 8 23 23 9 23 5 7 23 10 23 23 23 5 16 6 23 23 10 6 23 25 23 9 25 28 8,1,2ns1,0,0,,0,2,0,NC(=O)c1cc2c(-c3ccc(F)cc3)cnc-2ns1,True,True,1,True,,273.29,2.548,68.87,1.0,4.0,2.0,0.7797,2.5072,True,0.9142,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
85,O=C(O)(CC=CC1CCCCC1C1CS(=O)C1O),31,0,32.0,,<eos>,eos,<bos> O = C ( O ) ( C C = C C 1 C C C C C 1 C 1 C S ( = O ) C 1 O ) <eos> <eos> 1 C 1 <eos> c 1 1 O N C 1 ( c O O F O c C O C c ) C ( C 1 ) [ C C ] C <eos> 1 H O C C C O C O 2 O C O [ C ] C ( O C C C 2 1 2 [ H ] 1 2 ) O 1 <eos> r <eos> B <eos> o O ( s 2 N r 1 H N 2 ) 1 =,19 13 15 5 19 6 5 15 15 13 15 15 8 15 15 15 15 15 8 15 8 15 20 5 13 19 6 15 8 19 6,),C1O),0,0,,0,2,0,O=C(O)CC=CC1CCCCC1C1CS(=O)C1O,True,True,1,True,,272.37,1.521,74.6,2.0,3.0,4.0,0.7609,4.8104,True,0.9115,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
712,CC(C(=O)O)c1ccc(CNC)CCC1=O,26,0,27.0,,<eos>,eos,<bos> C C ( C ( = O ) O ) c 1 c c c ( C N C ) C C C 1 = O <eos> c 1 1 <eos> <eos> <eos> 1 C l C 1 <eos> <eos> <eos> <eos> <eos> C ( H ( N C ) C ( O O ) N ( C C C c 2 ) C 2 ) c c <eos> <eos> C O <eos> O <eos> ( C 1 C C 3 O C ) ( O ) C [ O C O ] O 1 C 1 N O 1 o ( N = C ) O 1 s - c C B o C B 3 r s,15 15 5 15 5 13 19 6 19 6 23 8 23 23 23 5 15 18 15 6 15 15 15 8 13 19,O,C1=O,0,0,,0,2,0,CNCC1=CC=C(C(C)C(=O)O)C(=O)CC1,True,True,1,True,,223.27,1.142,66.4,2.0,3.0,4.0,0.7498,3.6536,True,0.91,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
760,CCOc1cc2ccc1C(=O)C(OCC(C)=O)C1C2Cc1,35,0,36.0,,<eos>,eos,<bos> C C O c 1 c c 2 c c c 1 C ( = O ) C ( O C C ( C ) = O ) C 1 C 2 C c 1 <eos> <eos> <eos> C <eos> C O N C ( N ) C C C C <eos> c <eos> c <eos> c <eos> <eos> C c <eos> <eos> 2 O C 2 <eos> H 2 1 [ C O C ] 2 1 O C 3 O ( C ( C ) C 1 C 1 O [ N 1 C ] ) O 1 o 5 [ o = l o n s # O r s F n ] 3 H 5,15 15 19 23 8 23 23 9 23 23 23 8 15 5 13 19 6 15 5 19 15 15 5 15 6 13 19 6 15 8 15 9 15 23 8,1,2Cc1,0,0,,0,2,0,CCOc1cc2ccc1C(=O)C(OCC(C)=O)C1CCC21,True,True,1,True,,288.34,2.749,52.6,0.0,4.0,5.0,0.8357,4.3497,True,0.9045,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
385,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,34,0,35.0,,<eos>,eos,<bos> C c 1 c c c c ( C ) c 1 N 1 C ( = O ) c 2 c c c c ( O ) c 2 C 1 = O <eos> <eos> C 1 C c 2 C C 1 C 2 ( C ) C <eos> 2 C H C c C c 2 c ( C 1 C C 1 C ( H O ( C ) C C ( = O ) O ) - C ) [ C 2 H 1 2 1 = O N 1 C ] H O 1 <eos> = H 5 # = F c s F O C N [ s B 5 ] n,15 23 8 23 23 23 23 5 15 6 23 8 18 8 15 5 13 19 6 23 9 23 23 23 23 5 19 6 23 9 15 8 13 19,O,C1=O,0,0,,0,1,0,Cc1cccc(C)c1N1C(=O)c2cccc(O)c2C1=O,True,False,2,False,,267.28,2.81,57.61,1.0,3.0,1.0,0.8082,2.1281,True,0.9006,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
704,CC(=O)Oc1ccccc1C(=O)N,21,0,22.0,,<eos>,eos,<bos> C C ( = O ) O c 1 c c c c c 1 C ( = O ) N <eos> N s c 1 C 1 <eos> C <eos> <eos> C <eos> O 1 1 <eos> <eos> = O <eos> c 1 c 2 c 1 = O C C O c C 3 n C C C c 2 O C H 1 c 1 C [ C C C ] 2 1 C 1 C C H = C C ( O ) C H C 1 O 1 2 1 C 1 - O 1 n - c r - O F [ l = N o r - F s 3 c n,15 15 5 13 19 6 19 23 8 23 23 23 23 23 8 15 5 13 19 6 18,N,=O)N,0,0,,0,1,0,CC(=O)Oc1ccccc1C(N)=O,True,True,1,True,,179.17,0.711,69.39,1.0,3.0,2.0,0.5366,1.6474,True,0.9001,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
