sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
978,COc1ccc(COc1c1c(Cc2cnc(N)nc2)cc2N1c2cc1)1,41,0,42.0,,<eos>,eos,<bos> C O c 1 c c c ( C O c 1 c 1 c ( C c 2 c n c ( N ) n c 2 ) c c 2 N 1 c 2 c c 1 ) 1 <eos> 1 C C 1 <eos> c c n c <eos> c 2 c 2 c <eos> c 1 c 1 <eos> <eos> C 1 C 1 <eos> <eos> <eos> C O <eos> <eos> C C 1 O O 3 C C C ( C ) C 1 ( C ( = O ) C O ) O 1 r F n o S O H l - B O C F c # c 3 l -,15 19 23 8 23 23 23 5 15 19 23 8 23 8 23 5 15 23 9 23 25 23 5 18 6 25 23 9 6 23 23 9 18 8 23 9 23 23 8 6 8,1,c1)1,0,0,,0,3,0,COC1=CC=C2C=CC3=c4cc(Cc5cnc(N)nc5)c(n43)=C1OC2,True,True,1,True,,332.36,0.586,75.19,1.0,5.0,3.0,0.8901,5.0604,True,0.9296,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
811,COc1cc(Cc2cnc(C)nc2N)Cc(O)Cc1O,30,0,31.0,,<eos>,eos,<bos> C O c 1 c c ( C c 2 c n c ( C ) n c 2 N ) C c ( O ) C c 1 O <eos> <eos> [ C N C 1 C 1 O C O 1 O C 1 C 2 c O c 1 c O 1 c 1 O C 2 c c 1 c ( = O 1 O O 1 ) O C C ] C O C C ( C C ) ( C O ) 1 C 1 ( [ N ) C ] <eos> O 1 H o N o C B # B H F = N s - S ( r ) H,15 19 23 8 23 23 5 15 23 9 23 25 23 5 15 6 25 23 9 18 6 15 23 5 19 6 15 23 8 19,O,Cc1O,0,0,,0,2,0,COC1=C(O)CC(O)CC(Cc2cnc(C)nc2N)=C1,True,True,1,True,,277.32,1.407,101.49,3.0,6.0,3.0,0.7718,3.8322,True,0.928,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
642,CCC1CCOCC(=O)NC(=O)N1CCC1COCc1C,31,0,32.0,,<eos>,eos,<bos> C C C 1 C C O C C ( = O ) N C ( = O ) N 1 C C C 1 C O C c 1 C <eos> <eos> 1 C l 1 <eos> <eos> <eos> <eos> <eos> C C ( = O ) <eos> C c <eos> c c c 2 C 1 = c c 1 c C ( C C 1 c H ( C O ) C O C 1 O O 3 C C C ( O O ) 1 C 1 O [ H ] C 2 ) O 1 s F o 1 = l s N H o 2 c = c H ( C 2 ),15 15 15 8 15 15 19 15 15 5 13 19 6 18 15 5 13 19 6 18 8 15 15 15 8 15 19 15 23 8 15,C,Cc1C,0,0,,0,1,0,CCC1CCOCC(=O)NC(=O)N1CCC1COCC1C,True,True,1,True,,298.38,1.396,67.87,1.0,4.0,4.0,0.8516,4.5012,True,0.9242,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
183,CN(C(CO)O)c1cccccC(=O)c2ccccc2cc1,33,0,34.0,,<eos>,eos,<bos> C N ( C ( C O ) O ) c 1 c c c c c C ( = O ) c 2 c c c c c 2 c c 1 <eos> <eos> <eos> C <eos> <eos> <eos> <eos> <eos> 1 C C H ( C C ) C = O C O = C c C C c 2 C C 2 C c c 1 <eos> <eos> O C C <eos> ( C 1 C 2 [ C C ] ( O ) C [ C 1 2 ] 2 1 C 2 ) O 1 <eos> l N 5 n c 1 S H B n [ N 1 s n 5 S ],15 18 5 15 5 15 19 6 19 6 23 8 23 23 23 23 23 15 5 13 19 6 23 9 23 23 23 23 23 9 23 23 8,1,2cc1,0,0,,0,2,0,CN(c1cccccc(=O)c2ccccc2cc1)C(O)CO,True,True,1,True,,297.35,2.071,60.77,2.0,4.0,3.0,0.8515,3.1623,True,0.9242,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
372,CCCC(C(N)C(=O)N(C)C(=O)C),25,0,26.0,,<eos>,eos,<bos> C C C C ( C ( N ) C ( = O ) N ( C ) C ( = O ) C ) <eos> c ( O 1 ) c 1 c <eos> c c c 1 c 1 O 2 C 1 = C ( [ C c ( = O c O c 1 = C O ) c C ] C ) C c O 1 C O O C O C ( C O [ C ] C ( C C ) C [ C 2 2 H ] C 2 ) O 1 <eos> # [ s = F o ] H <eos> O c # = c <eos> C [ l,15 15 15 15 5 15 5 18 6 15 5 13 19 6 18 5 15 6 15 5 13 19 6 15 6,),O)C),0,0,,0,2,0,CCCCC(N)C(=O)N(C)C(C)=O,True,True,1,True,,186.25,0.509,63.4,1.0,3.0,4.0,0.6954,2.9181,True,0.9224,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
52,NCCCC(N)C(=O)N1CCCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C ( N ) C ( = O ) N 1 C C C C C 1 <eos> <eos> C 1 C c 1 <eos> 1 O C C 1 <eos> <eos> C <eos> 1 C 1 <eos> C <eos> C 1 O ( = O ) O C c ( = C ) ( C ) c 1 <eos> ( C C c c 1 ( C O ( C ( C 1 ) C 2 C C ) ( O ) C 1 C 1 2 [ N 1 C ] ) O 1 o = c C = n s r 1 - c C B 1 ) <eos> # r <eos>,18 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCC(N)C(=O)N1CCCCC1,True,False,2,False,,199.3,0.065,72.35,2.0,3.0,4.0,0.6725,2.4779,True,0.9191,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
819,NC(C)NC(=O)N1CCCCCOCC1C,23,0,24.0,,<eos>,eos,<bos> N C ( C ) N C ( = O ) N 1 C C C C C O C C 1 C <eos> B l <eos> <eos> C 1 C C C c 1 <eos> C <eos> <eos> <eos> <eos> <eos> O c c 1 = O c O C C C c O 3 C 2 C 1 C c 1 C C 1 C c c H C 1 O 1 C ( C ) [ C 2 1 C C ( O ) C O C 1 2 ] 2 1 C O s O 1 l # N s = O 1 [ S o ] 1 F N H ( C 3 l,18 15 5 15 6 18 15 5 13 19 6 18 8 15 15 15 15 15 19 15 15 8 15,C,CC1C,0,0,,0,1,0,CC(N)NC(=O)N1CCCCCOCC1C,True,True,1,True,,229.32,0.892,67.59,2.0,3.0,1.0,0.6562,3.6706,True,0.9169,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
457,Cc1ncc(NS(=O)(=O)c2ccc(N)cc2)s1,31,0,32.0,,<eos>,eos,<bos> C c 1 n c c ( N S ( = O ) ( = O ) c 2 c c c ( N ) c c 2 ) s 1 <eos> N c c C 1 C c c 2 C c c c 1 c c c c c 1 c n c 1 C 1 C 1 1 C 1 c c 1 C 1 c O ( O O 1 C ) C 1 = O 3 C C C ( C O ) C ( C ( O O ) C O ) O 1 r 1 F # s = # S s ( c C - N H ) 2 F #,15 23 8 25 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 18 6 23 23 9 6 28 8,1,2)s1,0,0,,0,2,0,Cc1ncc(NS(=O)(=O)c2ccc(N)cc2)s1,True,False,2,True,,269.35,1.835,85.08,2.0,5.0,3.0,0.8325,2.3866,True,0.9165,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
629,NCCCCC(N)C(=O)N1CCCC1,21,0,22.0,,<eos>,eos,<bos> N C C C C C ( N ) C ( = O ) N 1 C C C C 1 <eos> 1 C C c c 1 <eos> <eos> <eos> <eos> <eos> 1 C l 1 <eos> 1 1 <eos> <eos> c <eos> C 1 C ( c C c 1 1 C ) 2 c 1 C c O c c c ( C ) 1 c O ( C ) C C O C ( C O [ C C C ( O ) C C C 1 = O 2 ] C 2 ) O 1 # l 2 s = B O r H - O [ F 4 r = C - l,18 15 15 15 15 15 5 18 6 15 5 13 19 6 18 8 15 15 15 15 8,1,CCC1,0,0,,0,1,0,NCCCCC(N)C(=O)N1CCCC1,True,True,1,False,,199.3,0.065,72.35,2.0,3.0,5.0,0.6152,2.464,True,0.9111,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
186,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,41,0,42.0,,<eos>,eos,<bos> C C n 1 c c ( C ( = O ) O ) c ( = O ) c 2 c c ( F ) c ( N 3 C C N C C 3 ) c c 2 1 <eos> F C <eos> 2 O 3 O c ( C O ( O 2 c ( = c c 2 ) c c 1 C 1 c ) 2 ) O C 1 C C ( = O 3 C C C ( O O ) 1 C 3 = O O ) C O N O 1 N l N s O F H l s B N r o l - o - [ #,15 15 25 8 23 23 5 15 5 13 19 6 19 6 23 5 13 19 6 23 9 23 23 5 16 6 23 5 18 10 15 15 18 15 15 10 6 23 23 9 8,1,cc21,0,0,,0,2,0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,True,False,2,False,,319.34,1.268,74.57,2.0,4.0,3.0,0.891,2.4121,True,0.9097,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
654,CC(=O)NC(CCC(NC(=C)C1)C1CO1)C1,30,0,31.0,,<eos>,eos,<bos> C C ( = O ) N C ( C C C ( N C ( = C ) C 1 ) C 1 C O 1 ) C 1 <eos> <eos> C <eos> 1 c [ C H ] C N C C ( = O ) = C ( O C O C ) C ( = C c ) C C ( C C 1 H C ( [ C ) C ] 2 ( O C 3 C C O ) C O ) 1 C 1 O 2 H 1 C 2 H O 1 O 2 N c n l o ( S 4 c C = # H 4 ) 3 <eos>,15 15 5 13 19 6 18 15 5 15 15 15 5 18 15 5 13 15 6 15 8 6 15 8 15 19 8 6 15 8,1,1)C1,0,0,,0,3,0,C=C1CC2COCC(NC(C)=O)CCC2N1,True,True,1,True,,224.3,0.793,50.36,2.0,3.0,1.0,0.6922,4.1593,True,0.9044,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
