token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 19 23 8 23 23 23 9 23 5 23 8 25 23 5 7 15 7 23 10 23 23 23 5 19 6 23 25 23 6 23 5 19 6 6 23 5 23 19 6 23 8 15 23 23 15 23 10 23 25 23 15 8 17 15 23 8 9 15 8 2 8 8 2 2 2 25 8 23 8 19 2 19 2 18 15 25 8 15 19 10 21 15 15 5 15 19 22 9 5 15 5 13 19 6 15 19 6 19 8 5 20 21 26 19 22 9 24 12 25 7 25 26 16 12 28 4 14 10,<bos> C O c 1 c c c 2 c ( c 1 n c ( - C - c 3 c c c ( O ) c n c ) c ( O ) ) c ( c O ) c 1 C c c C c 3 c n c C 1 H C c 1 2 C 1 <eos> 1 1 <eos> <eos> <eos> n 1 c 1 O <eos> O <eos> N C n 1 C O 3 [ C C ( C O ] 2 ( C ( = O ) C O ) O 1 ( S [ o O ] 2 l 5 n - n o F 5 s # B 3,15 19 23 8 23 23 23 9 23 5 23 8 25 23 5 7 15 7 23 10 23 23 23 5 19 6 23 25 23 6 23 5 19 6 6 23 5 23 19 6 23 8 15 23 23 15 23 10 23 25 23 15 8 17 15 23 8 9 15 8,COc1ccc2c(c1nc(-C-c3ccc(O)cnc)c(O))c(cO)c1CccCc3cncC1HCc12C1,60,0,61.0,,<eos>,eos,0,0,,0,1,12C1,3,0
1 15 19 23 8 23 23 9 23 5 13 19 6 18 8 15 5 13 19 6 18 9 15 23 15 17 15 23 17 23 13 15 19 18 5 19 15 5 19 17 6 8 20 15 23 15 9 6 15 5 21 15 5 15 17 22 19 15 5 13 19 6 19 6 15 15 8 6 15 19 15 21 15 19 19 22 15 19 11 15 19 10 13 15 15 5 16 19 6 8 19 15 19 13 19 8 15 19 4 19 8 19 28 26 11 7 27 16 26 27 20 16 27 16 24 25 8 18 9 24,<bos> C O c 1 c c 2 c ( = O ) N 1 C ( = O ) N 2 C c C H C c H c = C O N ( O C ( O H ) 1 S C c C 2 ) C ( [ C ( C H ] O C ( = O ) O ) C C 1 ) C O C [ C O O ] C O 4 C O 3 = C C ( F O ) 1 O C O = O 1 C O # O 1 O s o 4 - r F o r S F r F l n 1 N 2 l,15 19 23 8 23 23 9 23 5 13 19 6 18 8 15 5 13 19 6 18 9 15 23 15 17 15 23 17 23 13 15 19 18 5 19 15 5 19 17 6 8 20 15 23 15 9 6 15 5 21 15 5 15 17 22 19 15 5 13 19 6 19 6 15 15 8 6 15 19 15 21 15 19 19 22 15 19 11 15 19 10 13 15 15 5 16 19 6 8 19 15 19 13 19 8 15 19 4 19 8 19 28 26 11 7 27 16 26 27 20 16 27 16 24 25 8 18 9 24,COc1cc2c(=O)N1C(=O)N2CcCHCcHc=CON(OC(OH)1SCcC2)C([C(CH]OC(=O)O)CC1)COC[COO]CO4CO3=CC(FO)1OCO=O1CO#O1Oso4-rForSFrFln1N2l,119,0,,,,max_length,0,0,3,1,l,1N2l,3,1
1 15 19 23 8 25 17 5 15 9 23 8 23 15 23 21 23 6 23 5 15 6 15 5 13 19 6 15 8 15 15 15 5 15 19 6 15 5 14 15 19 6 19 9 15 15 8 17 22 17 15 5 15 15 15 19 15 23 5 15 8 6 15 23 9 21 15 9 6 22 8 8 15 13 15 15 19 25 19 13 19 5 15 5 15 8 15 6 15 8 9 8 9 21 18 6 15 22 2 19 8 17 20 23 4 20 8 17 18 2 24 2 14 28 11 13 17 11 7 24,<bos> C O c 1 n H ( C 2 c 1 c C c [ c ) c ( C ) C ( = O ) C 1 C C C ( C O ) C ( B C O ) O 2 C C 1 H ] H C ( C C C O C c ( C 1 ) C c 2 [ C 2 ) ] 1 1 C = C C O n O = O ( C ( C 1 C ) C 1 2 1 2 [ N ) C ] <eos> O 1 H S c # S 1 H N <eos> l <eos> B s 4 = H 4 - l,15 19 23 8 25 17 5 15 9 23 8 23 15 23 21 23 6 23 5 15 6 15 5 13 19 6 15 8 15 15 15 5 15 19 6 15 5 14 15 19 6 19 9 15 15 8 17 22 17 15 5 15 15 15 19 15 23 5 15 8 6 15 23 9 21 15 9 6 22 8 8 15 13 15 15 19 25 19 13 19 5 15 5 15 8 15 6 15 8 9 8 9 21 18 6 15 22,COc1nH(C2c1cCc[c)c(C)C(=O)C1CCC(CO)C(BCO)O2CC1H]HC(CCCOCc(C1)Cc2[C2)]11C=CCOnO=O(C(C1C)C1212[N)C],97,0,98.0,,<eos>,eos,0,0,,0,],N)C],2,1
1 15 13 15 5 18 6 8 21 19 17 23 17 23 23 15 23 8 23 5 17 6 15 19 15 15 15 15 15 17 22 19 18 15 23 5 19 23 5 23 19 6 23 9 19 23 5 23 15 6 23 23 8 6 15 9 23 15 23 5 13 15 6 15 9 8 15 9 2 15 2 15 5 13 19 6 19 15 8 19 15 5 13 19 6 15 19 23 19 8 2 15 13 19 2 8 15 19 11 19 8 23 20 24 12 13 17 14 12 28 7 19 25 20 12 5 19 12 23 6,<bos> C = C ( N ) 1 [ O H c H c c C c 1 c ( H ) C O C C C C C H ] O N C c ( O c ( c O ) c 2 O c ( c C ) c c 1 ) C 2 c C c ( = C ) C 2 1 C 2 <eos> C <eos> C ( = O ) O C 1 O C ( = O ) C O c O 1 <eos> C = O <eos> 1 C O 4 O 1 c S l 5 = H B 5 s - O n S 5 ( O 5 c ),15 13 15 5 18 6 8 21 19 17 23 17 23 23 15 23 8 23 5 17 6 15 19 15 15 15 15 15 17 22 19 18 15 23 5 19 23 5 23 19 6 23 9 19 23 5 23 15 6 23 23 8 6 15 9 23 15 23 5 13 15 6 15 9 8 15 9,C=C(N)1[OHcHccCc1c(H)COCCCCCH]ONCc(Oc(cO)c2Oc(cC)cc1)C2cCc(=C)C21C2,67,0,68.0,,<eos>,eos,0,0,,0,2,21C2,2,1
1 18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 5 17 22 8 15 15 21 15 15 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 10 23 23 23 16 6 9 9 6 15 15 8 23 15 15 8 9 8 16 15 8 8 23 23 9 5 15 8 6 15 19 5 21 15 6 5 22 15 9 15 19 6 15 5 15 5 13 19 6 15 19 6 19 8 19 28 21 26 10 23 14 12 19 20 23 27 17 24 19 12 23 22 4,<bos> N [ C 1 H ] ( C ( = O ) N 1 C C S C 1 ) [ C ( H ] 1 C C [ C C H ] ( N C ( = O ) c 2 c c c c 3 c c c F ) 2 2 ) C C 1 c C C 1 2 1 F C 1 1 c c 2 ( C 1 ) C O ( [ C ) ( ] C 2 C O ) C ( C ( = O ) C O ) O 1 O s [ o 3 c B 5 O S c r H l O 5 c ] #,18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 5 17 22 8 15 15 21 15 15 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 10 23 23 23 16 6 9 9 6 15 15 8 23 15 15 8 9 8 16 15 8 8 23 23 9 5 15 8 6 15 19 5 21 15 6 5 22 15 9 15 19 6 15 5 15 5 13 19 6 15 19 6 19 8 19 28 21 26 10 23 14 12 19 20 23 27 17 24 19 12 23 22 4,N[C1H](C(=O)N1CCSC1)[C(H]1CC[CCH](NC(=O)c2cccc3cccF)22)CC1cCC121FC11cc2(C1)CO([C)(]C2CO)C(C(=O)CO)O1Os[o3cB5OScrHlO5c]#,119,0,,,,max_length,0,0,1,1,#,5c]#,3,1
1 15 18 8 15 8 5 15 6 13 19 7 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 23 5 22 4 18 6 23 25 6 7 23 9 23 8 2 23 25 8 23 23 8 2 15 2 5 13 19 6 19 23 15 23 7 23 23 2 23 2 5 16 23 8 23 8 15 6 5 19 6 13 15 8 15 15 13 19 15 15 5 19 6 15 8 15 15 5 15 19 6 15 8 20 19 8 2 17 26 25 9 23 8 23 28 25 16 27 17 4 17 23 18 9 4,<bos> C N 1 C 1 ( C ) = O - c 1 c c c c ( - c 2 c c c c [ c ( ] # N ) c n ) - c 2 c 1 <eos> c n 1 c c 1 <eos> C <eos> ( = O ) O c C c - c c <eos> c <eos> ( F c 1 c 1 C ) ( O ) = C 1 C C = O C C ( O ) C 1 C C ( C O ) C 1 S O 1 <eos> H o n 2 c 1 c s n F r H # H c N 2 #,15 18 8 15 8 5 15 6 13 19 7 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 23 5 22 4 18 6 23 25 6 7 23 9 23 8,CN1C1(C)=O-c1cccc(-c2cccc[c(]#N)cn)-c2c1,40,0,41.0,,<eos>,eos,0,0,,0,1,c2c1,2,1
1 15 23 8 23 23 23 5 18 6 9 23 25 23 25 23 28 23 23 25 23 23 23 5 18 6 23 8 15 8 15 8 15 24 8 18 23 8 15 8 13 15 4 18 23 15 8 15 23 23 9 23 8 23 25 8 2 23 2 23 2 23 8 23 15 8 2 15 8 23 9 8 15 15 8 15 5 15 5 19 15 6 5 15 15 6 15 19 15 8 15 15 9 13 19 6 15 2 2 19 8 28 27 8 2 25 2 17 2 2 14 24 18 14 11 4 13 14 24 4,<bos> C c 1 c c c ( N ) 2 c n c n c s c c n c c c ( N ) c 1 C 1 C 1 C l 1 N c 1 C 1 = C # N c C 1 C c c 2 c 1 c n 1 <eos> c <eos> c <eos> c 1 c C 1 <eos> C 1 c 2 1 C C 1 C ( C ( O C ) ( C C ) C O C 1 C C 2 = O ) C <eos> <eos> O 1 s r 1 <eos> n <eos> H <eos> <eos> B l N B 4 # = B l #,15 23 8 23 23 23 5 18 6 9 23 25 23 25 23 28 23 23 25 23 23 23 5 18 6 23 8 15 8 15 8 15 24 8 18 23 8 15 8 13 15 4 18 23 15 8 15 23 23 9 23 8 23 25 8,Cc1ccc(N)2cncncsccnccc(N)c1C1C1Cl1Nc1C1=C#NcC1Ccc2c1cn1,55,0,56.0,,<eos>,eos,0,0,,0,1,1cn1,1,0
1 15 15 5 15 5 15 19 15 15 5 15 6 5 15 5 13 19 6 18 15 15 5 15 5 17 20 6 21 15 8 15 19 23 5 18 15 23 13 23 15 18 6 15 23 13 15 6 13 19 15 8 15 23 22 15 19 15 15 6 15 6 17 15 17 15 8 15 15 15 17 6 19 19 15 15 19 15 8 13 15 10 15 15 15 5 15 19 6 8 15 15 5 21 19 6 15 19 18 19 8 4 27 26 28 13 19 9 25 7 20 23 19 13 17 27 22 9 21 18,<bos> C C ( C ( C O C C ( C ) ( C ( = O ) N C C ( C ( H S ) [ C 1 C O c ( N C c = c C N ) C c = C ) = O C 1 C c ] C O C C ) C ) H C H C 1 C C C H ) O O C C O C 1 = C 3 C C C ( C O ) 1 C C ( [ O ) C O N O 1 # r o s = O 2 n - S c O = H r ] 2 [ N,15 15 5 15 5 15 19 15 15 5 15 6 5 15 5 13 19 6 18 15 15 5 15 5 17 20 6 21 15 8 15 19 23 5 18 15 23 13 23 15 18 6 15 23 13 15 6 13 19 15 8 15 23 22 15 19 15 15 6 15 6 17 15 17 15 8 15 15 15 17 6 19 19 15 15 19 15 8 13 15 10 15 15 15 5 15 19 6 8 15 15 5 21 19 6 15 19 18 19 8 4 27 26 28 13 19 9 25 7 20 23 19 13 17 27 22 9 21 18,CC(C(COCC(C)(C(=O)NCC(C(HS)[C1COc(NCc=cCN)Cc=C)=OC1Cc]COCC)C)HCHC1CCCH)OOCCOC1=C3CCC(CO)1CC([O)CONO1#ros=O2n-ScO=Hr]2[N,119,0,,,,max_length,0,1,3,1,N,]2[N,5,1
1 15 18 5 15 6 15 19 15 21 15 23 8 23 5 23 23 8 23 23 5 23 23 6 23 8 13 19 23 5 23 22 6 23 8 15 4 15 8 15 23 6 23 16 23 15 17 5 15 19 15 15 23 6 15 13 19 15 15 5 13 15 9 23 15 23 8 23 15 8 6 15 5 13 19 6 8 15 8 15 9 5 13 15 6 15 19 23 15 8 2 10 13 19 17 8 15 19 4 19 8 28 20 12 28 4 27 17 16 21 16 12 26 11 24 4 15 11 22 18,<bos> C N ( C ) C O C [ C c 1 c ( c c 1 c c ( c c ) c 1 = O c ( c ] ) c 1 C # C 1 C c ) c F c C H ( C O C C c ) C = O C C ( = C 2 c C c 1 c C 1 ) C ( = O ) 1 C 1 C 2 ( = C ) C O c C 1 <eos> 3 = O H 1 C O # O 1 s S 5 s # r H F [ F 5 o 4 l # C 4 ] N,15 18 5 15 6 15 19 15 21 15 23 8 23 5 23 23 8 23 23 5 23 23 6 23 8 13 19 23 5 23 22 6 23 8 15 4 15 8 15 23 6 23 16 23 15 17 5 15 19 15 15 23 6 15 13 19 15 15 5 13 15 9 23 15 23 8 23 15 8 6 15 5 13 19 6 8 15 8 15 9 5 13 15 6 15 19 23 15 8,CN(C)COC[Cc1c(cc1cc(cc)c1=Oc(c])c1C#C1Cc)cFcCH(COCCc)C=OCC(=C2cCc1cC1)C(=O)1C1C2(=C)COcC1,89,0,90.0,,<eos>,eos,0,0,,0,1,OcC1,2,1
1 19 13 15 5 15 15 21 15 8 15 23 9 13 19 6 23 15 23 17 22 10 15 23 11 23 23 23 5 19 6 15 12 23 11 21 19 15 17 22 9 5 15 6 18 10 15 15 9 15 5 15 6 21 15 5 17 22 8 19 12 6 15 15 15 9 2 9 15 5 19 6 15 5 19 6 15 15 8 15 15 15 21 15 15 22 9 23 15 9 5 15 5 13 19 6 15 19 6 19 8 5 26 18 26 24 23 20 6 17 23 28 26 27 25 26 17 13 23 9,<bos> O = C ( C C [ C 1 C c 2 = O ) c C c H ] 3 C c 4 c c c ( O ) C 5 c 4 [ O C H ] 2 ( C ) N 3 C C 2 C ( C ) [ C ( H ] 1 O 5 ) C C C 2 <eos> 2 C ( O ) C ( O ) C C 1 C C C [ C C ] 2 c C 2 ( C ( = O ) C O ) O 1 ( o N o l c S ) H c s o r n o H = c 2,19 13 15 5 15 15 21 15 8 15 23 9 13 19 6 23 15 23 17 22 10 15 23 11 23 23 23 5 19 6 15 12 23 11 21 19 15 17 22 9 5 15 6 18 10 15 15 9 15 5 15 6 21 15 5 17 22 8 19 12 6 15 15 15 9,O=C(CC[C1Cc2=O)cCcH]3Cc4ccc(O)C5c4[OCH]2(C)N3CC2C(C)[C(H]1O5)CCC2,65,0,66.0,,<eos>,eos,0,0,,0,2,CCC2,1,1
