token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 19 23 8 21 23 23 22 23 5 7 23 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 23 6 23 21 25 17 6 23 23 13 19 23 23 8 25 23 23 8 23 10 23 15 23 15 8 23 22 23 9 23 10 23 23 8 8 9 15 8 25 8 23 8 19 28 19 5 18 6 25 8 15 19 10 21 15 15 8 15 19 22 9 5 15 5 13 19 6 15 19 6 19 8 5 16 21 26 19 26 9 22 12 25 7 25 26 9 27 6 4 14 9,<bos> C O c 1 [ c c ] c ( - c ) c ( c ( - c 3 c c c ( O ) c n c ) c [ n H ) c c = O c c 1 n c c 1 c 3 c C c C 1 c ] c 2 c 3 c c 1 1 2 C 1 n 1 c 1 O s O ( N ) n 1 C O 3 [ C C 1 C O ] 2 ( C ( = O ) C O ) O 1 ( F [ o O o 2 ] 5 n - n o 2 r ) # B 2,15 19 23 8 21 23 23 22 23 5 7 23 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 23 6 23 21 25 17 6 23 23 13 19 23 23 8 25 23 23 8 23 10 23 15 23 15 8 23 22 23 9 23 10 23 23 8 8 9 15 8 25 8 23 8 19 28 19 5 18 6 25 8 15 19 10 21 15 15 8 15 19 22 9 5 15 5 13 19 6 15 19 6 19 8 5 16 21 26 19 26 9 22 12 25 7 25 26 9 27 6 4 14 9,COc1[cc]c(-c)c(c(-c3ccc(O)cnc)c[nH)cc=Occ1ncc1c3cCcC1c]c2c3cc112C1n1c1OsO(N)n1CO3[CC1CO]2(C(=O)CO)O1(F[oOo2]5n-no2r)#B2,119,0,,,,max_length,0,0,5,1,2,)#B2,3,1
1 15 19 23 8 23 23 23 21 15 17 22 8 18 8 15 5 13 19 6 18 9 15 21 15 17 15 22 15 15 13 15 17 21 19 15 22 5 15 19 15 8 20 15 23 15 6 19 15 19 21 15 9 15 17 22 9 15 5 13 19 6 19 15 15 15 8 15 15 19 19 21 15 19 19 22 15 9 11 19 19 10 13 15 15 5 19 6 19 8 19 15 19 13 19 8 15 19 4 19 8 19 28 26 7 17 19 16 14 27 20 16 27 16 24 25 21 15 22 11,<bos> C O c 1 c c c [ C H ] 1 N 1 C ( = O ) N 2 C [ C H C ] C C = C H [ O C ] ( C O C 1 S C c C ) O C O [ C 2 C H ] 2 C ( = O ) O C C C 1 C C O O [ C O O ] C 2 4 O O 3 = C C ( O ) O 1 O C O = O 1 C O # O 1 O s o - H O F B r S F r F l n [ C ] 4,15 19 23 8 23 23 23 21 15 17 22 8 18 8 15 5 13 19 6 18 9 15 21 15 17 15 22 15 15 13 15 17 21 19 15 22 5 15 19 15 8 20 15 23 15 6 19 15 19 21 15 9 15 17 22 9 15 5 13 19 6 19 15 15 15 8 15 15 19 19 21 15 19 19 22 15 9 11 19 19 10 13 15 15 5 19 6 19 8 19 15 19 13 19 8 15 19 4 19 8 19 28 26 7 17 19 16 14 27 20 16 27 16 24 25 21 15 22 11,COc1ccc[CH]1N1C(=O)N2C[CHC]CC=CH[OC](COC1SCcC)OCO[C2CH]2C(=O)OCCC1CCOO[COO]C24OO3=CC(O)O1OCO=O1CO#O1Oso-HOFBrSFrFln[C]4,119,0,,,,max_length,0,0,3,1,4,[C]4,1,1
1 15 13 15 8 21 17 22 5 15 23 8 23 15 23 21 19 6 23 5 15 6 15 5 13 19 6 18 8 15 19 15 5 15 19 6 15 5 14 19 19 6 19 9 15 15 8 17 22 17 15 8 15 15 15 19 15 23 5 23 8 6 15 23 9 21 15 9 17 22 8 8 15 19 15 18 19 25 8 19 19 5 15 5 15 17 15 9 8 17 9 8 9 21 18 6 15 22 6 19 8 2 20 2 4 15 16 17 18 2 24 2 15 28 11 13 15 11 7 24,<bos> C = C 1 [ H ] ( C c 1 c C c [ O ) c ( C ) C ( = O ) N 1 C O C ( C O ) C ( B O O ) O 2 C C 1 H ] H C 1 C C C O C c ( c 1 ) C c 2 [ C 2 H ] 1 1 C O C N O n 1 O O ( C ( C H C 2 1 H 2 1 2 [ N ) C ] ) O 1 <eos> S <eos> # C F H N <eos> l <eos> C s 4 = C 4 - l,15 13 15 8 21 17 22 5 15 23 8 23 15 23 21 19 6 23 5 15 6 15 5 13 19 6 18 8 15 19 15 5 15 19 6 15 5 14 19 19 6 19 9 15 15 8 17 22 17 15 8 15 15 15 19 15 23 5 23 8 6 15 23 9 21 15 9 17 22 8 8 15 19 15 18 19 25 8 19 19 5 15 5 15 17 15 9 8 17 9 8 9 21 18 6 15 22 6 19 8,C=C1[H](Cc1cCc[O)c(C)C(=O)N1COC(CO)C(BOO)O2CC1H]HC1CCCOCc(c1)Cc2[C2H]11COCNOn1OO(C(CHC21H212[N)C])O1,100,0,101.0,,<eos>,eos,0,0,,0,1,])O1,2,1
1 15 13 15 5 18 6 8 21 15 17 23 9 23 5 15 8 6 23 22 5 18 15 19 15 15 15 21 15 17 22 19 6 15 23 5 19 23 5 23 19 23 21 23 17 22 23 6 15 6 23 23 8 15 15 23 15 23 15 5 13 15 6 23 9 23 15 8 2 15 2 15 5 13 19 6 18 15 8 19 9 5 13 19 6 15 19 23 19 8 15 8 13 19 17 8 15 19 11 19 8 23 20 9 13 27 24 26 25 28 7 19 15 20 18 8 19 25 11 2,<bos> C = C ( N ) 1 [ C H c 2 c ( C 1 ) c ] ( N C O C C C [ C H ] O ) C c ( O c ( c O c [ c H ] c ) C ) c c 1 C C c C c C ( = C ) c 2 c C 1 <eos> C <eos> C ( = O ) N C 1 O 2 ( = O ) C O c O 1 C 1 = O H 1 C O 4 O 1 c S 2 = r l o n s - O C S N 1 O n 4 <eos>,15 13 15 5 18 6 8 21 15 17 23 9 23 5 15 8 6 23 22 5 18 15 19 15 15 15 21 15 17 22 19 6 15 23 5 19 23 5 23 19 23 21 23 17 22 23 6 15 6 23 23 8 15 15 23 15 23 15 5 13 15 6 23 9 23 15 8,C=C(N)1[CHc2c(C1)c](NCOCCC[CH]O)Cc(Oc(cOc[cH]c)C)cc1CCcCcC(=C)c2cC1,67,0,68.0,,<eos>,eos,0,0,,0,1,2cC1,2,1
1 18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 5 17 22 8 15 15 21 15 17 17 22 5 18 15 5 13 19 6 18 9 23 23 23 10 23 23 23 5 23 6 9 23 6 15 6 8 23 15 15 16 8 5 15 15 8 6 23 23 9 5 15 8 6 15 19 9 21 15 10 5 22 15 9 15 19 15 15 21 15 5 13 17 22 8 19 6 19 8 19 16 21 26 10 23 14 25 19 20 23 27 20 24 19 9 6 22 4,<bos> N [ C 1 H ] ( C ( = O ) N 1 C C S C 1 ) [ C ( H ] 1 C C [ C H H ] ( N C ( = O ) N 2 c c c 3 c c c ( c ) 2 c ) C ) 1 c C C F 1 ( C C 1 ) c c 2 ( C 1 ) C O 2 [ C 3 ( ] C 2 C O C C [ C ( = H ] 1 O ) O 1 O F [ o 3 c B n O S c r S l O 2 ) ] #,18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 5 17 22 8 15 15 21 15 17 17 22 5 18 15 5 13 19 6 18 9 23 23 23 10 23 23 23 5 23 6 9 23 6 15 6 8 23 15 15 16 8 5 15 15 8 6 23 23 9 5 15 8 6 15 19 9 21 15 10 5 22 15 9 15 19 15 15 21 15 5 13 17 22 8 19 6 19 8 19 16 21 26 10 23 14 25 19 20 23 27 20 24 19 9 6 22 4,N[C1H](C(=O)N1CCSC1)[C(H]1CC[CHH](NC(=O)N2ccc3ccc(c)2c)C)1cCCF1(CC1)cc2(C1)CO2[C3(]C2COCC[C(=H]1O)O1OF[o3cBnOScrSlO2)]#,119,0,,,,max_length,0,0,3,1,#,2)]#,3,1
1 15 18 15 15 15 5 15 6 13 19 15 18 8 23 23 23 23 5 7 23 9 23 23 23 23 23 23 5 15 4 25 6 23 25 25 7 23 6 23 8 23 9 25 8 15 8 2 23 8 15 5 13 19 6 19 23 15 23 7 23 15 23 8 23 5 16 23 8 23 8 15 6 2 19 15 13 15 8 15 15 13 15 15 10 5 19 6 15 15 15 15 13 15 19 8 15 8 20 19 8 7 17 26 13 17 14 8 23 28 25 17 27 17 4 17 23 19 13 4,<bos> C N C C C ( C ) = O C N 1 c c c c ( - c 2 c c c c c c ( C # n ) c n n - c ) c 1 c 2 n 1 C 1 <eos> c 1 C ( = O ) O c C c - c C c 1 c ( F c 1 c 1 C ) <eos> O C = C 1 C C = C C 3 ( O ) C C C C = C O 1 C 1 S O 1 - H o = H B 1 c s n H r H # H c O = #,15 18 15 15 15 5 15 6 13 19 15 18 8 23 23 23 23 5 7 23 9 23 23 23 23 23 23 5 15 4 25 6 23 25 25 7 23 6 23 8 23 9 25 8 15 8,CNCCC(C)=OCN1cccc(-c2cccccc(C#n)cnn-c)c1c2n1C1,46,0,47.0,,<eos>,eos,0,0,,0,1,n1C1,2,0
1 15 23 8 25 23 23 5 18 15 9 15 6 23 23 23 9 23 23 23 23 23 23 5 15 6 23 15 8 2 2 2 2 2 2 2 2 2 2 8 13 15 19 18 23 15 8 2 23 2 23 23 8 23 25 8 2 23 2 23 2 23 8 23 15 8 15 8 8 2 2 8 15 15 8 2 15 8 5 19 15 6 15 13 15 8 15 19 2 8 15 8 9 13 19 8 15 19 14 19 8 28 26 8 28 18 24 17 26 21 28 24 18 20 22 8 14 9 24 4,<bos> C c 1 n c c ( N C 2 C ) c c c 2 c c c c c c ( C ) c C 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 = C O N c C 1 <eos> c <eos> c c 1 c n 1 <eos> c <eos> c <eos> c 1 c C 1 C 1 1 <eos> <eos> 1 C C 1 <eos> C 1 ( O C ) C = C 1 C O <eos> 1 C 1 2 = O 1 C O B O 1 s o 1 s N l H o [ s l N S ] 1 B 2 l #,15 23 8 25 23 23 5 18 15 9 15 6 23 23 23 9 23 23 23 23 23 23 5 15 6 23 15 8,Cc1ncc(NC2C)ccc2cccccc(C)cC1,28,0,29.0,,<eos>,eos,0,0,,0,1,)cC1,1,0
1 15 15 5 15 5 15 18 15 15 5 15 6 6 15 5 13 19 6 18 15 15 5 15 5 17 20 6 21 15 8 13 19 23 5 18 15 23 22 5 13 19 6 5 15 13 15 6 23 5 15 8 15 23 5 23 20 15 8 21 15 6 17 22 9 15 8 15 15 15 17 6 21 19 15 9 22 15 8 13 15 10 15 15 6 5 15 19 6 8 15 15 5 21 19 6 8 19 6 19 8 4 27 26 28 13 19 9 25 7 20 23 25 13 17 27 9 6 22 10,<bos> C C ( C ( C N C C ( C ) ) C ( = O ) N C C ( C ( H S ) [ C 1 = O c ( N C c ] ( = O ) ( C = C ) c ( C 1 C c ( c S C 1 [ C ) H ] 2 C 1 C C C H ) [ O C 2 ] C 1 = C 3 C C ) ( C O ) 1 C C ( [ O ) 1 O ) O 1 # r o s = O 2 n - S c n = H r 2 ) ] 3,15 15 5 15 5 15 18 15 15 5 15 6 6 15 5 13 19 6 18 15 15 5 15 5 17 20 6 21 15 8 13 19 23 5 18 15 23 22 5 13 19 6 5 15 13 15 6 23 5 15 8 15 23 5 23 20 15 8 21 15 6 17 22 9 15 8 15 15 15 17 6 21 19 15 9 22 15 8 13 15 10 15 15 6 5 15 19 6 8 15 15 5 21 19 6 8 19 6 19 8 4 27 26 28 13 19 9 25 7 20 23 25 13 17 27 9 6 22 10,CC(C(CNCC(C))C(=O)NCC(C(HS)[C1=Oc(NCc](=O)(C=C)c(C1Cc(cSC1[C)H]2C1CCCH)[OC2]C1=C3CC)(CO)1CC([O)1O)O1#ros=O2n-Scn=Hr2)]3,119,0,,,,max_length,0,0,,0,3,2)]3,5,1
1 15 18 5 15 6 15 15 15 15 15 23 5 23 5 23 23 8 23 23 5 23 8 6 23 8 13 19 23 21 23 7 23 25 8 23 15 19 5 15 23 6 23 16 23 15 17 6 15 9 15 23 23 6 15 13 19 15 23 5 13 15 9 23 15 23 15 23 5 15 6 15 5 13 19 6 19 15 8 6 15 5 13 19 6 15 19 23 15 8 15 10 13 19 17 22 15 9 4 19 8 28 20 17 28 4 27 23 16 21 26 18 26 7 24 22 15 7 18 8,<bos> C N ( C ) C C C C C c ( c ( c c 1 c c ( c 1 ) c 1 = O c [ c - c n 1 c C O ( C c ) c F c C H ) C 2 C c c ) C = O C c ( = C 2 c C c C c ( C ) C ( = O ) O C 1 ) C ( = O ) C O c C 1 C 3 = O H ] C 2 # O 1 s S H s # r c F [ o N o - l ] C - N 1,15 18 5 15 6 15 15 15 15 15 23 5 23 5 23 23 8 23 23 5 23 8 6 23 8 13 19 23 21 23 7 23 25 8 23 15 19 5 15 23 6 23 16 23 15 17 6 15 9 15 23 23 6 15 13 19 15 23 5 13 15 9 23 15 23 15 23 5 15 6 15 5 13 19 6 19 15 8 6 15 5 13 19 6 15 19 23 15 8 15 10 13 19 17 22 15 9 4 19 8 28 20 17 28 4 27 23 16 21 26 18 26 7 24 22 15 7 18 8,CN(C)CCCCCc(c(cc1cc(c1)c1=Oc[c-cn1cCO(Cc)cFcCH)C2Ccc)C=OCc(=C2cCcCc(C)C(=O)OC1)C(=O)COcC1C3=OH]C2#O1sSHs#rcF[oNo-l]C-N1,119,0,,,,max_length,0,0,2 3,2,1,C-N1,3,1
1 19 13 15 5 15 15 21 15 23 15 23 17 22 8 6 21 15 23 17 22 10 15 23 11 23 23 23 5 19 6 23 12 23 11 21 15 15 17 22 5 23 15 6 18 10 15 15 9 24 15 9 5 21 15 5 17 22 8 19 12 6 15 6 15 9 15 9 15 5 19 6 15 5 19 6 15 15 8 15 15 10 21 15 15 5 15 19 15 15 5 15 5 13 19 6 15 19 6 19 8 5 20 23 26 19 13 20 22 17 23 28 26 5 27 10 17 6 6 6,<bos> O = C ( C C [ C c C c H ] 1 ) [ C c H ] 3 C c 4 c c c ( O ) c 5 c 4 [ C C H ] ( c C ) N 3 C C 2 l C 2 ( [ C ( H ] 1 O 5 ) C ) C 2 C 2 C ( O ) C ( O ) C C 1 C C 3 [ C C ( C O C C ( C ( = O ) C O ) O 1 ( S c o O = S ] H c s o ( r 3 H ) ) ),19 13 15 5 15 15 21 15 23 15 23 17 22 8 6 21 15 23 17 22 10 15 23 11 23 23 23 5 19 6 23 12 23 11 21 15 15 17 22 5 23 15 6 18 10 15 15 9 24 15 9 5 21 15 5 17 22 8 19 12 6 15 6 15 9 15 9 15 5 19 6 15 5 19 6 15 15 8 15 15 10 21 15 15 5 15 19 15 15 5 15 5 13 19 6 15 19 6 19 8 5 20 23 26 19 13 20 22 17 23 28 26 5 27 10 17 6 6 6,O=C(CC[CcCcH]1)[CcH]3Cc4ccc(O)c5c4[CCH](cC)N3CC2lC2([C(H]1O5)C)C2C2C(O)C(O)CC1CC3[CC(COCC(C(=O)CO)O1(ScoO=S]Hcso(r3H))),119,0,,,,max_length,0,0,,0,),H))),3,1
