token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 19 23 8 23 25 23 5 15 5 15 8 25 23 5 15 23 10 23 9 23 23 5 13 19 6 23 23 9 6 23 23 10 6 23 10 6 23 9 23 23 8 23 8 23 15 8 15 15 15 9 26 18 19 26 20 23 24 15 24 21 13 23 19 10 23 25 4 14 8 19 16 25 23 26 9 19 15 17 10 18 13 25 9 20 26 10 25 18 24 16 17 22 24 2 12 20 11 16 11 27 20 21 26 19 28 9 22 12 25 7 25 12 28 27 28 4 14 9,<bos> C O c 1 c n c ( C ( C 1 n c ( C c 3 c 2 c c ( = O ) c c 2 ) c c 3 ) c 3 ) c 2 c c 1 c 1 c C 1 C C C 2 o N O o S c l C l [ = c O 3 c n # B 1 O F n c o 2 O C H 3 N = n 2 S o 3 n N l F H ] l <eos> 5 S 4 F 4 r S [ o O s 2 ] 5 n - n 5 s r s # B 2,15 19 23 8 23 25 23 5 15 5 15 8 25 23 5 15 23 10 23 9 23 23 5 13 19 6 23 23 9 6 23 23 10 6 23 10 6 23 9 23 23 8 23 8 23 15 8 15 15 15 9 26 18 19 26 20 23 24 15 24 21 13 23 19 10 23 25 4 14 8 19 16 25 23 26 9 19 15 17 10 18 13 25 9 20 26 10 25 18 24 16 17 22 24,COc1cnc(C(C1nc(Cc3c2cc(=O)cc2)cc3)c3)c2cc1c1cC1CCC2oNOoSclCl[=cO3cn#B1OFnco2OCH3N=n2So3nNlFH]l,94,0,95.0,,<eos>,eos,0,0,,0,l,FH]l,4,1
1 15 15 23 8 23 9 23 23 5 25 23 6 23 5 15 5 13 19 6 18 9 15 23 15 5 15 19 6 5 15 18 6 5 19 6 23 8 6 2 9 8 15 8 15 8 8 19 8 15 24 9 26 10 19 5 26 7 18 17 13 25 18 23 13 7 27 4 24 19 15 16 7 25 5 26 13 4 24 23 19 10 20 8 13 20 24 11 27 11 23 14 15 9 23 19 17 28 4 26 7 19 16 26 7 17 19 11 14 28 14 19 27 16 23 11 6 6 9 2,<bos> C C c 1 c 2 c c ( n c ) c ( C ( = O ) N 2 C c C ( C O ) ( C N ) ( O ) c 1 ) <eos> 2 1 C 1 C 1 1 O 1 C l 2 o 3 O ( o - N H = n N c = - r # l O C F - n ( o = # l c O 3 S 1 = S l 4 r 4 c B C 2 c O H s # o - O F o - H O 4 B s B O r F c 4 ) ) 2 <eos>,15 15 23 8 23 9 23 23 5 25 23 6 23 5 15 5 13 19 6 18 9 15 23 15 5 15 19 6 5 15 18 6 5 19 6 23 8 6,CCc1c2cc(nc)c(C(=O)N2CcC(CO)(CN)(O)c1),38,0,39.0,,<eos>,eos,0,0,,0,),)c1),2,0
1 15 23 8 23 25 8 23 5 18 23 9 23 23 23 9 23 6 23 23 8 15 15 5 13 19 6 18 8 15 15 15 5 15 15 15 19 15 8 15 9 6 23 8 19 15 8 9 8 2 2 9 25 5 7 13 17 4 21 23 8 5 23 4 19 18 7 25 28 24 8 19 24 11 18 14 20 11 20 19 7 26 13 25 16 18 17 26 11 13 7 20 17 15 14 7 23 20 11 5 26 17 20 9 4 17 24 17 16 10 24 19 14 28 11 6 10 11 7 24,<bos> C c 1 c n 1 c ( N c 2 c c c 2 c ) c c 1 C C ( = O ) N 1 C C C ( C C C O C 1 C 2 ) c 1 O C 1 2 1 <eos> <eos> 2 n ( - = H # [ c 1 ( c # O N - n s l 1 O l 4 N B S 4 S O - o = n F N H o 4 = - S H C B - c S 4 ( o H S 2 # H l H F 3 l O B s 4 ) 3 4 - l,15 23 8 23 25 8 23 5 18 23 9 23 23 23 9 23 6 23 23 8 15 15 5 13 19 6 18 8 15 15 15 5 15 15 15 19 15 8 15 9 6 23 8 19 15 8 9 8,Cc1cn1c(Nc2ccc2c)cc1CC(=O)N1CCC(CCCOC1C2)c1OC121,48,0,49.0,,<eos>,eos,0,0,,0,1,C121,1,0
1 15 13 15 5 18 15 8 23 9 25 23 9 23 23 9 21 23 23 9 23 6 13 15 15 23 13 19 15 25 8 15 23 23 23 23 23 23 23 15 9 15 23 9 8 9 19 8 15 8 15 9 26 13 27 24 18 23 4 16 7 15 8 23 11 13 7 16 27 24 8 16 14 7 23 24 11 23 4 28 9 5 13 18 13 17 24 20 26 20 19 4 15 25 24 23 17 19 6 20 5 26 20 8 4 13 4 26 14 28 23 19 25 16 12 25 17 12 22 6,<bos> C = C ( N C 1 c 2 n c 2 c c 2 [ c c 2 c ) = C C c = O C n 1 C c c c c c c c C 2 C c 2 1 2 O 1 C 1 C 2 o = r l N c # F - C 1 c 4 = - F r l 1 F B - c l 4 c # s 2 ( = N = H l S o S O # C n l c H O ) S ( o S 1 # = # o B s c O n F 5 n H 5 ] ),15 13 15 5 18 15 8 23 9 25 23 9 23 23 9 21 23 23 9 23 6 13 15 15 23 13 19 15 25 8 15 23 23 23 23 23 23 23 15 9 15 23 9 8 9 19 8 15 8 15 9 26 13 27 24 18 23 4 16 7 15 8 23 11 13 7 16 27 24 8 16 14 7 23 24 11 23 4 28 9 5 13 18 13 17 24 20 26 20 19 4 15 25 24 23 17 19 6 20 5 26 20 8 4 13 4 26 14 28 23 19 25 16 12 25 17 12 22 6,C=C(NC1c2nc2cc2[cc2c)=CCc=OCn1CcccccccC2Cc212O1C1C2o=rlNc#F-C1c4=-Frl1FB-cl4c#s2(=N=HlSoSO#CnlcHO)S(oS1#=#oBscOnF5nH5]),119,0,,,,max_length,0,0,2,1,),H5]),1,1
1 15 13 15 8 15 23 5 15 5 13 19 6 18 5 15 15 15 18 15 6 15 5 15 23 5 13 23 6 23 5 15 5 15 19 6 5 15 9 6 9 23 8 15 18 8 25 17 8 15 24 9 20 11 19 27 11 7 4 21 7 23 17 22 19 13 7 15 24 17 15 13 25 13 7 14 9 23 21 19 18 26 22 28 13 7 27 14 23 16 27 4 14 25 5 17 18 8 7 20 11 26 28 23 16 6 23 21 25 7 20 26 27 16 11 8 6 20 22 6,<bos> C = C 1 C c ( C ( = O ) N ( C C C N C ) C ( C c ( = c ) c ( C ( C O ) ( C 2 ) 2 c 1 C N 1 n H 1 C l 2 S 4 O r 4 - # [ - c H ] O = - C l H C = n = - B 2 c [ O N o ] s = - r B c F r # B n ( H N 1 - S 4 o s c F ) c [ n - S o r F 4 1 ) S ] ),15 13 15 8 15 23 5 15 5 13 19 6 18 5 15 15 15 18 15 6 15 5 15 23 5 13 23 6 23 5 15 5 15 19 6 5 15 9 6 9 23 8 15 18 8 25 17 8 15 24 9 20 11 19 27 11 7 4 21 7 23 17 22 19 13 7 15 24 17 15 13 25 13 7 14 9 23 21 19 18 26 22 28 13 7 27 14 23 16 27 4 14 25 5 17 18 8 7 20 11 26 28 23 16 6 23 21 25 7 20 26 27 16 11 8 6 20 22 6,C=C1Cc(C(=O)N(CCCNC)C(Cc(=c)c(C(CO)(C2)2c1CN1nH1Cl2S4Or4-#[-cH]O=-ClHC=n=-B2c[ONo]s=-rBcFr#Bn(HN1-S4oscF)c[n-SorF41)S]),119,0,,,,max_length,1,0,,0,),)S]),4,1
1 15 15 15 15 5 15 15 5 13 19 6 23 8 23 23 23 5 7 23 23 10 23 25 23 23 23 6 23 5 15 6 6 5 23 6 23 15 8 23 8 13 19 8 15 19 8 8 8 15 15 9 28 23 24 25 14 13 16 17 25 21 15 7 19 4 19 9 20 13 17 7 28 18 5 22 28 5 25 8 4 13 16 6 16 25 27 11 18 6 17 24 15 20 23 21 27 25 11 20 8 26 28 23 13 17 23 8 23 18 25 16 27 17 4 17 23 19 22 10,<bos> C C C C ( C C ( = O ) c 1 c c c ( - c c 3 c n c c c ) c ( C ) ) ( c ) c C 1 c 1 = O 1 C O 1 1 1 C C 2 s c l n B = F H n [ C - O # O 2 S = H - s N ( ] s ( n 1 # = F ) F n r 4 N ) H l C S c [ r n 4 S 1 o s c = H c 1 c N n F r H # H c O ] 3,15 15 15 15 5 15 15 5 13 19 6 23 8 23 23 23 5 7 23 23 10 23 25 23 23 23 6 23 5 15 6 6 5 23 6 23 15 8 23 8 13 19 8 15 19 8 8 8 15 15 9 28 23 24 25 14 13 16 17 25 21 15 7 19 4 19 9 20 13 17 7 28 18 5 22 28 5 25 8 4 13 16 6 16 25 27 11 18 6 17 24 15 20 23 21 27 25 11 20 8 26 28 23 13 17 23 8 23 18 25 16 27 17 4 17 23 19 22 10,CCCC(CC(=O)c1ccc(-cc3cnccc)c(C))(c)cC1c1=O1CO111CC2sclnB=FHn[C-O#O2S=H-sN(]s(n1#=F)Fnr4N)HlCSc[rn4S1osc=Hc1cNnFrH#HcO]3,119,0,,,,max_length,0,0,,0,3,cO]3,2,1
1 15 23 8 25 23 23 5 15 18 15 9 15 23 25 23 5 23 23 25 23 15 23 5 16 6 23 8 15 8 15 8 18 8 15 8 8 15 15 8 15 19 23 8 23 15 8 8 9 15 15 9 20 8 7 16 6 27 12 14 20 9 25 13 19 10 23 6 18 10 14 12 18 25 2 8 14 18 27 24 20 18 13 25 13 27 26 11 18 25 11 23 7 20 18 27 19 25 11 5 16 8 26 8 28 25 24 19 17 23 14 24 18 20 11 4 27 6 5 7,<bos> C c 1 n c c ( C N C 2 C c n c ( c c n c C c ( F ) c 1 C 1 C 1 N 1 C 1 1 C C 1 C O c 1 c C 1 1 2 C C 2 S 1 - F ) r 5 B S 2 n = O 3 c ) N 3 B 5 N n <eos> 1 B N r l S N = n = r o 4 N n 4 c - S N r O n 4 ( F 1 o 1 s n l O H c B l N S 4 # r ) ( -,15 23 8 25 23 23 5 15 18 15 9 15 23 25 23 5 23 23 25 23 15 23 5 16 6 23 8 15 8 15 8 18 8 15 8 8 15 15 8 15 19 23 8 23 15 8 8 9 15 15 9 20 8 7 16 6 27 12 14 20 9 25 13 19 10 23 6 18 10 14 12 18 25,Cc1ncc(CNC2Ccnc(ccncCc(F)c1C1C1N1C11CC1COc1cC112CC2S1-F)r5BS2n=O3c)N3B5Nn,73,0,74.0,,<eos>,eos,0,0,,0,n,B5Nn,3,0
1 15 15 19 15 5 13 19 15 5 15 15 6 18 15 5 13 19 6 23 9 15 5 15 15 6 15 6 23 15 5 15 6 5 15 6 15 15 15 9 2 23 8 9 15 8 15 13 19 8 15 9 18 23 11 24 20 18 14 15 24 19 13 4 19 16 7 17 15 16 17 8 7 25 20 14 8 18 20 13 15 26 15 28 23 24 15 19 11 18 4 27 15 14 16 27 17 14 19 12 17 4 24 26 4 16 12 25 5 7 4 23 25 15 17 27 19 8 23 6,<bos> C C O C ( = O C ( C C ) N C ( = O ) c 2 C ( C C ) C ) c C ( C ) ( C ) C C C 2 <eos> c 1 2 C 1 C = O 1 C 2 N c 4 l S N B C l O = # O F - H C F H 1 - n S B 1 N S = C o C s c l C O 4 N # r C B F r H B O 5 H # l o # F 5 n ( - # c n C H r O 1 c ),15 15 19 15 5 13 19 15 5 15 15 6 18 15 5 13 19 6 23 9 15 5 15 15 6 15 6 23 15 5 15 6 5 15 6 15 15 15 9,CCOC(=OC(CC)NC(=O)c2C(CC)C)cC(C)(C)CCC2,39,0,40.0,,<eos>,eos,0,0,,0,2,CCC2,2,0
1 15 18 15 15 5 15 19 6 18 15 8 5 15 23 7 23 8 23 23 5 15 16 6 23 5 13 18 6 25 13 19 15 23 8 23 15 23 10 25 8 6 23 8 19 15 23 8 8 15 15 9 25 7 19 9 23 13 4 17 28 25 23 28 18 8 13 4 27 17 27 16 10 2 18 15 8 4 21 26 22 21 24 8 26 7 17 13 26 11 4 17 15 8 13 26 18 25 11 4 7 27 20 12 27 22 4 17 5 17 7 24 6 20 8 4 15 12 18 2,<bos> C N C C ( C O ) N C 1 ( C c - c 1 c c ( C F ) c ( = N ) n = O C c 1 c C c 3 n 1 ) c 1 O C c 1 1 C C 2 n - O 2 c = # H s n c s N 1 = # r H r F 3 <eos> N C 1 # [ o ] [ l 1 o - H = o 4 # H C 1 = o N n 4 # - r S 5 r ] # H ( H - l ) S 1 # C 5 N <eos>,15 18 15 15 5 15 19 6 18 15 8 5 15 23 7 23 8 23 23 5 15 16 6 23 5 13 18 6 25 13 19 15 23 8 23 15 23 10 25 8 6 23 8 19 15 23 8 8 15 15 9 25 7 19 9 23 13 4 17 28 25 23 28 18 8 13 4 27 17 27 16 10,CNCC(CO)NC1(Cc-c1cc(CF)c(=N)n=OCc1cCc3n1)c1OCc11CC2n-O2c=#HsncsN1=#rHrF3,72,0,73.0,,<eos>,eos,0,0,,0,3,HrF3,2,0
1 15 13 15 5 18 15 5 23 9 15 23 5 23 23 6 23 5 15 23 15 23 6 23 6 23 23 23 5 23 10 23 23 5 18 6 21 25 17 22 9 23 8 19 8 6 15 9 15 15 24 9 18 6 12 21 20 12 4 15 28 9 23 27 24 13 7 25 15 17 14 16 5 13 23 14 28 4 20 27 20 16 13 20 14 17 9 23 12 16 4 15 6 25 22 14 10 25 15 12 7 19 2 23 26 24 13 20 14 17 2 26 2 5 27 14 23 6 23 4,<bos> C = C ( N C ( c 2 C c ( c c ) c ( C c C c ) c ) c c c ( c 3 c c ( N ) [ n H ] 2 c 1 O 1 ) C 2 C C l 2 N ) 5 [ S 5 # C s 2 c r l = - n C H B F ( = c B s # S r S F = S B H 2 c 5 F # C ) n ] B 3 n C 5 - O <eos> c o l = S B H <eos> o <eos> ( r B c ) c #,15 13 15 5 18 15 5 23 9 15 23 5 23 23 6 23 5 15 23 15 23 6 23 6 23 23 23 5 23 10 23 23 5 18 6 21 25 17 22 9 23 8 19 8 6 15 9 15 15 24 9 18 6 12 21 20 12 4 15 28 9 23 27 24 13 7 25 15 17 14 16 5 13 23 14 28 4 20 27 20 16 13 20 14 17 9 23 12 16 4 15 6 25 22 14 10 25 15 12 7 19,C=C(NC(c2Cc(cc)c(CcCc)c)ccc(c3cc(N)[nH]2c1O1)C2CCl2N)5[S5#Cs2crl=-nCHBF(=cBs#SrSF=SBH2c5F#C)n]B3nC5-O,101,0,102.0,,<eos>,eos,0,0,,0,O,C5-O,3,1
