sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag,filter_status,filter_reason,research_status,validation_status
199,COc1ccc(NS(=O)(=O)c2cnc(C)cc2)cc1,33,0,34.0,,<eos>,eos,<bos> C O c 1 c c c ( N S ( = O ) ( = O ) c 2 c n c ( C ) c c 2 ) c c 1 <eos> c <eos> <eos> 1 C 2 1 c 1 c 1 1 2 1 <eos> <eos> <eos> <eos> # l <eos> N n 1 C o 5 s ( r # l [ c N ) 5 - r - r = N = n 5 n ] ( H 5 o B 4 o S 4 H B O o ( # c # o r 1 s C n s B N c F = H # n s H r S N,15 19 23 8 23 23 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 25 23 5 15 6 23 23 9 6 23 23 8,1,)cc1,0,0,,0,2,0,COc1ccc(NS(=O)(=O)c2ccc(C)nc2)cc1,True,True,1,True,,278.33,2.199,68.29,1.0,4.0,4.0,0.9306,1.7483,True,0.9353,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
658,CCOC(=O)NC(=O)N1CCC(C)CC(COC)c1CC,33,0,34.0,,<eos>,eos,<bos> C C O C ( = O ) N C ( = O ) N 1 C C C ( C ) C C ( C O C ) c 1 C C <eos> C <eos> C <eos> <eos> <eos> 1 C 1 <eos> C <eos> <eos> 2 1 C 2 S - c 5 N O H F 5 C s l 1 <eos> ( # = [ B ] = O N n = H ( H - = - c 2 B H ( l n 3 r 3 n l o [ - S # C s = - s S F o S s - c ] # n ) l n 2 [,15 15 19 15 5 13 19 6 18 15 5 13 19 6 18 8 15 15 15 5 15 6 15 15 5 15 19 15 6 23 8 15 15,C,c1CC,0,0,,0,1,0,CCOC(=O)NC(=O)N1CCC(C)CC(COC)C1CC,True,True,1,True,,300.4,2.626,67.87,1.0,4.0,4.0,0.8663,3.7358,True,0.9263,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
856,Cc1cnc(NS(=O)(=O)c2ccc(F)cc2)C1,31,0,32.0,,<eos>,eos,<bos> C c 1 c n c ( N S ( = O ) ( = O ) c 2 c c c ( F ) c c 2 ) C 1 <eos> <eos> c 1 c N 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> o 1 O 1 <eos> <eos> <eos> c - o <eos> c <eos> 5 l r s c F - F 3 B 3 H 1 O C o N B l B = - c [ s F 1 C O o C B ] N 2 H o [ O H o H s = N H F 2 s ] [ o c C B - H l 5 H l,15 23 8 23 25 23 5 18 20 5 13 19 6 5 13 19 6 23 9 23 23 23 5 16 6 23 23 9 6 15 8,1,2)C1,0,0,,0,2,0,CC1=CN=C(NS(=O)(=O)c2ccc(F)cc2)C1,True,True,1,True,,254.29,1.81,58.53,1.0,3.0,2.0,0.8746,2.6939,True,0.9099,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
642,CC(C)CONC(=O)NC(=O)N(C)NCCC,27,0,28.0,,<eos>,eos,<bos> C C ( C ) C O N C ( = O ) N C ( = O ) N ( C ) N C C C <eos> C c 1 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> C <eos> <eos> 2 1 C 2 [ r B l - c ] 2 n r s # = F 2 H 3 l B O F 3 F B 2 - n o r = H - N n C 2 o [ C - O ( n H s n S r 3 s F O s = l c N B o N c = r ) ( n 3 ),15 15 5 15 6 15 19 18 15 5 13 19 6 18 15 5 13 19 6 18 5 15 6 18 15 15 15,C,NCCC,0,0,,0,1,0,CCCNN(C)C(=O)NC(=O)NOCC(C)C,True,True,1,True,,246.31,0.84,82.7,3.0,4.0,6.0,0.6064,3.1783,True,0.8874,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
567,COc1ccccc1CCC(COCN1CC(COC(=O)CO)c2)c12,38,0,39.0,,<eos>,eos,<bos> C O c 1 c c c c c 1 C C C ( C O C N 1 C C ( C O C ( = O ) C O ) c 2 ) c 1 2 <eos> c 2 C 1 c 1 1 O 2 1 <eos> <eos> <eos> c N 5 N O [ F 1 O H C c - l H N B H # l - N l = O S r N = S 1 - # F ] r 3 F - O = s o [ C O 3 N n F ] ( F O B ( s 3 = C S 4 ) ( H 4 ),15 19 23 8 23 23 23 23 23 8 15 15 15 5 15 19 15 18 8 15 15 5 15 19 15 5 13 19 6 15 19 6 23 9 6 23 8 9,2,)c12,0,0,,0,3,0,COc1ccccc1CCC1COCN2CC(COC(=O)CO)C=C12,True,True,1,True,,347.41,1.583,68.23,1.0,6.0,7.0,0.7556,3.937,True,0.8733,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
551,COC(=O)c1ccccc2Cc2cCc(C)OCcn1,29,0,30.0,,<eos>,eos,<bos> C O C ( = O ) c 1 c c c c c 2 C c 2 c C c ( C ) O C c n 1 <eos> <eos> <eos> <eos> C <eos> <eos> <eos> <eos> 1 C O c 2 C 1 1 C 1 1 C 2 s n - N ( N n F 1 S 3 = F H - c C F 1 c N n S C F o H o S H l n B = l ) o O # B N n O n H S # F N r N r c # F = B C B S C s r 1 n H 3 l,15 19 15 5 13 19 6 23 8 23 23 23 23 23 9 15 23 9 23 15 23 5 15 6 19 15 23 25 8,1,Ccn1,0,0,,0,1,0,COC(=O)C1=CC=CC=C2CC2=CCC(C)OCC=N1,True,True,1,True,,273.33,2.736,47.89,0.0,4.0,1.0,0.6901,4.6864,True,0.8691,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
434,C=C(CNC(=O)N1CCC(CC)C)Cc1CN,27,0,28.0,,<eos>,eos,<bos> C = C ( C N C ( = O ) N 1 C C C ( C C ) C ) C c 1 C N <eos> 1 C 1 C <eos> <eos> 1 C C 1 <eos> <eos> <eos> <eos> 1 2 1 1 C 1 1 C 2 c n B N c - S F 5 n H c F ( F B s O B c ) l - N = l H = [ # - s c l r l o N C c H F s r l = H S 1 n # c s = l B N 5 ( O n F - H ) # H c,15 13 15 5 15 18 15 5 13 19 6 18 8 15 15 15 5 15 15 6 15 6 15 23 8 15 18,N,c1CN,0,0,,0,2,0,C=C1CNC(=O)N(CCC(C)CC)C(CN)C1,True,True,1,True,,239.36,1.721,58.36,2.0,2.0,5.0,0.7177,3.996,True,0.868,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
215,COC(=C)CN(C(=O)c1ccc(C)cc1C),28,0,29.0,,<eos>,eos,<bos> C O C ( = C ) C N ( C ( = O ) c 1 c c c ( C ) c c 1 C ) <eos> 1 C O C C C 1 <eos> <eos> <eos> <eos> <eos> <eos> O <eos> <eos> <eos> <eos> 2 1 C 2 N H 3 O s = N s 1 n 3 = C # - F <eos> c N O N <eos> ( C - N c 4 S B O 2 B - H [ r # N ] ) 2 l o 3 o C ( [ r o F ) = B F S H B N 3 # N c r 4 l F,15 19 15 5 13 15 6 15 18 5 15 5 13 19 6 23 8 23 23 23 5 15 6 23 23 8 15 6,),c1C),0,0,,0,2,0,C=C(CNC(=O)c1ccc(C)cc1C)OC,True,True,1,True,,219.28,2.193,38.33,1.0,2.0,4.0,0.7882,2.2268,True,0.8629,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
990,COC1cccc(CC)NCCNC(=O)c2cccc(F)c2CCc1,36,0,37.0,,<eos>,eos,<bos> C O C 1 c c c c ( C C ) N C C N C ( = O ) c 2 c c c c ( F ) c 2 C C c 1 <eos> <eos> C <eos> 1 c 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> - O 4 r = [ B l F N = l B F # r H l 5 N O ( N c ] N c # = [ r H - H 4 ) ( # - H s # c 1 N c o - o = s F 5 O 2 l H n c r B # H 1 ) 2 ],15 19 15 8 23 23 23 23 5 15 15 6 18 15 15 18 15 5 13 19 6 23 9 23 23 23 23 5 16 6 23 9 15 15 23 8,1,CCc1,0,0,,0,1,0,CCC1=CC=CC(OC)CCCc2c(F)cccc2C(=O)NCCN1,True,True,1,True,,346.45,3.347,50.36,2.0,3.0,2.0,0.8634,3.9694,True,0.8534,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
256,CN(Sc1ccccc1)C(=O)NC1C#CCC1,27,0,28.0,,<eos>,eos,<bos> C N ( S c 1 c c c c c 1 ) C ( = O ) N C 1 C # C C C 1 <eos> C <eos> C 1 C C 1 <eos> <eos> C 1 C O c 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> 2 o - = o C # H # - [ o # c l ( ] n l 3 s F H S N n [ - H - o H 3 F n o O N o S 4 H ( H l O N 4 ] 3 r n r c O [ s F H 3 F 3 ) 2 n ) ( F ),15 18 5 20 23 8 23 23 23 23 23 8 6 15 5 13 19 6 18 15 8 15 4 15 15 15 8,1,CCC1,0,0,,0,1,0,CN(Sc1ccccc1)C(=O)NC1C#CCC1,True,True,1,True,,246.33,2.501,32.34,1.0,2.0,3.0,0.6562,4.2316,True,0.8444,Strong candidate,True,filtered_in,passed_all_filters,filtered_computational_candidate,rdkit_valid_not_experimentally_validated
