token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,last_non_special_token,ending_motif,max_parenthesis_depth,max_bracket_depth
1 15 19 23 8 23 23 23 9 23 5 7 23 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 10 6 21 23 25 17 22 23 23 13 19 6 23 8 15 9 15 2 2 23 23 15 23 23 8 17 11 23 9 23 23 8 23 8 8 23 21 18 23 15 22 8 19 15 15 19 15 5 15 8 13 19 6 15 19 15 15 19 9 19 8 15 8 13 21 18 22 8 19 27 19 8 4 19 9 28 19 11 5 4 18 28 24 14 17 16 27 17 6 14 9,<bos> C O c 1 c c c 2 c ( - c ) c ( c ( - c 3 c c c ( O ) c n 3 ) [ c n H ] c c = O ) c 1 C 2 C <eos> <eos> c c C c c 1 H 4 c 2 c c 1 c 1 1 c [ N c C ] 1 O C C O C ( C 1 = O ) C O C C O 2 O 1 C 1 = [ N ] 1 O r O 1 # O 2 s O 4 ( # N s l B H F r H ) B 2,15 19 23 8 23 23 23 9 23 5 7 23 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 10 6 21 23 25 17 22 23 23 13 19 6 23 8 15 9 15,COc1ccc2c(-c)c(c(-c3ccc(O)cn3)[cnH]cc=O)c1C2C,45,0,46.0,,<eos>,eos,0,0,,0,C,1C2C,3,1
1 15 19 23 8 23 23 23 5 15 19 19 6 18 8 15 5 13 19 6 18 9 15 21 15 17 22 15 21 15 13 15 22 5 15 21 15 5 13 19 22 5 15 19 5 15 6 15 15 6 21 15 6 15 17 22 15 15 5 13 19 6 19 15 15 13 19 15 19 6 15 5 15 15 17 6 5 19 11 19 15 6 15 13 15 9 16 19 15 8 9 8 13 21 18 22 8 9 4 19 8 23 27 15 17 15 23 16 26 15 23 16 17 7 24 25 28 11 16 23,<bos> C O c 1 c c c ( C O O ) N 1 C ( = O ) N 2 C [ C H ] C [ C = C ] ( C [ C ( = O ] ( C O ( C ) C C ) [ C ) C H ] C C ( = O ) O C C = O C O ) C ( C C H ) ( O 4 O C ) C = C 2 F O C 1 2 1 = [ N ] 1 2 # O 1 c r C H C c F o C c F H - l n s 4 F c,15 19 23 8 23 23 23 5 15 19 19 6 18 8 15 5 13 19 6 18 9 15 21 15 17 22 15 21 15 13 15 22 5 15 21 15 5 13 19 22 5 15 19 5 15 6 15 15 6 21 15 6 15 17 22 15 15 5 13 19 6 19 15 15 13 19 15 19 6 15 5 15 15 17 6 5 19 11 19 15 6 15 13 15 9 16 19 15 8 9 8 13 21 18 22 8 9 4 19 8 23 27 15 17 15 23 16 26 15 23 16 17 7 24 25 28 11 16 23,COc1ccc(COO)N1C(=O)N2C[CH]C[C=C](C[C(=O](CO(C)CC)[C)CH]CC(=O)OCC=OCO)C(CCH)(O4OC)C=C2FOC121=[N]12#O1crCHCcFoCcFH-lns4Fc,119,0,,,,max_length,0,0,,0,c,s4Fc,4,1
1 15 13 15 18 21 17 22 5 15 23 8 23 23 23 5 19 6 23 5 15 6 15 5 13 19 6 18 8 15 15 19 15 15 19 15 19 5 15 18 19 15 6 19 15 15 15 13 19 6 15 5 15 15 23 15 6 23 15 23 8 15 21 15 17 22 8 2 2 23 2 8 21 15 19 15 22 9 8 19 19 10 15 5 15 6 15 19 15 8 15 8 19 8 18 8 15 9 16 19 8 25 27 19 26 19 7 20 18 7 24 20 17 28 24 19 7 25 10 19,<bos> C = C N [ H ] ( C c 1 c c c ( O ) c ( C ) C ( = O ) N 1 C C O C C O C O ( C N O C ) O C C C = O ) C ( C C c C ) c C c 1 C [ C H ] 1 <eos> <eos> c <eos> 1 [ C O C ] 2 1 O O 3 C ( C ) C O C 1 C 1 O 1 N 1 C 2 F O 1 n r O o O - S N - l S H s l O - n 3 O,15 13 15 18 21 17 22 5 15 23 8 23 23 23 5 19 6 23 5 15 6 15 5 13 19 6 18 8 15 15 19 15 15 19 15 19 5 15 18 19 15 6 19 15 15 15 13 19 6 15 5 15 15 23 15 6 23 15 23 8 15 21 15 17 22 8,C=CN[H](Cc1ccc(O)c(C)C(=O)N1CCOCCOCO(CNOC)OCCC=O)C(CCcC)cCc1C[CH]1,66,0,67.0,,<eos>,eos,0,0,,0,1,CH]1,2,1
1 19 13 15 5 13 19 15 21 15 23 17 23 23 23 23 23 9 23 5 18 19 6 15 15 23 15 18 15 15 22 15 23 23 23 5 15 6 21 15 6 17 22 25 8 17 15 5 15 6 15 23 8 15 15 9 2 15 15 2 15 2 9 15 15 8 15 19 23 8 5 15 6 15 19 15 19 15 8 19 15 15 19 13 19 5 15 6 15 8 15 19 8 13 19 8 15 19 11 19 8 26 27 7 28 23 8 26 14 28 7 19 7 20 11 13 17 9 23 2,<bos> O = C ( = O C [ C c H c c c c c 2 c ( N O ) C C c C N C C ] C c c c ( C ) [ C ) H ] n 1 H C ( C ) C c 1 C C 2 <eos> C C <eos> C <eos> 2 C C 1 C O c 1 ( C ) C O C O C 1 O C C O = O ( C ) C 1 C O 1 = O 1 C O 4 O 1 o r - s c 1 o B s - O - S 4 = H 2 c <eos>,19 13 15 5 13 19 15 21 15 23 17 23 23 23 23 23 9 23 5 18 19 6 15 15 23 15 18 15 15 22 15 23 23 23 5 15 6 21 15 6 17 22 25 8 17 15 5 15 6 15 23 8 15 15 9,O=C(=OC[CcHccccc2c(NO)CCcCNCC]Cccc(C)[C)H]n1HC(C)Cc1CC2,55,0,56.0,,<eos>,eos,0,0,,0,2,1CC2,2,1
1 18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 8 17 22 8 15 15 21 15 15 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 23 23 23 23 23 6 9 23 16 15 15 8 2 15 2 23 2 2 2 15 8 8 2 23 9 16 15 8 8 23 23 9 21 15 15 8 22 15 5 19 19 6 15 5 15 5 13 19 6 8 19 6 19 8 19 16 11 19 13 23 26 24 19 20 4 14 26 8 23 5 27 13 19,<bos> N [ C 1 H ] ( C ( = O ) N 1 C C S C 1 ) [ C 1 H ] 1 C C [ C C H ] ( N C ( = O ) c 2 c c c c c c c c c ) 2 c F C C 1 <eos> C <eos> c <eos> <eos> <eos> C 1 1 <eos> c 2 F C 1 1 c c 2 [ C C 1 ] C ( O O ) C ( C ( = O ) 1 O ) O 1 O F 4 O = c o l O S # B o 1 c ( r = O,18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 8 17 22 8 15 15 21 15 15 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 23 23 23 23 23 6 9 23 16 15 15 8,N[C1H](C(=O)N1CCSC1)[C1H]1CC[CCH](NC(=O)c2ccccccccc)2cFCC1,58,0,59.0,,<eos>,eos,0,0,,0,1,FCC1,2,1
1 15 18 5 15 6 15 15 5 13 19 6 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 23 6 15 8 15 23 8 15 8 15 5 15 23 8 23 5 23 8 19 15 5 23 15 13 23 23 19 23 10 6 15 18 15 23 22 15 8 6 15 8 23 15 23 21 15 8 15 22 15 5 15 6 21 15 6 15 17 22 5 19 6 15 21 15 8 5 22 19 8 15 8 6 19 8 7 13 20 27 9 5 20 4 18 16 4 17 16 4 17 8 6 10 2,<bos> C N ( C ) C C ( = O ) c 1 c c c c ( - c 2 c c c c [ c ) C 1 C c 1 C 1 C ( C c 1 c ( c 1 O C ( c C = c c O c 3 ) C N C c ] C 1 ) C 1 c C c [ C 1 C ] C ( C ) [ C ) C H ] ( O ) C [ C 1 ( ] O 1 C 1 ) O 1 - = S r 2 ( S # N F # H F # H 1 ) 3 <eos>,15 18 5 15 6 15 15 5 13 19 6 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 23 6 15 8 15 23 8 15 8 15 5 15 23 8 23 5 23 8 19 15 5 23 15 13 23 23 19 23 10 6 15 18 15 23 22 15 8 6 15 8 23 15 23 21 15 8 15 22 15 5 15 6 21 15 6 15 17 22 5 19 6 15 21 15 8 5 22 19 8 15 8 6 19 8 7 13 20 27 9 5 20 4 18 16 4 17 16 4 17 8 6 10,CN(C)CC(=O)c1cccc(-c2cccc[c)C1Cc1C1C(Cc1c(c1OC(cC=ccOc3)CNCc]C1)C1cCc[C1C]C(C)[C)CH](O)C[C1(]O1C1)O1-=Sr2(S#NF#HF#H1)3,118,0,119.0,,<eos>,eos,0,0,,0,3,H1)3,3,1
1 18 23 8 23 23 23 5 15 6 13 19 15 23 9 23 23 23 23 5 18 6 23 5 16 6 23 8 19 15 8 15 15 15 23 15 8 15 15 15 13 15 24 18 23 15 23 5 15 23 6 15 23 23 9 23 15 2 23 23 15 23 15 2 15 8 15 9 23 23 9 8 2 15 19 2 15 8 5 15 15 6 5 15 6 5 15 19 15 8 15 15 19 15 19 6 15 8 14 19 8 2 17 21 26 20 26 17 22 2 14 24 13 14 11 4 26 11 24 5,<bos> N c 1 c c c ( C ) = O C c 2 c c c c ( N ) c ( F ) c 1 O C 1 C C C c C 1 C C C = C l N c C c ( C c ) C c c 2 c C <eos> c c C c C <eos> C 1 C 2 c c 2 1 <eos> C O <eos> C 1 ( C C ) ( C ) ( C O C 1 C C O C O ) C 1 B O 1 <eos> H [ o S o H ] <eos> B l = B 4 # o 4 l (,18 23 8 23 23 23 5 15 6 13 19 15 23 9 23 23 23 23 5 18 6 23 5 16 6 23 8 19 15 8 15 15 15 23 15 8 15 15 15 13 15 24 18 23 15 23 5 15 23 6 15 23 23 9 23 15,Nc1ccc(C)=OCc2cccc(N)c(F)c1OC1CCCcC1CCC=ClNcCc(Cc)Ccc2cC,56,0,57.0,,<eos>,eos,0,0,,0,C,c2cC,1,0
1 15 15 15 5 15 15 6 15 15 5 15 15 6 15 5 13 19 6 18 15 15 15 21 15 17 22 8 15 15 8 13 19 17 21 19 13 15 15 5 15 17 5 18 6 15 15 19 15 5 15 23 15 23 15 5 15 6 17 6 15 19 6 23 15 17 22 15 2 15 8 15 15 19 15 15 19 15 8 15 15 15 15 19 15 5 13 19 6 15 2 15 8 21 15 22 8 2 2 19 8 28 19 15 5 24 28 26 6 7 20 23 13 28 12 25 19 25 12 16,<bos> C C C ( C C ) C C ( C C ) C ( = O ) N C C C [ C H ] 1 C C 1 = O H [ O = C C ( C H ( N ) C C O C ( C c C c C ( C ) H ) C O ) c C H ] C <eos> C 1 C C O C C O C 1 C C C C O C ( = O ) C <eos> C 1 [ C ] 1 <eos> <eos> O 1 s O C ( l s o ) - S c = s 5 n O n 5 F,15 15 15 5 15 15 6 15 15 5 15 15 6 15 5 13 19 6 18 15 15 15 21 15 17 22 8 15 15 8 13 19 17 21 19 13 15 15 5 15 17 5 18 6 15 15 19 15 5 15 23 15 23 15 5 15 6 17 6 15 19 6 23 15 17 22 15,CCC(CC)CC(CC)C(=O)NCCC[CH]1CC1=OH[O=CC(CH(N)CCOC(CcCcC(C)H)CO)cCH]C,67,0,68.0,,<eos>,eos,0,0,,0,C,CH]C,3,1
1 15 18 5 15 6 15 19 15 23 8 23 8 5 23 23 23 8 23 23 23 5 17 24 6 23 5 19 6 21 23 17 22 23 8 23 15 23 6 23 23 18 23 23 23 9 23 5 15 19 15 15 23 6 15 15 23 21 18 9 15 19 15 23 15 23 15 23 15 5 19 6 19 5 19 6 8 15 19 5 15 6 19 15 23 5 15 6 15 8 5 15 5 15 19 6 15 8 6 19 8 22 2 7 16 25 2 23 5 17 7 24 26 11 13 4 15 11 6 2,<bos> C N ( C ) C O C c 1 c 1 ( c c c 1 c c c ( H l ) c ( O ) [ c H ] c 1 c C c ) c c N c c c 2 c ( C O C C c ) C C c [ N 2 C O C c C c C c C ( O ) O ( O ) 1 C O ( C ) O C c ( C ) C 1 ( C ( C O ) C 1 ) O 1 ] <eos> - F n <eos> c ( H - l o 4 = # C 4 ) <eos>,15 18 5 15 6 15 19 15 23 8 23 8 5 23 23 23 8 23 23 23 5 17 24 6 23 5 19 6 21 23 17 22 23 8 23 15 23 6 23 23 18 23 23 23 9 23 5 15 19 15 15 23 6 15 15 23 21 18 9 15 19 15 23 15 23 15 23 15 5 19 6 19 5 19 6 8 15 19 5 15 6 19 15 23 5 15 6 15 8 5 15 5 15 19 6 15 8 6 19 8 22,CN(C)COCc1c1(ccc1ccc(Hl)c(O)[cH]c1cCc)ccNccc2c(COCCc)CCc[N2COCcCcCcC(O)O(O)1CO(C)OCc(C)C1(C(CO)C1)O1],101,0,102.0,,<eos>,eos,0,0,,0,],)O1],2,1
1 15 13 15 5 15 8 21 15 23 22 15 21 13 17 6 15 17 15 22 15 15 21 23 11 23 23 5 15 15 6 23 23 5 22 21 15 5 17 22 6 5 23 19 18 15 15 15 9 17 23 9 6 21 23 15 17 22 8 19 19 6 8 15 25 15 10 5 15 6 15 5 15 19 17 6 5 19 5 21 15 6 15 22 8 5 16 19 6 19 15 15 13 19 17 6 15 9 24 19 8 4 18 9 24 7 24 15 16 17 16 11 23 8 24 13 23 25 10 5,<bos> C = C ( C 1 [ C c ] C [ = H ) C H C ] C C [ c 4 c c ( C C ) c c ( ] [ C ( H ] ) ( c O N C C C 2 H c 2 ) [ c C H ] 1 O O ) 1 C n C 3 ( C ) C ( C O H ) ( O ( [ C ) C ] 1 ( F O ) O C C = O H ) C 2 l O 1 # N 2 l - l C F H F 4 c 1 l = c n 3 (,15 13 15 5 15 8 21 15 23 22 15 21 13 17 6 15 17 15 22 15 15 21 23 11 23 23 5 15 15 6 23 23 5 22 21 15 5 17 22 6 5 23 19 18 15 15 15 9 17 23 9 6 21 23 15 17 22 8 19 19 6 8 15 25 15 10 5 15 6 15 5 15 19 17 6 5 19 5 21 15 6 15 22 8 5 16 19 6 19 15 15 13 19 17 6 15 9 24 19 8 4 18 9 24 7 24 15 16 17 16 11 23 8 24 13 23 25 10 5,C=C(C1[Cc]C[=H)CHC]CC[c4cc(CC)cc(][C(H])(cONCCC2Hc2)[cCH]1OO)1CnC3(C)C(COH)(O([C)C]1(FO)OCC=OH)C2lO1#N2l-lCFHF4c1l=cn3(,119,0,,,,max_length,1,0,,0,(,cn3(,2,1
