token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason
1 15 18 5 15 6 18 15 15 5 13 19 6 23 23 8 23 23 5 7 23 9 23 23 23 23 23 9 2 9 23 23 8 2 6 15 8 2 2 2 8 2 2 6 23 15 8 2 13 19 2 23 5 23 19 6 23 9 18 6 23 9 2 6 23 2 6 23 8 2 2 19 15 6 2 8 6 23 9 6 15 15 8 2 6 22 19 3 15 8 15 8 3 19 2 6 15 22 2 19 8 2 0 27 28 9 2 26 22 2 22 19 26 12 4 17 27 14 24 16,<bos> C N ( C ) N C C ( = O ) c c 1 c c ( - c 2 c c c c c 2 <eos> 2 c c 1 <eos> ) C 1 <eos> <eos> <eos> 1 <eos> <eos> ) c C 1 <eos> = O <eos> c ( c O ) c 2 N ) c 2 <eos> ) c <eos> ) c 1 <eos> <eos> O C ) <eos> 1 ) c 2 ) C C 1 <eos> ) ] O <unk> C 1 C 1 <unk> O <eos> ) C ] <eos> O 1 <eos> <pad> r s 2 <eos> o ] <eos> ] O o 5 # H r B l F,15 18 5 15 6 18 15 15 5 13 19 6 23 23 8 23 23 5 7 23 9 23 23 23 23 23 9,CN(C)NCC(=O)cc1cc(-c2ccccc2,27,0,28,,<eos>,eos
1 15 13 15 5 15 15 5 15 15 6 18 5 19 6 15 5 13 6 15 15 8 15 8 5 13 19 6 23 8 23 23 23 23 23 8 2 2 23 8 2 8 2 2 23 23 8 2 2 21 15 2 23 19 2 23 2 15 2 13 15 6 6 15 15 21 15 23 8 17 5 15 5 15 19 3 19 9 11 15 19 10 3 22 22 5 15 6 15 8 2 8 3 9 15 3 8 9 2 19 8 2 27 13 0 8 3 14 13 28 25 12 5 4 23 5 0 15 12 11,<bos> C = C ( C C ( C C ) N ( O ) C ( = ) C C 1 C 1 ( = O ) c 1 c c c c c 1 <eos> <eos> c 1 <eos> 1 <eos> <eos> c c 1 <eos> <eos> [ C <eos> c O <eos> c <eos> C <eos> = C ) ) C C [ C c 1 H ( C ( C O <unk> O 2 4 C O 3 <unk> ] ] ( C ) C 1 <eos> 1 <unk> 2 C <unk> 1 2 <eos> O 1 <eos> r = <pad> 1 <unk> B = s n 5 ( # c ( <pad> C 5 4,15 13 15 5 15 15 5 15 15 6 18 5 19 6 15 5 13 6 15 15 8 15 8 5 13 19 6 23 8 23 23 23 23 23 8,C=C(CC(CC)N(O)C(=)CC1C1(=O)c1ccccc1,35,0,36,,<eos>,eos
1 15 15 15 5 13 19 6 15 5 15 6 5 18 6 15 5 13 19 6 18 15 15 5 15 6 15 3 15 15 13 19 6 23 8 15 2 15 24 2 15 5 2 19 15 5 6 23 15 2 15 6 15 5 15 15 6 23 5 13 15 6 15 6 15 22 8 15 19 2 15 8 21 15 3 15 22 9 11 21 19 3 2 22 8 5 19 2 6 19 2 8 3 9 18 3 3 22 2 19 8 2 28 23 26 11 3 20 18 7 20 6 5 28 11 3 15 24 13 19,<bos> C C C ( = O ) C ( C ) ( N ) C ( = O ) N C C ( C ) C <unk> C C = O ) c 1 C <eos> C l <eos> C ( <eos> O C ( ) c C <eos> C ) C ( C C ) c ( = C ) C ) C ] 1 C O <eos> C 1 [ C <unk> C ] 2 4 [ O <unk> <eos> ] 1 ( O <eos> ) O <eos> 1 <unk> 2 N <unk> <unk> ] <eos> O 1 <eos> s c o 4 <unk> S N - S ) ( s 4 <unk> C l = O,15 15 15 5 13 19 6 15 5 15 6 5 18 6 15 5 13 19 6 18 15 15 5 15 6 15 3 15 15 13 19 6 23 8 15,CCC(=O)C(C)(N)C(=O)NCC(C)CCC=O)c1C,34,0,36,,<eos>,eos
1 15 18 5 15 6 23 8 23 23 5 5 15 9 13 15 6 18 23 9 23 23 25 23 25 23 23 25 23 23 25 10 23 9 23 25 23 9 2 23 15 8 2 5 23 19 6 23 25 23 23 8 23 8 23 13 23 10 23 9 6 23 8 2 15 3 2 22 8 2 19 6 15 19 19 2 13 15 8 15 15 13 3 22 17 5 15 6 15 8 2 15 3 21 15 2 15 9 2 19 8 2 8 27 3 11 21 26 0 28 7 25 10 8 9 21 17 13 3 13,<bos> C N ( C ) c 1 c c ( ( C 2 = C ) N c 2 c c n c n c c n c c n 3 c 2 c n c 2 <eos> c C 1 <eos> ( c O ) c n c c 1 c 1 c = c 3 c 2 ) c 1 <eos> C <unk> <eos> ] 1 <eos> O ) C O O <eos> = C 1 C C = <unk> ] H ( C ) C 1 <eos> C <unk> [ C <eos> C 2 <eos> O 1 <eos> 1 r <unk> 4 [ o <pad> s - n 3 1 2 [ H = <unk> =,15 18 5 15 6 23 8 23 23 5 5 15 9 13 15 6 18 23 9 23 23 25 23 25 23 23 25 23 23 25 10 23 9 23 25 23 9,CN(C)c1cc((C2=C)Nc2ccncnccnccn3c2cnc2,37,0,38,,<eos>,eos
1 15 23 8 23 26 23 5 15 6 23 5 20 5 13 19 6 5 13 19 6 18 15 15 15 15 6 15 23 9 23 8 23 23 23 23 15 23 15 23 8 19 15 23 23 2 23 6 23 23 23 8 23 19 23 23 10 23 9 5 15 23 6 6 3 2 8 23 8 2 2 15 3 15 22 2 8 9 8 15 2 3 3 22 15 5 19 6 15 21 15 15 3 22 9 8 15 2 2 19 8 2 12 23 12 4 15 16 24 0 6 9 0 14 22 12 2 15 18 13,<bos> C c 1 c o c ( C ) c ( S ( = O ) ( = O ) N C C C C ) C c 2 c 1 c c c c C c C c 1 O C c c <eos> c ) c c c 1 c O c c 3 c 2 ( C c ) ) <unk> <eos> 1 c 1 <eos> <eos> C <unk> C ] <eos> 1 2 1 C <eos> <unk> <unk> ] C ( O ) C [ C C <unk> ] 2 1 C <eos> <eos> O 1 <eos> 5 c 5 # C F l <pad> ) 2 <pad> B ] 5 <eos> C N =,15 23 8 23 26 23 5 15 6 23 5 20 5 13 19 6 5 13 19 6 18 15 15 15 15 6 15 23 9 23 8 23 23 23 23 15 23 15 23 8 19 15 23 23,Cc1coc(C)c(S(=O)(=O)NCCCC)Cc2c1ccccCcCc1OCcc,44,0,45,,<eos>,eos
1 15 23 8 23 23 23 5 18 15 23 9 23 10 23 10 23 23 23 9 6 23 6 15 9 6 23 5 8 15 6 23 8 2 2 2 8 2 2 8 2 19 2 19 8 2 23 5 23 6 23 8 23 23 23 23 10 6 23 15 6 23 15 6 25 8 2 23 6 23 2 8 2 15 2 15 3 15 8 15 15 6 3 5 15 5 15 19 15 8 2 8 3 2 19 6 15 2 2 19 8 2 0 20 6 19 20 13 26 17 25 4 26 4 24 3 11 19 9 10,<bos> C c 1 c c c ( N C c 2 c 3 c 3 c c c 2 ) c ) C 2 ) c ( 1 C ) c 1 <eos> <eos> <eos> 1 <eos> <eos> 1 <eos> O <eos> O 1 <eos> c ( c ) c 1 c c c c 3 ) c C ) c C ) n 1 <eos> c ) c <eos> 1 <eos> C <eos> C <unk> C 1 C C ) <unk> ( C ( C O C 1 <eos> 1 <unk> <eos> O ) C <eos> <eos> O 1 <eos> <pad> S ) O S = o H n # o # l <unk> 4 O 2 3,15 23 8 23 23 23 5 18 15 23 9 23 10 23 10 23 23 23 9 6 23 6 15 9 6 23 5 8 15 6 23 8,Cc1ccc(NCc2c3c3ccc2)c)C2)c(1C)c1,32,0,33,,<eos>,eos
1 15 15 5 15 23 8 25 23 23 5 8 6 15 5 13 19 6 23 8 23 23 23 5 14 24 6 23 8 15 2 15 13 19 15 18 8 15 2 15 15 19 19 22 5 15 6 15 5 23 5 8 6 15 16 6 15 23 23 21 15 3 15 2 15 9 2 15 3 13 19 6 15 15 5 2 6 6 8 15 19 10 3 22 6 5 15 6 2 8 19 8 3 21 18 3 3 22 2 19 8 2 12 8 14 23 19 24 22 2 14 23 18 14 9 8 25 11 24 4,<bos> C C ( C c 1 n c c ( 1 ) C ( = O ) c 1 c c c ( B l ) c 1 C <eos> C = O C N 1 C <eos> C C O O ] ( C ) C ( c ( 1 ) C F ) C c c [ C <unk> C <eos> C 2 <eos> C <unk> = O ) C C ( <eos> ) ) 1 C O 3 <unk> ] ) ( C ) <eos> 1 O 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> 5 1 B c O l ] <eos> B c N B 2 1 n 4 l #,15 15 5 15 23 8 25 23 23 5 8 6 15 5 13 19 6 23 8 23 23 23 5 14 24 6 23 8 15,CC(Cc1ncc(1)C(=O)c1ccc(Bl)c1C,29,0,30,,<eos>,eos
1 15 15 5 15 6 13 15 6 18 8 8 23 23 23 23 5 7 23 9 23 23 23 23 5 18 6 23 8 15 2 15 8 2 15 2 2 15 15 2 2 8 2 2 6 15 9 5 18 2 15 5 15 23 15 13 6 23 23 9 15 15 9 6 15 9 2 15 6 23 2 8 15 6 5 15 19 6 8 15 15 21 15 19 6 5 19 6 15 8 2 8 3 21 2 3 15 2 2 19 8 2 24 27 4 24 19 3 5 2 19 23 15 28 12 7 15 28 12 26,<bos> C C ( C ) = C ) N 1 1 c c c c ( - c 2 c c c c ( N ) c 1 C <eos> C 1 <eos> C <eos> <eos> C C <eos> <eos> 1 <eos> <eos> ) C 2 ( N <eos> C ( C c C = ) c c 2 C C 2 ) C 2 <eos> C ) c <eos> 1 C ) ( C O ) 1 C C [ C O ) ( O ) C 1 <eos> 1 <unk> [ <eos> <unk> C <eos> <eos> O 1 <eos> l r # l O <unk> ( <eos> O c C s 5 - C s 5 o,15 15 5 15 6 13 15 6 18 8 8 23 23 23 23 5 7 23 9 23 23 23 23 5 18 6 23 8 15,CC(C)=C)N11cccc(-c2cccc(N)c1C,29,0,30,,<eos>,eos
1 15 23 8 23 23 23 23 5 18 15 15 18 15 5 13 19 6 23 9 23 23 23 23 5 9 6 23 5 8 2 15 2 15 8 2 15 2 15 2 2 8 2 19 2 15 2 8 10 6 6 23 8 23 17 23 8 23 23 15 6 23 8 2 15 22 6 15 3 13 2 8 15 19 2 15 5 13 19 6 15 3 15 22 6 21 9 2 17 22 9 8 3 21 18 3 3 22 2 19 8 2 16 12 28 13 2 23 0 17 11 24 23 11 17 3 15 24 3 26,<bos> C c 1 c c c c ( N C C N C ( = O ) c 2 c c c c ( 2 ) c ( 1 <eos> C <eos> C 1 <eos> C <eos> C <eos> <eos> 1 <eos> O <eos> C <eos> 1 3 ) ) c 1 c H c 1 c c C ) c 1 <eos> C ] ) C <unk> = <eos> 1 C O <eos> C ( = O ) C <unk> C ] ) [ 2 <eos> H ] 2 1 <unk> [ N <unk> <unk> ] <eos> O 1 <eos> F 5 s = <eos> c <pad> H 4 l c 4 H <unk> C l <unk> o,15 23 8 23 23 23 23 5 18 15 15 18 15 5 13 19 6 23 9 23 23 23 23 5 9 6 23 5 8,Cc1cccc(NCCNC(=O)c2cccc(2)c(1,29,0,30,,<eos>,eos
1 15 15 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 7 21 23 17 23 18 15 5 13 19 18 6 15 5 15 6 15 6 23 5 6 6 23 5 8 6 15 8 15 2 15 8 2 18 15 6 15 24 10 23 8 9 19 6 2 19 6 15 24 23 8 2 8 5 15 19 2 15 3 22 9 6 15 5 13 19 15 5 19 6 15 8 2 8 3 8 2 6 15 2 2 19 8 2 13 19 24 12 23 19 14 20 19 24 10 8 21 0 3 25 22 25,<bos> C C S ( = O ) ( = O ) c 1 c c c ( - [ c H c N C ( = O N ) C ( C ) C ) c ( ) ) c ( 1 ) C 1 C <eos> C 1 <eos> N C ) C l 3 c 1 2 O ) <eos> O ) C l c 1 <eos> 1 ( C O <eos> C <unk> ] 2 ) C ( = O C ( O ) C 1 <eos> 1 <unk> 1 <eos> ) C <eos> <eos> O 1 <eos> = O l 5 c O B S O l 3 1 [ <pad> <unk> n ] n,15 15 20 5 13 19 6 5 13 19 6 23 8 23 23 23 5 7 21 23 17 23 18 15 5 13 19 18 6 15 5 15 6 15 6 23 5 6 6 23 5 8 6 15 8 15,CCS(=O)(=O)c1ccc(-[cHcNC(=ON)C(C)C)c())c(1)C1C,46,0,47,,<eos>,eos
