sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,recommendation,is_novel_scorer_flag
1,CC(C)NNC(=O)Nc1cc(-c-ccccc2O)cn1,32,0,33,,<eos>,eos,<bos> C C ( C ) N N C ( = O ) N c 1 c c ( - c - c c c c c 2 O ) c n 1 <eos> <eos> C 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> 1 <eos> C <eos> = O <eos> <eos> <eos> 1 4 5 ) # l n s ] c # 3 - F 3 ] <unk> B <unk> N C s F 3 c s o O [ 5 - H C o ] <pad> [ # 1 <unk> [ - = s S B ] - l <pad> F s 2 <eos> o ] - 3 2 ] 5 # r <pad> B H F,15 15 5 15 6 18 18 15 5 13 19 6 18 23 8 23 23 5 7 23 7 23 23 23 23 23 9 19 6 23 25 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
2,C=C(NC(=O)N(C)C(O)Cc1CC(=O)c1ccccc1,35,0,36,,<eos>,eos,<bos> C = C ( N C ( = O ) N ( C ) C ( O ) C c 1 C C ( = O ) c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> C 1 <eos> <eos> n O [ O S c F ) n N l C <eos> F r <eos> H <pad> 4 <eos> 5 <unk> - <pad> s # ] S B 4 ( 4 H r N 5 4 c [ H 2 <pad> r o n # ) H n r = 4 o l B = s <eos> c ( ) c <pad> ] C 5 r,15 13 15 5 18 15 5 13 19 6 18 5 15 6 15 5 19 6 15 23 8 15 15 5 13 19 6 23 8 23 23 23 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
3,COC(=O)N1CCCN(C(=O)NCCCCCCC)CC1CC1,34,0,35,,<eos>,eos,<bos> C O C ( = O ) N 1 C C C N ( C ( = O ) N C C C C C C C ) C C 1 C C 1 <eos> <eos> C <eos> <eos> <eos> <eos> <eos> <eos> C <eos> C <eos> C <eos> <eos> <eos> <eos> 1 B S B <pad> [ c B [ ) c o s 1 3 <eos> r 5 4 <pad> r N # H [ S H S [ s B r l s [ l o <eos> <pad> ) S ] <pad> s - 4 <pad> - r s c o 5 <unk> c N r l ) <eos> S H = C l o O,15 19 15 5 13 19 6 18 8 15 15 15 18 5 15 5 13 19 6 18 15 15 15 15 15 15 15 6 15 15 8 15 15 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
4,CN(C)c1nc((C(=O)Nc2cccc3cccccncc2)cc1,37,0,38,,<eos>,eos,<bos> C N ( C ) c 1 n c ( ( C ( = O ) N c 2 c c c c 3 c c c c c n c c 2 ) c c 1 <eos> n 1 <eos> <eos> <eos> 1 <eos> 1 <eos> 1 <eos> <eos> 1 <eos> = r # N # 5 F <unk> ] F l O 1 ( 5 O <unk> N 3 ) O c l ] 5 # S B C - 3 1 B 4 B n ( r ( H ] C c H 1 4 <unk> ] 1 5 r <unk> 4 ) 2 <pad> s O n 3 1 2 C H ) <unk> 4,15 18 5 15 6 23 8 25 23 5 5 15 5 13 19 6 18 23 9 23 23 23 23 10 23 23 23 23 23 25 23 23 9 6 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
5,Cc1noc(C)c1S(=O)(=O)NCCCCC)c1ccccc1,35,0,36,,<eos>,eos,<bos> C c 1 n o c ( C ) c 1 S ( = O ) ( = O ) N C C C C C ) c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> 2 <eos> c <eos> <eos> <eos> <eos> = O o ( c H F 5 c l <pad> O = - [ ( H 3 4 F H l 1 N ( l C N <pad> [ s = # c <unk> N [ 2 H <unk> H s <unk> l - <unk> ) <unk> O 5 N 5 l C O 5 <pad> ) 2 <pad> B ] H <pad> S N =,15 23 8 25 26 23 5 15 6 23 8 20 5 13 19 6 5 13 19 6 18 15 15 15 15 15 6 23 8 23 23 23 23 23 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
6,Nc1ccc(CSc2cnccc(c2)c)C2)c1C,28,0,29,,<eos>,eos,<bos> N c 1 c c c ( C S c 2 c n c c c ( c 2 ) c ) C 2 ) c 1 C <eos> ) c 1 <eos> <eos> c <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> 2 <eos> 1 <eos> <eos> 1 <eos> 1 l H 1 ) F [ <eos> n C # - n B c S = S 2 - 3 2 N # 4 N C 1 H 5 1 O n H 2 N 5 # 1 N ( O o ] 1 4 ] r C r C ) c S = ] H n # N B l # 4 O 2 3,18 23 8 23 23 23 5 15 20 23 9 23 25 23 23 23 5 23 9 6 23 6 15 9 6 23 8 15,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
7,CN(Cc1ccco1)C(=O)c1ccc(Cl)c1C)C1,32,0,33,,<eos>,eos,<bos> C N ( C c 1 c c c o 1 ) C ( = O ) c 1 c c c ( C l ) c 1 C ) C 1 <eos> <eos> C 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> O <eos> 2 <eos> <eos> <eos> <eos> C <eos> 4 r # ) 1 5 3 B <unk> ) 5 O 3 ) 3 - <unk> B <pad> ) n O 1 <pad> - c S 2 N l H 4 N s [ 4 N 4 c C S ) r o n 4 o 3 <eos> o 5 B c O l ) <eos> B c N B [ 1 n 4 l #,15 18 5 15 23 8 23 23 23 26 8 6 15 5 13 19 6 23 8 23 23 23 5 15 24 6 23 8 15 6 15 8,,False,False,0,True,unbalanced_parentheses,,,,,,,,,,,,
8,CC(C)CC1NC1c1nc1-c2cccc(F)c1,28,0,29,,<eos>,eos,<bos> C C ( C ) C C 1 N C 1 c 1 n c 1 - c 2 c c c c ( F ) c 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> C <eos> <eos> 1 <eos> <eos> <eos> <eos> 2 <eos> <eos> <eos> <eos> 1 <eos> c <pad> = ) 3 F 3 B ) N c r # B F N 4 S O <pad> n S B S F S ) S H = 1 N 1 l S 4 o # 4 [ S # B N <eos> <unk> r 3 <unk> l r # l ] o ( <eos> O c C s 5 C ( ] 5 o,15 15 5 15 6 15 15 8 18 15 8 23 8 25 23 8 7 23 9 23 23 23 23 5 16 6 23 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
9,Cc1cccc(CC)NC(=O)c2cccc(2)c1,28,0,29,,<eos>,eos,<bos> C c 1 c c c c ( C C ) N C ( = O ) c 2 c c c c ( 2 ) c 1 <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> o <pad> N r c ( F o C N c r - ) = <eos> N l 1 F ] <unk> B <pad> O s <unk> H <eos> l 1 B # H B 2 4 2 N C B F ] ( # 4 o 4 r o H <pad> = <eos> c ( H <eos> F c B - ( C l - ),15 23 8 23 23 23 23 5 15 15 6 18 15 5 13 19 6 23 9 23 23 23 23 5 9 6 23 8,,False,False,0,True,long_repetitive_fragment,,,,,,,,,,,,
10,COC(=O)(=O)c1ccc(-cccccC(=ON)C(C(C)C())c21)C1,45,0,46,,<eos>,eos,<bos> C O C ( = O ) ( = O ) c 1 c c c ( - c c c c c C ( = O N ) C ( C ( C ) C ( ) ) c 2 1 ) C 1 <eos> <eos> c 1 <eos> <eos> <eos> c O n 1 O [ 3 ) n o - O 2 N = C c B # 5 3 2 S o c H r S N = 2 F l 5 c # n 3 - l 1 <pad> B 4 3 H 5 1 s O N [ l c 1 B S F l 1 F = # <pad> 3 <unk> ),15 19 15 5 13 19 6 5 13 19 6 23 8 23 23 23 5 7 23 23 23 23 23 15 5 13 19 18 6 15 5 15 5 15 6 15 5 6 6 23 9 8 6 15 8,,False,False,0,True,ring_closure_mismatch,,,,,,,,,,,,
