token_ids,raw_tokens,effective_token_ids,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason
1 15 15 5 15 6 18 18 15 5 13 19 6 18 23 8 23 23 5 7 23 7 23 23 23 23 23 9 19 6 23 25 8 2 2 15 8 2 2 2 2 8 2 2 8 2 15 2 13 19 2 2 2 8 11 12 6 4 24 25 28 22 23 4 10 7 16 10 22 3 14 3 18 15 28 16 10 23 28 26 19 21 12 7 17 15 26 22 0 21 4 8 3 21 7 13 28 20 14 22 7 24 0 16 28 9 2 26 22 7 10 9 22 12 4 27 0 14 17 16,<bos> C C ( C ) N N C ( = O ) N c 1 c c ( - c - c c c c c 2 O ) c n 1 <eos> <eos> C 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> 1 <eos> C <eos> = O <eos> <eos> <eos> 1 4 5 ) # l n s ] c # 3 - F 3 ] <unk> B <unk> N C s F 3 c s o O [ 5 - H C o ] <pad> [ # 1 <unk> [ - = s S B ] - l <pad> F s 2 <eos> o ] - 3 2 ] 5 # r <pad> B H F,15 15 5 15 6 18 18 15 5 13 19 6 18 23 8 23 23 5 7 23 7 23 23 23 23 23 9 19 6 23 25 8,CC(C)NNC(=O)Nc1cc(-c-ccccc2O)cn1,32,0,33,,<eos>,eos
1 15 13 15 5 18 15 5 13 19 6 18 5 15 6 15 5 19 6 15 23 8 15 15 5 13 19 6 23 8 23 23 23 23 23 8 2 2 8 2 2 2 2 2 2 2 2 2 2 15 8 2 2 25 19 21 19 20 23 16 6 25 18 24 15 2 16 27 2 17 0 11 2 12 3 7 0 28 4 22 20 14 11 5 11 17 27 18 12 11 23 21 17 9 0 27 26 25 4 6 17 25 27 13 11 26 24 14 13 28 2 23 5 6 23 0 22 15 12 27,<bos> C = C ( N C ( = O ) N ( C ) C ( O ) C c 1 C C ( = O ) c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> C 1 <eos> <eos> n O [ O S c F ) n N l C <eos> F r <eos> H <pad> 4 <eos> 5 <unk> - <pad> s # ] S B 4 ( 4 H r N 5 4 c [ H 2 <pad> r o n # ) H n r = 4 o l B = s <eos> c ( ) c <pad> ] C 5 r,15 13 15 5 18 15 5 13 19 6 18 5 15 6 15 5 19 6 15 23 8 15 15 5 13 19 6 23 8 23 23 23 23 23 8,C=C(NC(=O)N(C)C(O)Cc1CC(=O)c1ccccc1,35,0,36,,<eos>,eos
1 15 19 15 5 13 19 6 18 8 15 15 15 18 5 15 5 13 19 6 18 15 15 15 15 15 15 15 6 15 15 8 15 15 8 2 2 15 2 2 2 2 2 2 15 2 15 2 15 2 2 2 2 8 14 20 14 0 21 23 14 21 6 23 26 28 8 10 2 27 12 11 0 27 18 4 17 21 20 17 20 21 28 14 27 24 28 21 24 26 2 0 6 20 22 0 28 7 11 0 7 27 28 23 26 12 3 23 18 27 24 6 2 20 17 13 15 24 26 19,<bos> C O C ( = O ) N 1 C C C N ( C ( = O ) N C C C C C C C ) C C 1 C C 1 <eos> <eos> C <eos> <eos> <eos> <eos> <eos> <eos> C <eos> C <eos> C <eos> <eos> <eos> <eos> 1 B S B <pad> [ c B [ ) c o s 1 3 <eos> r 5 4 <pad> r N # H [ S H S [ s B r l s [ l o <eos> <pad> ) S ] <pad> s - 4 <pad> - r s c o 5 <unk> c N r l ) <eos> S H = C l o O,15 19 15 5 13 19 6 18 8 15 15 15 18 5 15 5 13 19 6 18 15 15 15 15 15 15 15 6 15 15 8 15 15 8,COC(=O)N1CCCN(C(=O)NCCCCCCC)CC1CC1,34,0,35,,<eos>,eos
1 15 18 5 15 6 23 8 25 23 5 5 15 5 13 19 6 18 23 9 23 23 23 23 10 23 23 23 23 23 25 23 23 9 6 23 23 8 2 25 8 2 2 2 8 2 8 2 8 2 2 8 2 13 27 4 18 4 12 16 3 22 16 24 19 8 5 12 19 3 18 10 6 19 23 24 22 12 4 20 14 15 7 10 8 14 11 14 25 5 27 5 17 22 15 23 17 8 11 3 22 8 12 27 3 11 6 9 0 28 19 25 10 8 9 15 17 6 3 11,<bos> C N ( C ) c 1 n c ( ( C ( = O ) N c 2 c c c c 3 c c c c c n c c 2 ) c c 1 <eos> n 1 <eos> <eos> <eos> 1 <eos> 1 <eos> 1 <eos> <eos> 1 <eos> = r # N # 5 F <unk> ] F l O 1 ( 5 O <unk> N 3 ) O c l ] 5 # S B C - 3 1 B 4 B n ( r ( H ] C c H 1 4 <unk> ] 1 5 r <unk> 4 ) 2 <pad> s O n 3 1 2 C H ) <unk> 4,15 18 5 15 6 23 8 25 23 5 5 15 5 13 19 6 18 23 9 23 23 23 23 10 23 23 23 23 23 25 23 23 9 6 23 23 8,CN(C)c1nc((C(=O)Nc2cccc3cccccncc2)cc1,37,0,38,,<eos>,eos
1 15 23 8 25 26 23 5 15 6 23 8 20 5 13 19 6 5 13 19 6 18 15 15 15 15 15 6 23 8 23 23 23 23 23 8 2 2 8 2 2 2 2 2 2 2 9 2 23 2 2 2 2 13 19 26 5 23 17 16 12 23 24 0 19 13 7 21 5 17 10 11 16 17 24 8 18 5 24 15 18 0 21 28 13 4 23 3 18 21 9 17 3 17 28 3 24 7 3 6 3 19 12 18 12 24 15 19 12 0 6 9 0 14 22 17 0 20 18 13,<bos> C c 1 n o c ( C ) c 1 S ( = O ) ( = O ) N C C C C C ) c 1 c c c c c 1 <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> 2 <eos> c <eos> <eos> <eos> <eos> = O o ( c H F 5 c l <pad> O = - [ ( H 3 4 F H l 1 N ( l C N <pad> [ s = # c <unk> N [ 2 H <unk> H s <unk> l - <unk> ) <unk> O 5 N 5 l C O 5 <pad> ) 2 <pad> B ] H <pad> S N =,15 23 8 25 26 23 5 15 6 23 8 20 5 13 19 6 5 13 19 6 18 15 15 15 15 15 6 23 8 23 23 23 23 23 8,Cc1noc(C)c1S(=O)(=O)NCCCCC)c1ccccc1,35,0,36,,<eos>,eos
1 18 23 8 23 23 23 5 15 20 23 9 23 25 23 23 23 5 23 9 6 23 6 15 9 6 23 8 15 2 6 23 8 2 2 23 2 2 2 2 2 2 2 2 8 2 9 2 8 2 2 8 2 8 24 17 8 6 16 21 2 25 15 4 7 25 14 23 20 13 20 9 7 10 9 18 4 11 18 15 8 17 12 8 19 25 17 9 18 12 4 8 18 5 19 26 22 8 11 22 27 15 27 15 6 23 20 13 22 17 25 4 18 14 24 4 11 19 9 10,<bos> N c 1 c c c ( C S c 2 c n c c c ( c 2 ) c ) C 2 ) c 1 C <eos> ) c 1 <eos> <eos> c <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> 2 <eos> 1 <eos> <eos> 1 <eos> 1 l H 1 ) F [ <eos> n C # - n B c S = S 2 - 3 2 N # 4 N C 1 H 5 1 O n H 2 N 5 # 1 N ( O o ] 1 4 ] r C r C ) c S = ] H n # N B l # 4 O 2 3,18 23 8 23 23 23 5 15 20 23 9 23 25 23 23 23 5 23 9 6 23 6 15 9 6 23 8 15,Nc1ccc(CSc2cnccc(c2)c)C2)c1C,28,0,29,,<eos>,eos
1 15 18 5 15 23 8 23 23 23 26 8 6 15 5 13 19 6 23 8 23 23 23 5 15 24 6 23 8 15 6 15 8 2 2 15 8 2 2 2 2 8 2 2 19 2 9 2 2 2 2 15 2 11 27 4 6 8 12 10 14 3 6 12 19 10 6 10 7 3 14 0 6 25 19 8 0 7 23 20 9 18 24 17 11 18 28 21 11 18 11 23 15 20 6 27 26 25 11 26 10 2 26 12 14 23 19 24 6 2 14 23 18 14 21 8 25 11 24 4,<bos> C N ( C c 1 c c c o 1 ) C ( = O ) c 1 c c c ( C l ) c 1 C ) C 1 <eos> <eos> C 1 <eos> <eos> <eos> <eos> 1 <eos> <eos> O <eos> 2 <eos> <eos> <eos> <eos> C <eos> 4 r # ) 1 5 3 B <unk> ) 5 O 3 ) 3 - <unk> B <pad> ) n O 1 <pad> - c S 2 N l H 4 N s [ 4 N 4 c C S ) r o n 4 o 3 <eos> o 5 B c O l ) <eos> B c N B [ 1 n 4 l #,15 18 5 15 23 8 23 23 23 26 8 6 15 5 13 19 6 23 8 23 23 23 5 15 24 6 23 8 15 6 15 8,CN(Cc1ccco1)C(=O)c1ccc(Cl)c1C)C1,32,0,33,,<eos>,eos
1 15 15 5 15 6 15 15 8 18 15 8 23 8 25 23 8 7 23 9 23 23 23 23 5 16 6 23 8 2 2 2 8 2 2 2 2 2 15 2 2 8 2 2 2 2 9 2 2 2 2 8 2 23 0 13 6 10 16 10 14 6 18 23 27 4 14 16 18 11 20 19 0 25 20 14 20 16 20 6 20 17 13 8 18 8 24 20 11 26 4 11 21 20 4 14 18 2 3 27 10 3 24 27 4 24 22 26 5 2 19 23 15 28 12 15 5 22 12 26,<bos> C C ( C ) C C 1 N C 1 c 1 n c 1 - c 2 c c c c ( F ) c 1 <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> C <eos> <eos> 1 <eos> <eos> <eos> <eos> 2 <eos> <eos> <eos> <eos> 1 <eos> c <pad> = ) 3 F 3 B ) N c r # B F N 4 S O <pad> n S B S F S ) S H = 1 N 1 l S 4 o # 4 [ S # B N <eos> <unk> r 3 <unk> l r # l ] o ( <eos> O c C s 5 C ( ] 5 o,15 15 5 15 6 15 15 8 18 15 8 23 8 25 23 8 7 23 9 23 23 23 23 5 16 6 23 8,CC(C)CC1NC1c1nc1-c2cccc(F)c1,28,0,29,,<eos>,eos
1 15 23 8 23 23 23 23 5 15 15 6 18 15 5 13 19 6 23 9 23 23 23 23 5 9 6 23 8 2 2 2 2 2 2 8 2 2 2 2 2 2 2 2 2 2 8 2 2 2 2 2 2 26 0 18 27 23 5 16 26 15 18 23 27 7 6 13 2 18 24 8 16 22 3 14 0 19 28 3 17 2 24 8 14 4 17 14 9 11 9 18 15 14 16 22 5 4 11 26 11 27 26 17 0 13 2 23 5 17 2 16 23 14 7 5 15 24 7 6,<bos> C c 1 c c c c ( C C ) N C ( = O ) c 2 c c c c ( 2 ) c 1 <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> <eos> 1 <eos> <eos> <eos> <eos> <eos> <eos> o <pad> N r c ( F o C N c r - ) = <eos> N l 1 F ] <unk> B <pad> O s <unk> H <eos> l 1 B # H B 2 4 2 N C B F ] ( # 4 o 4 r o H <pad> = <eos> c ( H <eos> F c B - ( C l - ),15 23 8 23 23 23 23 5 15 15 6 18 15 5 13 19 6 23 9 23 23 23 23 5 9 6 23 8,Cc1cccc(CC)NC(=O)c2cccc(2)c1,28,0,29,,<eos>,eos
1 15 19 15 5 13 19 6 5 13 19 6 23 8 23 23 23 5 7 23 23 23 23 23 15 5 13 19 18 6 15 5 15 5 15 6 15 5 6 6 23 9 8 6 15 8 2 2 23 8 2 2 2 23 19 25 8 19 21 10 6 25 26 7 19 9 18 13 15 23 14 4 12 10 9 20 26 23 17 27 20 18 13 9 16 24 12 23 4 25 10 7 24 8 0 14 11 10 17 12 8 28 19 18 21 24 23 8 14 20 16 24 8 16 13 4 0 10 3 6,<bos> C O C ( = O ) ( = O ) c 1 c c c ( - c c c c c C ( = O N ) C ( C ( C ) C ( ) ) c 2 1 ) C 1 <eos> <eos> c 1 <eos> <eos> <eos> c O n 1 O [ 3 ) n o - O 2 N = C c B # 5 3 2 S o c H r S N = 2 F l 5 c # n 3 - l 1 <pad> B 4 3 H 5 1 s O N [ l c 1 B S F l 1 F = # <pad> 3 <unk> ),15 19 15 5 13 19 6 5 13 19 6 23 8 23 23 23 5 7 23 23 23 23 23 15 5 13 19 18 6 15 5 15 5 15 6 15 5 6 6 23 9 8 6 15 8,COC(=O)(=O)c1ccc(-cccccC(=ON)C(C(C)C())c21)C1,45,0,46,,<eos>,eos
