rank,smiles,molecular_weight,logp,hbd,hba,tpsa,qed_score,sa_score,passes_lipinski,clinical_score,recommendation
1,CCOC(=O)c1cnc(CN)c2cccOOCcc(OC)cc12.Cl,368.82,0.706,1,7,92.9,0.6175,4.3468,True,0.9264,Strong candidate
2,Nc1ccn([C@@H]2C[C@@H](CO)O2)c(=O)n1,197.19,-0.895,2,5,90.37,0.6412,3.392,True,0.8948,Strong candidate
3,NCC(C)C(N)C(=O)N1CCCCC1,199.3,-0.079,2,3,72.35,0.6676,2.977,True,0.8835,Strong candidate
4,COc1cccccc2NCC(N)CC(CC)c21,246.35,2.244,2,3,47.28,0.7853,4.3902,True,0.8824,Strong candidate
5,CC[C@H](O)[C@H](N)C(=O)N1CCSC1,204.29,-0.382,2,4,66.56,0.6573,3.6294,True,0.882,Strong candidate
6,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O),212.1,-0.348,2,3,66.56,0.6258,4.3733,True,0.8776,Strong candidate
7,NCCC(N)C(=O)N1CCCC1,171.24,-0.715,2,3,72.35,0.5886,2.5733,True,0.8724,Strong candidate
8,CC(C)C1cccc(CC(=C)NC(CO)=O)cc1,247.34,2.323,2,2,49.33,0.783,4.1167,True,0.8621,Strong candidate
9,NCCCC(NCC(=O)NC)CCCC,215.34,0.62,3,3,67.15,0.528,2.8214,True,0.8614,Strong candidate
10,CCC1cc(N)C(=O)N1CC,154.21,0.47,1,2,46.33,0.6281,3.9041,True,0.8604,Strong candidate
11,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccccccccccc2)CC1,425.6,3.243,2,4,75.43,0.7251,4.2693,True,0.8515,Strong candidate
12,CCC(C)C(N)C(=O)NOCCCCC,216.32,1.598,2,3,64.35,0.4782,3.0939,True,0.8345,Strong candidate
13,O=C([C@@H]1CCCC1)N1CCCC1,167.25,1.799,0,1,20.31,0.5829,1.6573,True,0.8341,Strong candidate
14,NCC(NCCC=O)C1CCCCC1,198.31,1.073,2,3,55.12,0.4957,3.1464,True,0.8194,Strong candidate
15,CN(C)CCC(O)2cccccccccccccc2,283.42,3.576,1,2,23.47,0.8556,3.9491,True,0.8173,Strong candidate
16,CN(C)CCC(O)c1ccccccccccc1,257.38,3.02,1,2,23.47,0.8366,4.2135,True,0.8146,Strong candidate
17,CCCCCC[C@H](N)C(=O)N1CCCCC1,226.36,2.297,1,2,46.33,0.7064,2.3038,True,0.8139,Strong candidate
18,N#C[C@@H]1CCCN1C(=O)[C@@H]CCCC1CCCCC1,261.39,3.456,0,2,44.1,0.7113,3.3235,True,0.7971,Strong candidate
19,NC(=N)NS(=O)(=O)c1ccc(N)cc1,214.25,-0.559,4,4,122.06,0.2992,2.3327,True,0.7969,Strong candidate
20,NCCCOOC(=O)C,133.15,-0.17,1,4,61.55,0.3283,2.8508,True,0.7835,Strong candidate
21,CC(C)c1cccc(C(C)C)c1C,176.3,4.242,0,0,0.0,0.6319,2.0211,True,0.7685,Strong candidate
22,N=C(N)CCCO,102.14,-0.305,3,2,70.1,0.3378,2.6437,True,0.7648,Strong candidate
23,Cc1ccccc1Nc1nccc(-c2c[nH]c3ccccc23)n1,300.37,4.677,2,3,53.6,0.5775,2.03,True,0.7633,Strong candidate
24,OCC(NOCC=O)C,133.15,-0.913,2,4,58.56,0.2893,4.0552,True,0.7605,Strong candidate
25,CCCCCC(C)C(=O)C1=CCN1CCC,223.36,3.381,0,2,20.31,0.5879,3.3177,True,0.7423,Strong candidate
26,CCCC(C)C(=O)(CCCCCC),184.32,3.962,0,1,17.07,0.5217,2.4583,True,0.7155,Strong candidate
27,CC(CO),60.1,0.389,1,1,20.23,0.4638,1.9644,True,0.7124,Strong candidate
28,Nc1ccccc1,93.13,1.269,1,1,26.02,0.4801,1.2634,True,0.6947,Strong candidate
29,O=C(O)CO,76.05,-0.937,2,2,57.53,0.4236,1.9876,True,0.6868,Strong candidate
30,OC(=O)CO,76.05,-0.937,2,2,57.53,0.4236,1.9876,True,0.6868,Strong candidate
31,CC(=O),44.05,0.205,0,1,17.07,0.355,3.041,True,0.6797,Strong candidate
32,Cc1ccccc1,92.14,1.995,0,0,0.0,0.4588,1.0,True,0.6742,Strong candidate
33,NCC,45.08,-0.035,1,1,26.02,0.4062,2.1742,True,0.6694,Strong candidate
34,NC(=O),45.04,-0.899,1,1,43.09,0.3523,3.5489,True,0.6618,Strong candidate
35,NCC(O),61.08,-1.063,2,2,46.25,0.4056,2.2858,True,0.6343,Strong candidate
36,COc1cccccc(O)ccccc2ccccc2cccccOcc1,372.46,6.645,1,3,42.6,0.6096,2.3914,False,0.6328,Strong candidate
37,CC(C)c1cccc(C(CSC(=O)OC)=O)c2cccccccc21,354.47,5.722,0,4,43.37,0.52,2.7229,False,0.6203,Strong candidate
38,NCC(O)NO,92.1,-1.758,4,4,78.51,0.2403,4.208,True,0.6136,Strong candidate
39,c1cccccc2c(ccccccccccccc-c3ccccc23)c1,360.5,7.486,0,0,0.0,0.4495,3.7536,False,0.5729,Borderline
40,COc1ccccc(=O)cccccccnCCCCccC(=O)ccccccccccccccccccc1,585.79,9.253,0,4,55.73,0.3082,4.4646,False,0.5006,Borderline
