rank,smiles,molecular_weight,logp,hbd,hba,tpsa,qed_score,sa_score,passes_lipinski,clinical_score,recommendation
1,CCC(=O)C(=O)Nc1ccc(S(N)(=O)=O)cc1,256.28,0.252,2,4,106.33,0.7529,1.9543,True,0.9454,Strong candidate
2,CC(C)CCC(=O)Nc1ccc(S(N)(=O)=O)cc1,270.35,1.709,2,3,89.26,0.8531,1.7316,True,0.9394,Strong candidate
3,COc1cc(NCc2ccccc2OC)c(O)nc1C,274.32,2.725,2,5,63.61,0.8774,2.2816,True,0.9278,Strong candidate
4,NS(=O)(=O)c1cnccc1-c1ccccc1,234.28,1.396,1,3,73.05,0.8531,1.897,True,0.9244,Strong candidate
5,CCc1cc(CCc2nc3cCcc(C)cc3o2)c(O)nc1C,310.4,2.342,1,4,59.15,0.9415,3.7746,True,0.9193,Strong candidate
6,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.C,363.44,1.081,3,5,112.73,0.6902,3.4734,True,0.9166,Strong candidate
7,CCc1cc(NCc2ccccc2OC)c(O)nc1,258.32,2.97,2,4,54.38,0.8654,2.2402,True,0.9087,Strong candidate
8,CCCCSc1ccccc1S(N)(=O)=O,245.37,2.226,1,3,60.16,0.6389,2.1516,True,0.8945,Strong candidate
9,CCCCSc1ccncc1S(N)(=O)=O,246.36,1.621,1,4,73.05,0.6327,2.4373,True,0.8936,Strong candidate
10,NS(=O)(=O)C1cccccccccc1,223.3,1.438,1,2,60.16,0.7308,3.9821,True,0.8873,Strong candidate
11,Cc1cc(O)nc(SCC(=O)N2cccccccc2)n1,301.37,2.849,1,5,68.01,0.6972,2.92,True,0.8826,Strong candidate
12,O=C(NO)C1c2ccccc2Occcccccc1,269.3,2.85,2,3,58.56,0.6085,4.0563,True,0.8727,Strong candidate
13,Cc1nc(O)c(CCc2nc3ccccc3o2)cc1C(N)C,297.36,3.042,2,5,85.17,0.7728,3.1858,True,0.8432,Strong candidate
14,Nc1cccccScc1,151.23,2.455,1,2,26.02,0.6052,2.7393,True,0.8372,Strong candidate
15,Cc1cccc(N2C(=O)\SC2c2c(F)cccc2F)n1,292.31,4.04,0,3,33.2,0.8372,3.094,True,0.8347,Strong candidate
16,CCc1cc(CCc2nc3ccccc3O2)c(O)nc1C,282.34,3.584,1,4,59.15,0.7942,2.6145,True,0.8337,Strong candidate
17,CCc1cc(NCc2ccccc2OC)c(O)cc1C,271.36,3.884,2,3,41.49,0.8108,2.0229,True,0.831,Strong candidate
18,CCc1cc(NCc2cc3ccccc3O2)c(O)nc1C,282.34,4.016,2,4,58.29,0.7586,2.5971,True,0.8287,Strong candidate
19,CCc1cc(NCc2nc3cccc(F)c3o2)c(O)nc1C,301.32,3.55,2,5,71.18,0.7708,2.8711,True,0.8279,Strong candidate
20,Nc1ccc(S(N)(=O)=O)cc1B,184.03,-1.825,2,3,86.18,0.3974,2.8465,True,0.8256,Strong candidate
21,Nc1ccc(-c2ncccc2)cc1NC(=O)c1ccccc1,289.34,3.583,2,3,68.01,0.724,1.7377,True,0.8214,Strong candidate
22,CCc1cc(CCc2cc3ccccc3O2)c(O)nc1C,281.36,4.189,1,3,46.26,0.7796,2.6109,True,0.8166,Strong candidate
23,Cc1cccc(N2C(=O)CSC2c2c(F)cccc2F)c1,305.35,4.052,0,2,20.31,0.834,2.7081,True,0.8143,Strong candidate
24,CCc1cc(NCc2cc(CC)c(C)cc2OC)c(O)nc1C,314.43,4.15,2,4,54.38,0.8408,2.6603,True,0.8127,Strong candidate
25,O=C(N)c1ccccccccccccccccc1,277.37,4.159,1,1,43.09,0.8226,1.4393,True,0.8127,Strong candidate
26,CCCCCCCC(CC(CO)O)OO,220.31,1.948,3,4,69.92,0.2988,3.2957,True,0.8093,Strong candidate
27,O=C([O-])[O-].[Na+].[La+],221.9,-5.443,0,3,63.19,0.384,5.3611,True,0.8088,Strong candidate
28,CC(C)C(=O)NC(=NO),130.15,0.176,2,3,61.69,0.2422,3.4183,True,0.8064,Strong candidate
29,O=C(N)c1ccccccccccccccc1,251.33,3.305,1,1,43.09,0.763,3.8279,True,0.8043,Strong candidate
30,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)/C[C@@H]4[C@H]3CC[C@@]21CC,298.43,3.493,1,2,37.3,0.7524,4.6455,True,0.8028,Strong candidate
31,CC(C)C(=O)NCC(=O)O,145.16,-0.157,2,2,66.4,0.5797,1.8309,True,0.7987,Strong candidate
32,O=C1Nc2ccccccccc2[C@@](C#CC2CC2)(C(F)(F)F)c1,331.34,4.367,1,1,29.1,0.703,3.7808,True,0.7959,Strong candidate
33,O=C(O)CCCCCCCC=O,172.22,2.001,1,2,54.37,0.4497,1.9893,True,0.793,Strong candidate
34,O=C(COCC)C,102.13,0.612,0,2,26.3,0.5216,2.1235,True,0.793,Strong candidate
35,Oc1ccccccccccccc1,198.27,3.641,1,1,20.23,0.6744,1.2968,True,0.7919,Strong candidate
36,CN(C)C1ccccccccccOcccccccc1,307.44,4.868,0,2,12.47,0.6852,4.506,True,0.7759,Strong candidate
37,O=c1ccccccccccccscc1,242.34,4.111,0,2,17.07,0.6356,4.0912,True,0.769,Strong candidate
38,NCCNCCCCC,130.23,0.725,2,2,38.05,0.52,1.9407,True,0.7553,Strong candidate
39,CCCCCCC,100.2,2.977,0,0,0.0,0.4763,1.2607,True,0.7492,Strong candidate
40,O=C(NCCCCCCCCCO)c1ccccccccc1,315.46,4.264,2,2,49.33,0.6337,2.0159,True,0.7487,Strong candidate
41,CCCCCCCCO,130.23,2.339,1,1,20.23,0.547,1.5729,True,0.7391,Strong candidate
42,NCCCCCCCC,129.25,2.306,1,1,26.02,0.5471,1.6009,True,0.7391,Strong candidate
43,O=P([O-])[O-].[Na+],102.97,-4.899,0,3,63.19,0.2278,6.2149,True,0.7344,Strong candidate
44,COc1cc2c(cc1OC)C(c1ccc(Br)cc1NNNS(N)(=O)=O)CC2,457.35,2.169,4,6,114.71,0.4742,3.402,True,0.7264,Strong candidate
45,OCCCC,74.12,0.779,1,1,20.23,0.5128,1.8791,True,0.7193,Strong candidate
46,NCCCC,73.14,0.745,1,1,26.02,0.5124,1.9742,True,0.7192,Strong candidate
47,NCCC,59.11,0.355,1,1,26.02,0.4633,2.0076,True,0.7124,Strong candidate
48,NC(OO)(=O),77.04,-0.445,2,3,72.55,0.3037,2.8105,True,0.7075,Strong candidate
49,NCCCCC,87.17,1.135,1,1,26.02,0.513,1.6101,True,0.6993,Strong candidate
50,CC(C)C(=O),72.11,0.841,0,1,17.07,0.4194,2.4141,True,0.6887,Strong candidate
51,O=C(C),44.05,0.205,0,1,17.07,0.355,3.041,True,0.6797,Strong candidate
52,OCC,46.07,-0.001,1,1,20.23,0.4068,1.9803,True,0.6695,Strong candidate
53,O=C([O-])[O-].[Na+],83.0,-5.443,0,3,63.19,0.2744,4.8613,True,0.6684,Strong candidate
54,CCCCCCCCC,128.26,3.757,0,0,0.0,0.4777,1.2626,True,0.6569,Strong candidate
55,NCCN,60.1,-1.096,2,2,52.04,0.4035,2.3004,True,0.649,Strong candidate
56,OCCN,61.08,-1.063,2,2,46.25,0.4056,2.2858,True,0.6343,Strong candidate
57,CC1CCCCcccc-ccccccccCc(CO)CCccccCCC(C)c1CC,476.79,9.867,1,1,20.23,0.4202,4.9313,False,0.5338,Borderline
58,Cc1cccCc(CCCCCCCC)ccccccccccc1,348.57,8.351,0,0,0.0,0.4054,3.6095,False,0.5293,Borderline
59,CCCCNCCCCCCCCC(=O)c1ccccccccc1,341.54,6.114,1,2,29.1,0.3461,2.1907,False,0.5009,Borderline
